datetime,temp,humidity,precip
01/01/2018,15.6,74.3,0
02/01/2018,16.7,73.9,0.3
03/01/2018,17.4,71.2,0.3
04/01/2018,16.3,72.9,0
05/01/2018,17.2,68.5,0
06/01/2018,16.7,70,5
07/01/2018,16.6,68.5,0
08/01/2018,16.9,59.9,0
09/01/2018,17.1,58.8,0
10/01/2018,16.8,60.9,1
11/01/2018,16.7,62.8,0
12/01/2018,17.1,64,0
13/01/2018,16.7,66.1,0
14/01/2018,17.9,53.1,0
15/01/2018,18.3,46.5,0
16/01/2018,17,56,0
17/01/2018,17.3,50.7,0
18/01/2018,17.6,57.5,0
19/01/2018,17.7,60.5,0
20/01/2018,18.6,63.1,0.2
21/01/2018,17.3,55,0
22/01/2018,17.5,43.1,0
23/01/2018,17.9,46.2,0
24/01/2018,17.6,54,0
25/01/2018,16.6,71.3,0.2
26/01/2018,16.2,75.8,0.5
27/01/2018,18.2,57.9,0
28/01/2018,18.5,50.3,0
29/01/2018,17.5,45.1,0
30/01/2018,17.8,52.8,0
31/01/2018,18.5,51.2,0
01/02/2018,19.2,47.3,0
02/02/2018,18,49.9,0
03/02/2018,18,46.8,0
04/02/2018,19.3,40.7,0
05/02/2018,19.7,49.9,0
06/02/2018,18.6,58.5,1
07/02/2018,18.5,49.8,0
08/02/2018,17.8,37,0
09/02/2018,17.6,30.8,0
10/02/2018,19.7,31.7,0
11/02/2018,19.1,45.6,0
12/02/2018,19.4,48.6,0
13/02/2018,20.1,45.9,0
14/02/2018,19.9,47.8,0
15/02/2018,18.6,51.7,0
16/02/2018,20,45.2,0
17/02/2018,19.9,48.5,0
18/02/2018,19,55.2,1
19/02/2018,18.5,58.7,0
20/02/2018,19.2,61.3,0
21/02/2018,18.4,71.8,19
22/02/2018,18.5,62.1,0
23/02/2018,19.5,46.1,0
24/02/2018,18.9,52.7,0
25/02/2018,19.3,61.6,0
26/02/2018,19.5,58,0
27/02/2018,18.6,63.1,7
28/02/2018,16.6,79.8,10
01/03/2018,15.6,80.9,34
02/03/2018,15.1,82.8,8.3
03/03/2018,15.7,82.7,2
04/03/2018,14.4,88.9,6
05/03/2018,15.8,78.8,18
06/03/2018,16.1,78.2,0.1
07/03/2018,17.3,71.8,0.8
08/03/2018,18.2,68.9,0
09/03/2018,18.3,69.5,0.3
10/03/2018,17.4,72.6,0
11/03/2018,16.6,76.7,0
12/03/2018,15.8,85,14.8
13/03/2018,15.6,87.4,20
14/03/2018,17.4,78.8,2
15/03/2018,15.8,86.3,34
16/03/2018,15.7,87.8,6
17/03/2018,16.7,81.4,5
18/03/2018,17.8,79.2,2
19/03/2018,16.8,82.3,5
20/03/2018,17.5,74.2,12
21/03/2018,17.8,67.3,0
22/03/2018,17.3,66.6,0
23/03/2018,18.1,60.5,0
24/03/2018,18.1,64.2,0.2
25/03/2018,18,69.8,0.2
26/03/2018,18,71.6,3.2
27/03/2018,18.5,64.3,0
28/03/2018,18.4,59.9,0
29/03/2018,17.7,64.9,0
30/03/2018,17.1,66.8,0.3
31/03/2018,17.3,64.6,0.5
01/04/2018,16.5,75.3,1
02/04/2018,17.7,74.7,3
03/04/2018,17.4,71.3,1.3
04/04/2018,17.2,74.8,0.4
05/04/2018,16.7,80.9,1.4
06/04/2018,17.1,77.7,2
07/04/2018,16.1,83.4,28
08/04/2018,16.4,85.7,13
09/04/2018,17.2,75.1,26
10/04/2018,17.6,77.7,0.8
11/04/2018,16.7,80.9,1
12/04/2018,16.1,88.2,15
13/04/2018,16.8,83.7,46
14/04/2018,15,90,33
15/04/2018,16.1,82.7,0.8
16/04/2018,15.4,84.8,2
17/04/2018,15.6,84.6,0.3
18/04/2018,16.4,78.9,0.2
19/04/2018,16.1,83.3,36
20/04/2018,16.8,76.7,0
21/04/2018,17,83,0.3
22/04/2018,16.3,87.3,17
23/04/2018,16,85.1,11
24/04/2018,16.4,85.6,5
25/04/2018,17,82.5,0.3
26/04/2018,18,77.1,5
27/04/2018,16.8,85.4,1
28/04/2018,17.6,80.4,62
29/04/2018,17.1,83,18
30/04/2018,16.2,88.6,26
01/05/2018,15.7,90.1,13
02/05/2018,16.2,83.6,29
03/05/2018,17.4,76.6,1.6
04/05/2018,17.8,74.7,14
05/05/2018,18,70.9,0
06/05/2018,16.3,85.1,16.3
07/05/2018,16.2,85.8,36
08/05/2018,17.2,78.5,33
09/05/2018,17.8,76.6,6
10/05/2018,18,71.1,2.7
11/05/2018,17.9,71.7,2.3
12/05/2018,18.1,67,0
13/05/2018,18.7,66.9,0
14/05/2018,18.5,67.9,3
15/05/2018,17.9,73.5,3
16/05/2018,15.8,84.5,12
17/05/2018,15.5,84.8,17
18/05/2018,16.5,82.9,0.2
19/05/2018,15.6,90.4,4
20/05/2018,16.4,84.4,6
21/05/2018,16.2,84.8,8
22/05/2018,15.6,89.6,8
23/05/2018,16.3,84.4,2
24/05/2018,16.4,82.2,3
25/05/2018,15.6,83.1,10
26/05/2018,17.3,76.2,0
27/05/2018,16.8,77.6,0.4
28/05/2018,16.3,84.3,3
29/05/2018,16.8,83.2,4
30/05/2018,17.2,80.9,2
31/05/2018,16.8,82.5,15.5
01/06/2018,16.4,82.9,5.1
02/06/2018,16.4,83.1,1
03/06/2018,16.6,82.1,4
04/06/2018,16.3,88,3
05/06/2018,15,93.3,15
06/06/2018,15.7,87.2,10
07/06/2018,16.6,84.8,43
08/06/2018,15.8,87.3,1
09/06/2018,15.9,85.7,9
10/06/2018,16.4,83.1,0
11/06/2018,17.1,80.3,1
12/06/2018,15.9,74.6,1
13/06/2018,15.7,76.2,0
14/06/2018,16.2,81.7,3
15/06/2018,16.2,81.2,9
16/06/2018,16.5,79,0
17/06/2018,16.4,81.3,10
18/06/2018,16.9,80,0.2
19/06/2018,16.2,82.4,0
20/06/2018,16.3,79.8,11
21/06/2018,15.1,83.4,2.7
22/06/2018,15,76.1,0
23/06/2018,15.5,81.1,2
24/06/2018,15.5,83.2,5.7
25/06/2018,15.5,84.2,8
26/06/2018,14.6,84.4,33
27/06/2018,14.4,85.9,45
28/06/2018,14.3,83.7,19
29/06/2018,14.8,82.9,3
30/06/2018,15.5,84.9,0.5
01/07/2018,15,82.9,0
02/07/2018,15.4,83.3,16
03/07/2018,15.8,79.8,12
04/07/2018,15,84.1,2
05/07/2018,15.2,81.8,6
06/07/2018,14.1,78.7,25
07/07/2018,14.1,81.8,11
08/07/2018,13.9,86.5,19
09/07/2018,15.3,82.9,0
10/07/2018,15.8,84.7,25
11/07/2018,15.3,84.9,5.5
12/07/2018,14.6,83.9,9
13/07/2018,15.5,81.2,13
14/07/2018,15.9,85.7,26
15/07/2018,15.2,85.4,11
16/07/2018,15.9,74.2,10
17/07/2018,15.1,74.5,0
18/07/2018,16.3,74.8,0
19/07/2018,16.2,76.9,0.2
20/07/2018,16.4,79.6,3
21/07/2018,16.6,75.6,0
22/07/2018,17,72.9,0
23/07/2018,16.6,72.9,0.1
24/07/2018,16.8,75.6,0
25/07/2018,16.7,75.1,0
26/07/2018,16.7,75.2,0
27/07/2018,16.4,74.2,0
28/07/2018,16.5,70.4,0.1
29/07/2018,15.2,75.9,0
30/07/2018,16.1,77.1,0
31/07/2018,16.4,76.7,1
01/08/2018,16.9,73,0
02/08/2018,16.1,69.9,0
03/08/2018,16.6,68.4,0
04/08/2018,17.4,68.3,0
05/08/2018,16,66.7,0
