datetime,temp,humidity,precip
01/01/2018,19.1,66.4,0.5
02/01/2018,17.9,73.5,3
03/01/2018,17.2,81.1,6.9
04/01/2018,16.9,82.8,2.4
05/01/2018,17.8,73.1,0
06/01/2018,18.3,70.1,0.7
07/01/2018,17.6,75.4,0.7
08/01/2018,17.9,69.3,0.2
09/01/2018,18,68.4,0.1
10/01/2018,18.4,69.6,1.1
11/01/2018,17.1,76.5,11.4
12/01/2018,18.1,67.1,1.2
13/01/2018,18.9,69.1,1.9
14/01/2018,18.9,69.1,2.2
15/01/2018,20,59.8,1.1
16/01/2018,19.9,56.3,0
17/01/2018,20.1,60.5,0.7
18/01/2018,19.9,65.1,0.9
19/01/2018,20.1,66,0.8
20/01/2018,21.2,59.2,1.1
21/01/2018,20.5,52.9,0
22/01/2018,20.1,49.2,1.1
23/01/2018,20.4,51.8,0.3
24/01/2018,19.9,56.8,0
25/01/2018,20.3,60.8,3.9
26/01/2018,18.5,74.5,7
27/01/2018,19.5,67.6,0.5
28/01/2018,20.2,64.2,0
29/01/2018,20.9,57,0
30/01/2018,21.2,50.5,0
31/01/2018,20.3,60,0
01/02/2018,20.7,59.4,0
02/02/2018,20.5,59,0
03/02/2018,20.2,54.1,0
04/02/2018,20.7,52.3,0
05/02/2018,21,56.8,1.9
06/02/2018,20.9,63.2,4.7
07/02/2018,20.3,59,0.1
08/02/2018,20.2,40.6,0
09/02/2018,19.9,41.8,0
10/02/2018,19.7,44,0
11/02/2018,20.2,54.5,0
12/02/2018,20.4,55.7,0
13/02/2018,20.1,46.1,0
14/02/2018,19.9,60.8,0.3
15/02/2018,20.7,56.2,0
16/02/2018,20.9,55.2,0
17/02/2018,20.6,54.3,0
18/02/2018,20.8,55.4,0
19/02/2018,22.3,51,0
20/02/2018,19.7,68.1,10.6
21/02/2018,20.8,64.3,1.7
22/02/2018,20.6,62.7,4
23/02/2018,21.1,57.5,0.7
24/02/2018,21.2,49.1,0
25/02/2018,21.4,57.5,0.1
26/02/2018,22.6,50.8,0
27/02/2018,21.5,49.5,0.4
28/02/2018,20.4,64.1,3.7
01/03/2018,16.9,84.5,4
02/03/2018,17.4,80.2,4.2
03/03/2018,17,84,6.9
04/03/2018,15.5,87,7.9
05/03/2018,17.2,80.9,9.4
06/03/2018,16.5,86.2,10.1
07/03/2018,16.9,78.7,6.3
08/03/2018,20.1,68.3,1.1
09/03/2018,19,77.5,6.1
10/03/2018,17.7,82.8,13.3
11/03/2018,17.5,84.2,14.2
12/03/2018,17.2,84.8,10
13/03/2018,17.2,88,10.7
14/03/2018,18,82.6,16.8
15/03/2018,17.6,83.8,14.8
16/03/2018,16.6,88.5,7.4
17/03/2018,17.7,84.5,4.5
18/03/2018,17.4,84.9,18.9
19/03/2018,17.5,87,12.7
20/03/2018,17.1,88.7,16.5
21/03/2018,16.9,85.7,2.9
22/03/2018,17.2,81.9,1.4
23/03/2018,17.6,77.3,0
24/03/2018,17.8,79.2,0
25/03/2018,17.5,86.3,2
26/03/2018,17.9,84.7,5.4
27/03/2018,17.8,85.1,2.1
28/03/2018,17.9,80.6,1.1
29/03/2018,17.5,83.5,1
30/03/2018,17.2,82.3,0.9
31/03/2018,17.6,81.4,1.7
01/04/2018,16.9,86.2,10.8
02/04/2018,17.2,84.8,11.4
03/04/2018,16.9,83.4,8.7
04/04/2018,17.1,83.9,7.7
05/04/2018,16.3,86.4,0.8
06/04/2018,17.1,83.7,2.5
07/04/2018,17.4,83.3,3
08/04/2018,17.4,83.6,1.5
09/04/2018,17.3,82.9,2.4
10/04/2018,17.6,85.3,5.7
11/04/2018,17.5,87.4,12.8
12/04/2018,17.8,86,4
13/04/2018,16.6,86.4,13
14/04/2018,16.8,89.3,3.8
15/04/2018,15.7,85.7,7.4
16/04/2018,16.6,85.8,16.5
17/04/2018,15.7,89.5,12.6
18/04/2018,16.6,86,13.8
19/04/2018,16.7,87.5,8.7
20/04/2018,16.9,85.9,5.3
21/04/2018,17.1,86,17.1
22/04/2018,15.9,91.1,8.3
23/04/2018,17.4,86.5,6.9
24/04/2018,16.3,91.8,16.1
25/04/2018,16.3,91,7.3
26/04/2018,17.2,89.3,30.3
27/04/2018,16.6,90.9,38.1
28/04/2018,16.9,89.5,8.4
29/04/2018,16.7,89.1,6.5
30/04/2018,16.4,87.9,4.1
01/05/2018,16.4,89.7,14.6
02/05/2018,15.2,89.5,8.1
03/05/2018,15.6,89,1.4
04/05/2018,16.8,88.4,4.6
05/05/2018,16.6,89.4,7.7
06/05/2018,16.3,89.3,3.3
07/05/2018,16.6,90.1,5.1
08/05/2018,16.5,89.1,3
09/05/2018,16.5,90.1,4.8
10/05/2018,16.3,89.4,7.3
11/05/2018,16.5,90.2,8.6
12/05/2018,16.4,87.8,2.6
13/05/2018,17.3,87.6,2
14/05/2018,17.4,88.5,8.2
15/05/2018,16.7,89.2,12.7
16/05/2018,16.5,89.3,4.9
17/05/2018,16.2,89.5,0.7
18/05/2018,15.5,88,1.5
19/05/2018,16.3,87.5,4.7
20/05/2018,15.8,88.4,4.2
21/05/2018,15.7,90.6,8
22/05/2018,15.8,91.2,9.8
23/05/2018,16.2,88.3,4.7
24/05/2018,15.8,88.9,1.9
25/05/2018,15.2,88.3,1.4
26/05/2018,15.5,89.7,3.1
27/05/2018,16,88.2,3.2
28/05/2018,15.1,85.7,0.7
29/05/2018,14.1,84.2,0.4
30/05/2018,14.9,83.7,0
31/05/2018,16.1,88.2,1.5
01/06/2018,16.4,89,0.8
02/06/2018,16.7,87.9,2
03/06/2018,16.9,87.3,2.4
04/06/2018,16.8,88.6,4.2
05/06/2018,15.4,90,2.6
06/06/2018,14.6,87.1,0.8
07/06/2018,14.3,88.4,0.4
08/06/2018,14.6,88.6,0.4
09/06/2018,15.5,86.1,0.7
10/06/2018,15.6,86.3,0.3
11/06/2018,14.6,82.5,0
12/06/2018,14.9,83.6,0
13/06/2018,15.6,85.5,0
14/06/2018,15.3,85.8,0
15/06/2018,15.9,86,0.6
16/06/2018,16.7,84.8,1.2
17/06/2018,15.8,87,1.2
18/06/2018,15.4,88.2,2.1
19/06/2018,15.1,88.1,2.3
20/06/2018,15.3,87,1.1
21/06/2018,15.5,84.7,0
22/06/2018,15,85.4,0
23/06/2018,15.4,85.6,0
24/06/2018,15.4,85.9,0.3
25/06/2018,14.6,86.1,2.1
26/06/2018,14.2,87.1,1.7
27/06/2018,14.2,83.7,0.7
28/06/2018,14.2,80.6,0
29/06/2018,14.8,86.7,3.4
30/06/2018,15.2,84.3,1.6
01/07/2018,15.4,84.1,0.1
02/07/2018,15.4,86.7,1.7
03/07/2018,15,87.9,1.4
04/07/2018,14.7,87,2.2
05/07/2018,13.4,85.1,1.1
06/07/2018,13,81.1,0
07/07/2018,13.7,81.9,0
08/07/2018,14.1,81,0.5
09/07/2018,14.2,83.8,0.2
10/07/2018,15,84.9,0.3
11/07/2018,14.7,85.1,1.4
12/07/2018,14.7,83.9,0
13/07/2018,15.3,85.1,0.5
14/07/2018,15.1,85.7,1.2
15/07/2018,14.7,81,0
16/07/2018,13.9,78.7,0
17/07/2018,13.8,77.9,0
18/07/2018,13.9,78.4,0
19/07/2018,14.3,79.7,0
20/07/2018,14.4,82.5,0
21/07/2018,14.7,82.2,0
22/07/2018,14.8,81.7,0
23/07/2018,14,80.7,0
24/07/2018,13.8,80.1,0
25/07/2018,14.2,80.9,1.1
26/07/2018,14.7,80.6,0.4
27/07/2018,15.4,79.8,0.2
28/07/2018,15.6,78.8,2
29/07/2018,16.1,77.8,0.8
30/07/2018,16.7,80.9,4.9
31/07/2018,16.6,82.1,4.7
01/08/2018,16.4,82.2,2.7
02/08/2018,17,76.1,0.7
03/08/2018,16.8,76,0
04/08/2018,16.3,77.8,0.9
05/08/2018,15.3,75.3,0.3
06/08/2018,15.8,76.6,1.1
07/08/2018,15.4,67.8,0
08/08/2018,15,67.6,0
09/08/2018,15.6,72.1,0
10/08/2018,16,76,0.3
11/08/2018,15.2,73.1,0.2
12/08/2018,16,70.8,0.7
13/08/2018,15.7,69.8,0
14/08/2018,15.3,73.1,0.3
15/08/2018,15.2,73.1,0
16/08/2018,15.5,74.4,0
17/08/2018,15.8,76.7,0.9
18/08/2018,16.2,78.3,0
19/08/2018,15.8,79.4,0
20/08/2018,15.6,75.2,0
21/08/2018,16.7,74.8,0
22/08/2018,16.4,78.3,0
23/08/2018,17.2,77.7,0.4
24/08/2018,16.4,81.2,3.5
25/08/2018,16.1,79.3,4.2
26/08/2018,17.3,79.4,4.6
27/08/2018,16.7,84,7.5
28/08/2018,16.3,83.8,7.1
29/08/2018,15.4,82.9,0.7
30/08/2018,15.6,76.8,0.5
31/08/2018,16.3,77,0.8
01/09/2018,16.4,78,1.5
02/09/2018,15.9,81.1,2.1
03/09/2018,15.7,80.2,2
04/09/2018,16.3,78.1,1.8
05/09/2018,16.5,72.7,1
06/09/2018,16.8,73.3,1
07/09/2018,17.4,67.1,0.2
08/09/2018,17.4,66.8,0.1
09/09/2018,17.6,64.9,0
10/09/2018,18.3,68.4,0.5
11/09/2018,18.2,66.8,0
12/09/2018,17.6,63.5,0
13/09/2018,17.9,68.7,1.4
14/09/2018,18.4,68.4,1.9
15/09/2018,18.1,61.1,0
16/09/2018,17.6,58.3,0
17/09/2018,17.8,59,0
18/09/2018,18.1,60.8,0
19/09/2018,17.7,65.1,0
20/09/2018,17.9,63,0
21/09/2018,18.1,67.6,1.6
22/09/2018,18.1,71.2,1.4
23/09/2018,18.1,66,0.6
24/09/2018,18.1,60.9,0
25/09/2018,18.4,66.9,1.4
26/09/2018,19,64.2,0.8
27/09/2018,17.8,73.6,3.8
28/09/2018,18.7,67.7,0.1
29/09/2018,18.8,67.4,0.8
30/09/2018,18.2,61.3,0
01/10/2018,17.5,59.8,0
02/10/2018,17.7,68.1,0
03/10/2018,18.9,64.6,0.6
04/10/2018,19,63.7,0.7
05/10/2018,19.2,62.8,0
06/10/2018,19.6,65.3,1.7
07/10/2018,19.7,66,1.2
08/10/2018,18.6,71.3,7.2
09/10/2018,17.4,77.8,4
10/10/2018,18.4,67.6,0.8
11/10/2018,18.9,63.8,0.6
12/10/2018,18.4,64.2,0
13/10/2018,19.5,67.1,0
14/10/2018,19.5,63.3,0
15/10/2018,19.3,65.2,1
16/10/2018,19.3,64.1,0.3
17/10/2018,18.8,68.9,1.7
18/10/2018,19.1,70.1,5.4
19/10/2018,18.5,74,1.5
20/10/2018,19.1,64.8,1.9
21/10/2018,18.9,60.4,0.3
22/10/2018,18.3,62.6,0.7
23/10/2018,16.9,73.5,2.7
24/10/2018,17.3,70,1.5
25/10/2018,17.3,77.9,3.5
26/10/2018,17.9,75.9,4.2
27/10/2018,18.2,73.8,1.8
28/10/2018,18.2,72.2,0.3
29/10/2018,18.2,73.6,3
30/10/2018,17.3,79.1,1.8
31/10/2018,19.4,67.3,0.3
01/11/2018,19.4,69.5,2.6
02/11/2018,18.4,76.3,8.9
03/11/2018,18.2,74.3,1.6
04/11/2018,18.3,67.6,0
05/11/2018,18.8,62.5,0
06/11/2018,19.1,63.6,0
07/11/2018,19.7,60.3,0
08/11/2018,19.9,62,0
09/11/2018,19.4,69.1,1.7
10/11/2018,19,72,3
11/11/2018,18.3,71.9,1.2
12/11/2018,19,70.5,1.1
13/11/2018,19.3,68.3,0.1
14/11/2018,19.4,67.4,1.4
15/11/2018,19.8,65,0
16/11/2018,19.3,60.1,0
17/11/2018,19.1,69.1,0.9
18/11/2018,19.5,71.7,1
19/11/2018,19.1,71.8,3
20/11/2018,19,76.9,10
21/11/2018,18.8,75.7,5.9
22/11/2018,17.8,80,14.7
23/11/2018,17.9,75.6,0.6
24/11/2018,19.1,67.6,0.1
25/11/2018,18.9,69.1,2.1
26/11/2018,18.7,73.1,0.9
27/11/2018,18.8,72.6,1.4
28/11/2018,19.4,69.8,1.3
29/11/2018,19.6,69.7,1.1
30/11/2018,19.3,65.9,0.4
01/12/2018,18.3,76.2,2.4
02/12/2018,18.6,75.4,4.4
03/12/2018,18.8,76,4.6
04/12/2018,17.7,81.3,14.5
05/12/2018,19.3,71.8,0.3
06/12/2018,18.9,73.4,2.2
07/12/2018,19.4,70.7,0.3
08/12/2018,18.8,75.4,2
09/12/2018,18.8,77.3,4.1
10/12/2018,17.2,83.9,10.8
11/12/2018,16.3,84.7,7.1
12/12/2018,17.5,81.4,8.1
13/12/2018,18.2,77.5,2.8
14/12/2018,17.5,79,1.2
15/12/2018,17.4,79.8,4.7
16/12/2018,19.1,73.8,3.9
17/12/2018,19.6,66.7,0
18/12/2018,19.1,68.6,2.5
19/12/2018,18.2,81.3,7.4
20/12/2018,17.6,79.4,4.8
21/12/2018,18.6,73.5,3.5
22/12/2018,18.7,76.7,2.5
23/12/2018,19,75.9,2.5
24/12/2018,19.2,71.4,0
25/12/2018,18.8,67.9,0
26/12/2018,18.6,67.7,0
27/12/2018,18.6,69.2,0
28/12/2018,18.6,68.9,0.4
29/12/2018,18.6,68.5,0.3
30/12/2018,19.2,69.9,2.2
31/12/2018,18.7,71.6,3.5
,17.47369863,75.48273973,2.92630137
