datetime,temp,humidity,precip
01/01/2018,19.3,74.3,0
02/01/2018,21,70.5,0.2
03/01/2018,20.6,67.4,1.1
04/01/2018,20.9,64.9,0.2
05/01/2018,20.4,71.9,0
06/01/2018,19.9,67.5,1.1
07/01/2018,20.5,67,0.4
08/01/2018,21,61.5,0
09/01/2018,21.3,52.8,0
10/01/2018,21,58.2,0
11/01/2018,21.6,57.7,3.2
12/01/2018,22,62.1,3.3
13/01/2018,20.4,66.1,2.1
14/01/2018,20.7,60.9,4.7
15/01/2018,20.9,57.1,0
16/01/2018,21.7,64.7,0.4
17/01/2018,21.5,55.4,0
18/01/2018,21.1,62,0
19/01/2018,20.7,64.3,0
20/01/2018,21.8,65.6,3.3
21/01/2018,21.7,65.5,0.9
22/01/2018,21.2,48.4,0
23/01/2018,19.4,47.8,0
24/01/2018,20.9,54.8,0.9
25/01/2018,20.3,71.1,2.1
26/01/2018,19.5,72.8,0.3
27/01/2018,22,59.7,0.4
28/01/2018,21.8,58.6,0
29/01/2018,21,52.4,0
30/01/2018,21.4,56.1,0
31/01/2018,22.1,55.4,0
01/02/2018,23.1,52.3,0
02/02/2018,23.4,50.6,0
03/02/2018,22.4,40.5,0
04/02/2018,20.8,40.7,0
05/02/2018,23.2,50.6,0
06/02/2018,22.8,53.6,0
07/02/2018,22.9,49.6,0
08/02/2018,23.6,40.9,0
09/02/2018,21.5,37.6,0
10/02/2018,23.2,35.9,0
11/02/2018,22.7,45.3,0
12/02/2018,23.1,48.1,0
13/02/2018,24.3,45.4,0.2
14/02/2018,24.8,44.1,0
15/02/2018,24.8,39.1,0
16/02/2018,23.6,44.9,0
17/02/2018,23.9,44.2,0
18/02/2018,23.3,51.3,0
19/02/2018,21.9,59.6,0
20/02/2018,23.2,62.2,32.8
21/02/2018,22.5,75.5,0.4
22/02/2018,23,63.6,0
23/02/2018,22.3,57.6,2
24/02/2018,22.6,60.9,5.9
25/02/2018,22,67,6.2
26/02/2018,22.3,66.4,0.7
27/02/2018,21.8,69.7,1.2
28/02/2018,19.5,78.1,0.5
01/03/2018,18.6,80,24.1
02/03/2018,18.7,82.1,4.3
03/03/2018,19.9,75.9,11
04/03/2018,18.4,85.2,29
05/03/2018,20.1,72.6,0.5
06/03/2018,19,76.3,4.5
07/03/2018,20.3,74.2,0.1
