datetime,temp,humidity,precip
01/01/2018,22.4,68.3,0
02/01/2018,21.8,70.6,0.2
03/01/2018,22.5,66.7,1.3
04/01/2018,22.3,68.6,0.3
05/01/2018,23,62.8,0
06/01/2018,22.5,63.9,1.4
07/01/2018,22.6,61.6,0.5
08/01/2018,23.8,52.7,0
09/01/2018,23.3,54.3,0
10/01/2018,23.2,58.6,0
11/01/2018,23.3,59.1,3.7
12/01/2018,23.1,61.9,4
13/01/2018,23.2,65.6,2.5
14/01/2018,22.9,66,5.8
15/01/2018,22.7,56.9,0
16/01/2018,22.7,58.6,0.5
17/01/2018,23.2,57.9,0
18/01/2018,23.4,59.6,0
19/01/2018,23.8,61.9,0
20/01/2018,24.1,62.9,4.1
21/01/2018,24,56.9,1
22/01/2018,23.7,50,0
23/01/2018,23.4,55,0
24/01/2018,23,60.2,1.1
25/01/2018,23.3,65.1,2.5
26/01/2018,23.4,63.7,0.4
27/01/2018,24.8,58.3,0.4
28/01/2018,24.5,62.6,0
29/01/2018,24.3,61.2,0
30/01/2018,24.8,55.3,0
31/01/2018,25.1,55.5,0
01/02/2018,25.8,53.7,0
02/02/2018,25.7,52.1,0
03/02/2018,25.7,47.1,0
04/02/2018,24.7,52.4,0
05/02/2018,26.4,49.2,0
06/02/2018,26,52,0
07/02/2018,25.6,49.2,0
08/02/2018,24.5,44.8,0
09/02/2018,24.1,44.9,0
10/02/2018,24,45.7,0
11/02/2018,25,48.5,0
12/02/2018,26.1,47.3,0
13/02/2018,25.9,46.3,0
14/02/2018,26.1,48.3,0
15/02/2018,26.4,47,0
16/02/2018,26.8,44.7,0
17/02/2018,26.7,45.5,0
18/02/2018,26.9,48.9,0
19/02/2018,25.3,61.1,0
20/02/2018,23,76.1,39.1
21/02/2018,22.9,76.3,15
22/02/2018,24,68.8,0
23/02/2018,24.6,66.8,2.3
24/02/2018,24.3,64.4,7
25/02/2018,24.5,68.8,6.6
26/02/2018,25.3,62.9,0.8
27/02/2018,24.7,65.6,1.5
28/02/2018,23.5,73.3,10.5
01/03/2018,21.3,81.6,50.4
02/03/2018,21.1,81.9,13.2
03/03/2018,21.1,80.2,1.6
04/03/2018,20,84.2,18.9
05/03/2018,21.5,77.4,1.6
06/03/2018,20.8,84.3,12.2
07/03/2018,21.8,75.6,16.2
08/03/2018,22.8,72.5,1.9
09/03/2018,23.5,69.8,3.8
10/03/2018,23.1,74.7,15.6
11/03/2018,22.4,79.4,13.9
12/03/2018,21.9,80.3,7.3
