datetime,temp,humidity,precip
01/01/2018,15.6,74.3,0
02/01/2018,16.7,74.1,0.3
03/01/2018,17.4,71.2,0.3
04/01/2018,16.4,72.8,0
05/01/2018,17.2,68.5,0
06/01/2018,16.7,69.9,4.205
07/01/2018,16.7,68.4,0
08/01/2018,16.9,59.9,0
09/01/2018,17.2,58.7,0
10/01/2018,16.8,61,0.841
11/01/2018,16.7,62.7,0
12/01/2018,17.1,64.1,0
13/01/2018,16.7,66.2,0
14/01/2018,17.9,53.2,0
15/01/2018,18.3,46.5,0
16/01/2018,17.1,56,0
17/01/2018,17.3,50.9,0
18/01/2018,17.6,57.4,0
19/01/2018,17.8,60.6,0
20/01/2018,18.6,63,0.168
21/01/2018,17.3,55.1,0
22/01/2018,17.5,43.2,0
23/01/2018,17.9,46.1,0
24/01/2018,17.6,54,0
25/01/2018,16.6,71.3,0.168
26/01/2018,16.2,75.9,0.468
27/01/2018,18.2,57.9,0
28/01/2018,18.5,50.4,0
29/01/2018,17.6,45.2,0
30/01/2018,17.8,52.8,0
31/01/2018,18.6,51.1,0
01/02/2018,19.3,47.3,0
02/02/2018,18.1,49.9,0
03/02/2018,18,46.8,0
04/02/2018,19.3,40.8,0
05/02/2018,19.7,50,0
06/02/2018,18.7,58.2,0.841
07/02/2018,18.6,49.7,0
08/02/2018,17.8,37,0
09/02/2018,17.7,30.8,0
10/02/2018,19.7,31.7,0
11/02/2018,19.1,45.5,0
12/02/2018,19.4,48.6,0
13/02/2018,20.1,46,0.032
14/02/2018,20,47.8,0
15/02/2018,18.7,51.6,0
16/02/2018,20,45.3,0
17/02/2018,19.9,48.5,0
18/02/2018,19,55.1,0.841
19/02/2018,18.5,58.8,0
20/02/2018,19.2,61.4,0
21/02/2018,18.4,71.9,16.042
22/02/2018,18.5,62,0
23/02/2018,19.5,46.1,0
24/02/2018,19,52.9,0
25/02/2018,19.4,61.6,0
26/02/2018,19.6,58,0
27/02/2018,18.6,63.1,5.887
28/02/2018,16.7,79.8,8.489
01/03/2018,15.7,81,32.426
02/03/2018,15.1,82.9,7.664
03/03/2018,15.7,82.7,3.431
04/03/2018,14.5,89,9.658
05/03/2018,15.9,78.7,15.217
06/03/2018,16.2,78.2,0.8
07/03/2018,17.3,71.9,0.689
08/03/2018,18.2,69.1,0
09/03/2018,18.4,69.5,0.284
10/03/2018,17.5,72.6,0
11/03/2018,16.7,76.6,0
12/03/2018,15.9,84.9,14.832
13/03/2018,15.7,87.5,19.841
14/03/2018,17.5,78.7,1.809
15/03/2018,15.8,86.5,34.063
16/03/2018,15.8,87.9,6.795
17/03/2018,16.8,81.3,4.364
18/03/2018,17.9,79.3,1.809
19/03/2018,16.8,82.5,8.022
20/03/2018,17.5,74.4,11.841
21/03/2018,17.9,67.7,0.318
22/03/2018,17.3,66.9,0.318
23/03/2018,18.1,60.9,0.032
24/03/2018,18.2,64.5,0.159
25/03/2018,18,70.2,0.954
26/03/2018,18.1,72,2.882
27/03/2018,18.5,64.6,0
28/03/2018,18.5,60.3,0.318
29/03/2018,17.7,65.3,0.159
30/03/2018,17.1,67.1,0.032
31/03/2018,17.3,65,0.5
01/04/2018,16.5,75.5,1.318
02/04/2018,17.7,74.9,2.555
03/04/2018,17.4,71.8,0.207
04/04/2018,17.2,75.1,0.4
05/04/2018,16.7,81.2,4.199
06/04/2018,17.2,77.9,2.477
07/04/2018,16.2,83.6,27.045
08/04/2018,16.5,85.8,11.95
09/04/2018,17.2,75.4,25.412
10/04/2018,17.7,77.9,1.865
11/04/2018,16.7,81.3,9.453
12/04/2018,16.2,88.3,13.474
13/04/2018,16.8,83.8,39.163
14/04/2018,15.1,90,41.588
