datetime,temp,humidity,precip
01/01/2018,29.3,47.8,0
02/01/2018,30,47.2,0
03/01/2018,30.9,44.8,0
04/01/2018,30.7,41.4,0
05/01/2018,29.9,45.2,0
06/01/2018,29.7,46.4,0
07/01/2018,30,44.3,0
08/01/2018,29.7,46.6,0
09/01/2018,29.4,48.5,0
10/01/2018,30.1,43.4,0
11/01/2018,29.5,43.5,0
12/01/2018,28.8,46.5,0
13/01/2018,28.1,43,0
14/01/2018,28.5,42.3,0
15/01/2018,28.9,47,0
16/01/2018,29.6,50.5,0
17/01/2018,30,52.4,0
18/01/2018,30,52.7,0
19/01/2018,29.9,54.5,0
20/01/2018,30.2,49.8,0
21/01/2018,29.6,49.5,0
22/01/2018,29.4,51.7,0
23/01/2018,29,54.1,0
24/01/2018,28.6,54.3,0.1
25/01/2018,29.9,50.8,0
26/01/2018,30.2,51.2,0
27/01/2018,29.6,51.9,0
28/01/2018,29.7,50.3,0
29/01/2018,30.2,47.2,0
30/01/2018,30.3,47.6,0
31/01/2018,30,50.1,0
01/02/2018,30.1,51.2,0
02/02/2018,29.3,53.5,0
03/02/2018,30,51.1,0
04/02/2018,30.3,51.2,0
05/02/2018,30.5,51,0
06/02/2018,29.9,48.4,0
07/02/2018,29.3,44.2,0
08/02/2018,28.5,50.4,0.1
09/02/2018,29.4,48.4,0
10/02/2018,29.7,53.8,0
11/02/2018,29.6,53.8,0
12/02/2018,29.8,47.3,0
13/02/2018,30.3,50.5,0
14/02/2018,30.4,53.5,0
15/02/2018,30.3,54.4,0
16/02/2018,30.7,49.2,0
17/02/2018,30.7,50.5,0
18/02/2018,30.7,50.8,0
19/02/2018,31.6,47.9,0
20/02/2018,31.1,49.2,0
21/02/2018,31.8,46,0
22/02/2018,31.1,50.6,0
23/02/2018,30.9,50.5,0
24/02/2018,31.3,52.5,0
25/02/2018,31.7,49.2,0
26/02/2018,31.4,48.7,0
27/02/2018,31.4,49.4,0
28/02/2018,32,47.9,0
01/03/2018,31.3,51.8,1.6
02/03/2018,28.3,66.9,17
03/03/2018,27.9,72.2,1.9
04/03/2018,25.2,85.4,12.5
05/03/2018,26.7,80.7,2.8
06/03/2018,27.8,71.5,0.1
07/03/2018,29,68.2,1.4
08/03/2018,29.5,65.8,1.1
09/03/2018,29.4,61.3,0
10/03/2018,29,61.5,0.3
11/03/2018,29.4,59.3,0.3
12/03/2018,29.3,61.4,0.1
13/03/2018,28.9,64.5,0.5
