datetime,temp,humidity,precip
01/01/2018,21.9,75.5,0.4
02/01/2018,22.5,72.4,0.8
03/01/2018,22.2,69.7,1.6
04/01/2018,23.1,62.4,1.4
05/01/2018,22.2,76.5,0
06/01/2018,22.6,68.6,1.8
07/01/2018,22.6,67.2,1.6
08/01/2018,22.8,61.9,1
09/01/2018,22.8,58.2,0.3
10/01/2018,22.7,62.3,0.3
11/01/2018,23.3,60.5,3.1
12/01/2018,23.8,62.8,0.5
13/01/2018,22.5,71.2,3
14/01/2018,22.3,73.6,4.6
15/01/2018,22.4,71.1,0.2
16/01/2018,22.2,73.9,0
17/01/2018,22.5,64.6,0
18/01/2018,23,68.8,0
19/01/2018,23.2,68.5,0.3
20/01/2018,23.2,68.6,0.6
21/01/2018,22.9,72.2,0.1
22/01/2018,23.8,54.9,0
23/01/2018,23.2,53.3,0
24/01/2018,22.9,63.1,0.8
25/01/2018,21.7,74.3,0.4
26/01/2018,21.9,73.1,0.8
27/01/2018,24.1,64.4,0
28/01/2018,24,66.8,0
29/01/2018,24.2,64.4,0
30/01/2018,24.3,62.4,0
31/01/2018,23.8,64.2,0
01/02/2018,25.4,55.8,0
02/02/2018,25.9,52.9,0
03/02/2018,24.9,48.7,0
04/02/2018,24.6,51.3,0
05/02/2018,26.8,51.4,0
06/02/2018,26.2,52.4,0
07/02/2018,25.6,54.6,0
08/02/2018,25.5,49.4,0
09/02/2018,24.9,49.4,0
10/02/2018,25.8,46.6,0
11/02/2018,25.6,46.4,0
12/02/2018,26.8,46.7,0
13/02/2018,27,42,0
14/02/2018,26.9,43.5,0
15/02/2018,28.1,34.3,0
16/02/2018,27.3,43.5,0
17/02/2018,27.4,40.1,0
18/02/2018,26.5,45.4,0
19/02/2018,25,57.2,0
20/02/2018,24.8,62.3,100.2
21/02/2018,21.9,81,26.6
22/02/2018,22.6,79.2,4.1
23/02/2018,24.5,72,1.9
24/02/2018,24.4,70.1,2.3
25/02/2018,24.4,69.1,6.4
26/02/2018,23.4,73.7,0.4
27/02/2018,23.9,73.1,0.6
28/02/2018,22.1,81.2,5.4
01/03/2018,21.3,80.9,70
02/03/2018,20.4,83.1,7
03/03/2018,21.5,74.4,0.7
04/03/2018,19.9,83.9,5.9
05/03/2018,22.4,69.9,0.9
06/03/2018,21.6,76,21.6
07/03/2018,22.6,75.5,6.8
08/03/2018,23.8,71.1,0.3
09/03/2018,22.4,74,0.6
10/03/2018,21.6,80,8.1
11/03/2018,21.5,82.5,9.5
12/03/2018,21,83.4,2.9
13/03/2018,20.7,84.5,1.1
14/03/2018,23.5,71.4,1.4
15/03/2018,21,83.8,2.7
16/03/2018,21.4,80.6,31.1
17/03/2018,21.5,80.9,9.2
18/03/2018,22,81.4,2.6
19/03/2018,20.7,86.3,8.4
20/03/2018,21.3,81.8,30.1
21/03/2018,21.7,81.9,13.3
22/03/2018,22.6,75.8,3.4
23/03/2018,22.9,74.2,10.8
24/03/2018,23.4,69.1,1.3
25/03/2018,22.5,78.8,15.5
26/03/2018,22.2,80.5,21.8
27/03/2018,22.4,77.7,38.7
28/03/2018,24.2,66.8,27.6
29/03/2018,22.3,80.5,5.4
30/03/2018,22.9,73.9,1.4
31/03/2018,23.7,72.1,9.9
01/04/2018,22.2,76.1,8.1
02/04/2018,23,72.7,12.5
03/04/2018,23.8,69.7,12.6
04/04/2018,21.1,86.5,11.8
05/04/2018,20.3,84.7,0.5
06/04/2018,21.7,78.3,3.8
07/04/2018,22.1,81.5,5.3
08/04/2018,21,84.6,8.2
09/04/2018,20.6,82.8,12.2
10/04/2018,21.9,80.2,25.1
11/04/2018,21.5,84.3,27.2
12/04/2018,21.2,85.9,5.7
13/04/2018,22.2,84.3,32.4
14/04/2018,20.8,87.1,22.4
15/04/2018,21.4,79.9,11.9
16/04/2018,20.7,84.4,8
17/04/2018,20.5,84.6,7
18/04/2018,21.3,78.9,1.8
19/04/2018,21.4,82,0
20/04/2018,22.3,76.2,0.6
21/04/2018,22.7,74.6,1
22/04/2018,21.7,83.2,0.5
23/04/2018,22.5,77.5,2.3
24/04/2018,22.2,83.6,8.2
25/04/2018,22.4,77.8,4.5
26/04/2018,21.1,86.7,24.5
27/04/2018,21.3,84.4,6.2
28/04/2018,21.7,80.4,27.2
29/04/2018,22.3,83.1,7.2
30/04/2018,21.9,82.1,0.6
01/05/2018,21.5,84.7,8.4
02/05/2018,21.5,80,5
03/05/2018,21.4,80.8,1.8
04/05/2018,22.4,79.8,2.7
05/05/2018,22.7,79,4
06/05/2018,21.9,79.5,2.8
07/05/2018,21.7,80.1,2
08/05/2018,22,77.9,10.2
09/05/2018,22.5,76.8,17.5
10/05/2018,22.2,78.3,8.7
11/05/2018,22.6,76.9,36.6
12/05/2018,23.4,71.5,13
13/05/2018,22.9,74.7,8.5
14/05/2018,22.8,73.5,71.6
15/05/2018,22.1,80.5,16.5
16/05/2018,20.9,83.1,6.4
17/05/2018,22.3,74.5,0.2
18/05/2018,22.4,77.1,0
19/05/2018,21.5,82.1,2.1
20/05/2018,22.2,78.6,4.9
21/05/2018,21.5,81.7,17
22/05/2018,20.8,84.7,4
23/05/2018,21,80.6,3.3
24/05/2018,21.4,77.4,0
25/05/2018,21.8,75.1,1.2
26/05/2018,22.1,77.2,3.5
27/05/2018,22.9,74.7,0.6
28/05/2018,23.1,73.3,0
29/05/2018,22.8,71.5,0.2
30/05/2018,23.3,74.8,3.1
31/05/2018,22,79.6,2.9
01/06/2018,22.2,78.5,1.2
02/06/2018,22.6,77.4,2.3
03/06/2018,22.7,73.1,2
04/06/2018,22.8,77.4,3.3
05/06/2018,20.3,85.3,3.9
06/06/2018,21.8,78,0.4
07/06/2018,21.9,78.8,1.3
08/06/2018,21.6,80.1,2.2
09/06/2018,21.3,78.8,0.4
10/06/2018,22,74.9,1.1
11/06/2018,22.4,74,0
12/06/2018,21.6,67.8,0
13/06/2018,21.7,70.5,0.1
14/06/2018,22.3,74.9,1.4
15/06/2018,22.4,74.1,0.3
16/06/2018,23.7,69.8,0
17/06/2018,23.2,69.9,0
18/06/2018,22.8,70.2,0.4
19/06/2018,21.3,79.2,3.3
20/06/2018,20.3,85.8,17
21/06/2018,20.8,79.8,4.2
22/06/2018,20.3,76.9,0
23/06/2018,19.7,78.1,0
24/06/2018,21,76.1,4.4
25/06/2018,22,72.9,23.7
26/06/2018,20.4,72.8,2.7
27/06/2018,21,73.8,1
28/06/2018,21,67.2,0
29/06/2018,21.7,71.4,8.5
30/06/2018,21.2,71.9,3.2
01/07/2018,20.9,73,0
02/07/2018,20.9,77.2,0.6
03/07/2018,22,69.5,1
04/07/2018,21.8,69,2.9
05/07/2018,21.9,70.9,0.7
06/07/2018,21.2,71.7,0
07/07/2018,21.4,64.9,0
08/07/2018,20.5,73.5,0.5
09/07/2018,22.1,69.6,1.8
10/07/2018,21.7,70.6,0.7
11/07/2018,20.6,79.4,0
12/07/2018,21.6,69.9,0.2
13/07/2018,22.5,68.7,0.2
14/07/2018,22.2,71.6,1.4
15/07/2018,20.8,72.7,0
16/07/2018,18.7,70.9,0
17/07/2018,21.5,64.9,0
18/07/2018,22.2,62.7,0
19/07/2018,22.9,62.7,0
20/07/2018,23.6,62.2,0
21/07/2018,22.5,67.3,0
22/07/2018,22.4,65,0.3
23/07/2018,22.4,64.1,0.1
24/07/2018,21.5,63.7,0.4
25/07/2018,22.1,70.1,0.9
26/07/2018,21.3,73.3,1.4
27/07/2018,21.6,73.4,7.6
28/07/2018,21.4,74.4,2.5
29/07/2018,21.1,72,0.6
30/07/2018,21.5,70.9,0.9
31/07/2018,22.9,67.9,2.1
01/08/2018,21.7,76.4,1.2
02/08/2018,21.2,75.5,11.6
03/08/2018,22.3,73.2,2.9
04/08/2018,22.3,70.1,0
05/08/2018,20.9,71.8,0
06/08/2018,21.5,69.2,2.2
07/08/2018,22.1,65.6,0
08/08/2018,22.1,60.7,0
09/08/2018,22.8,61.8,0
10/08/2018,21.7,71.5,0.6
11/08/2018,21.5,67.9,0.6
12/08/2018,23,58.8,0
13/08/2018,22.4,60.8,0
14/08/2018,21.9,59.3,0
15/08/2018,23.1,56,0
16/08/2018,23.9,57.2,0.3
17/08/2018,23,61.3,4.3
18/08/2018,23.8,59.7,0.9
