datetime,temp,humidity,precip
01/01/2018,17.3,63.5,0
02/01/2018,18,67.4,0.2
03/01/2018,18.2,70.9,0.7
04/01/2018,17.4,69.6,0
05/01/2018,17.5,64.5,0
06/01/2018,16.9,68.4,0
07/01/2018,17.1,64.2,0
08/01/2018,17.3,61.6,0
09/01/2018,17.5,64.2,0
10/01/2018,17,72,0
11/01/2018,16.5,68.4,1.2
12/01/2018,16,71,0.5
13/01/2018,15.6,64.2,0
14/01/2018,16.1,55.2,0
15/01/2018,16.3,53.3,0
16/01/2018,16.8,60,0
17/01/2018,17.4,68.6,0.2
18/01/2018,18.1,67.6,0
19/01/2018,18,73.2,0.7
20/01/2018,17.4,76,0.4
21/01/2018,17.2,66.6,0
22/01/2018,16.8,66.5,0.7
23/01/2018,17,66.9,0
24/01/2018,17.5,70.2,1
25/01/2018,18.1,75.4,4
26/01/2018,18.7,73.5,5.7
27/01/2018,18.3,71.6,0
28/01/2018,18.2,67.1,0
29/01/2018,18.1,62.7,0
30/01/2018,18.2,61.8,0
31/01/2018,17.9,69,0
01/02/2018,18,74.8,0
02/02/2018,17.5,76.2,0
03/02/2018,17.9,69.6,0
04/02/2018,17.8,69.8,0
05/02/2018,17.7,78.8,6.3
06/02/2018,17.4,73.3,1.4
07/02/2018,17.1,59.2,0
08/02/2018,16.5,54.4,0
09/02/2018,16.9,58.8,0
10/02/2018,17.6,66.2,0
11/02/2018,17.7,76,0.3
12/02/2018,18,68.4,0
13/02/2018,17.9,64.5,0.2
14/02/2018,18.5,75.5,1.4
15/02/2018,18.3,74.1,0.3
16/02/2018,18.5,70.4,0
17/02/2018,18.5,70.2,0
18/02/2018,18.7,71.1,0
19/02/2018,19.5,70,0.2
20/02/2018,19.4,70.5,1.5
21/02/2018,20,63.7,0
22/02/2018,19.8,66.8,0
23/02/2018,19.2,65.6,0
24/02/2018,19.5,64.5,0
25/02/2018,20.3,65.3,0
26/02/2018,20.5,59.2,0
27/02/2018,20.3,60.1,0
28/02/2018,19.9,69.3,0.4
01/03/2018,19.1,77.4,34.7
02/03/2018,17.8,84,11
03/03/2018,17.6,85.7,36
04/03/2018,16.3,88.3,13.5
05/03/2018,17.3,85,1.5
06/03/2018,17.3,84.4,8
07/03/2018,18,81.2,7
08/03/2018,18.2,77.7,2.4
09/03/2018,19.2,73.7,12
10/03/2018,19,67.2,0.1
11/03/2018,19.1,71,1.3
12/03/2018,18.8,76.9,13
13/03/2018,18.4,85.2,2
14/03/2018,18.7,82.4,0.3
15/03/2018,17.6,90.1,25.7
16/03/2018,16.8,84.8,31
17/03/2018,18.6,82.3,11.9
18/03/2018,18.6,81.7,7
19/03/2018,17.4,87.6,8
20/03/2018,17.3,90.1,7
21/03/2018,17.2,90.2,34
22/03/2018,17.4,84.5,0.7
23/03/2018,17.8,79.3,0.5
24/03/2018,18.5,81.7,0.7
25/03/2018,17.8,87.4,0.6
26/03/2018,18,87.7,7
27/03/2018,17.9,87.1,4
28/03/2018,17.6,87.3,3
29/03/2018,17.7,86.2,0.4
30/03/2018,17.1,86,0.7
31/03/2018,17.4,83.9,1.1
01/04/2018,17.9,82.6,11.5
02/04/2018,17.7,85.7,21.5
03/04/2018,17.6,84.5,6
04/04/2018,17.5,86.3,10
05/04/2018,17.6,84.6,6
06/04/2018,18,85,15
07/04/2018,18.2,86.4,10.2
08/04/2018,17.6,84.9,5
09/04/2018,17.8,85.1,13
10/04/2018,18,82.7,12.2
11/04/2018,17.7,89.6,20
12/04/2018,17.6,88.2,25
