datetime,temp,humidity,precip
2018-01-01,21.4,55.6,0
2018-01-02,20.4,66.2,3.5
2018-01-03,20.3,71,1.4
2018-01-04,18.6,81.6,8
2018-01-05,20.8,66,0
2018-01-06,21.1,57.3,0
2018-01-07,20.5,55.5,0
2018-01-08,21,50.9,0
2018-01-09,21.2,53.9,0
2018-01-10,20.5,63.4,0.4
2018-01-11,20.5,59.4,0
2018-01-12,20.4,60.5,0
2018-01-13,20.1,54.5,0
2018-01-14,20.3,47.7,0
2018-01-15,21,43.3,0
2018-01-16,20.9,51.8,0
2018-01-17,21.2,56.7,0
2018-01-18,21.9,53.7,0
2018-01-19,22.3,59,0
2018-01-20,21.4,61.3,0
2018-01-21,21.2,49.7,0
2018-01-22,20.7,51.4,0
2018-01-23,20.8,51.3,0
2018-01-24,21.3,56.3,0
2018-01-25,21.2,63,2
2018-01-26,20.8,70.6,2
2018-01-27,21.5,62.6,0
2018-01-28,22,56.4,0
2018-01-29,22,48,0
2018-01-30,22.3,48,0
2018-01-31,21.5,54.3,0
2018-02-01,21.2,58,0
2018-02-02,20.6,60.3,0
2018-02-03,21.1,51.2,0
2018-02-04,21.4,54.3,0
2018-02-05,21.9,56.1,0
2018-02-06,21.8,56.2,0
2018-02-07,21,52.1,0
2018-02-08,20.4,43,0
2018-02-09,20.7,42.4,0
2018-02-10,21.5,54,0
2018-02-11,21,61.7,0
2018-02-12,20.7,60.9,0
2018-02-13,20.6,58.6,0
2018-02-14,21.4,60.5,0
2018-02-15,20.6,62.9,0
2018-02-16,21.1,60.7,0
2018-02-17,21.8,58.2,0
2018-02-18,21.7,59.4,0
2018-02-19,22.3,60.4,0
2018-02-20,22.1,64.9,0.1
2018-02-21,23.6,52,0
2018-02-22,23.3,52.7,0
2018-02-23,23.3,51.1,0
2018-02-24,23.2,55.2,0
2018-02-25,23.9,51.6,0
2018-02-26,24.4,46.7,0
2018-02-27,23.9,49,0
2018-02-28,23.8,55.1,0
2018-03-01,20.3,75.3,4
2018-03-02,18.5,84.4,4
2018-03-03,19.2,82.9,15
2018-03-04,17.8,90.7,12
2018-03-05,18.1,86.7,4
2018-03-06,19.3,83.3,31
2018-03-07,20.3,72.2,18
2018-03-08,21.2,67.5,0
2018-03-09,21.6,69.1,0
2018-03-10,20.2,75.9,0
2018-03-11,20.1,76.1,0.2
2018-03-12,19.1,84.4,1
2018-03-13,18.9,84,33
2018-03-14,20.7,75.7,0.4
2018-03-15,18.2,89.4,46.6
2018-03-16,18.5,86.4,1.2
2018-03-17,18.9,85.9,7
2018-03-18,20.1,79.3,13
2018-03-19,18,90.8,11
2018-03-20,18.5,86,0.2
2018-03-21,19,82.3,0.3
2018-03-22,19.5,79.5,1
2018-03-23,19.8,72.1,0
2018-03-24,20.6,70.3,0
2018-03-25,20.3,75.3,0
2018-03-26,20,79.3,6
2018-03-27,19.5,81.7,1
2018-03-28,19.6,78.4,0.7
2018-03-29,19.4,80.4,0
2018-03-30,19.7,77.6,0
2018-03-31,19.7,73.5,2
2018-04-01,19.8,77.1,0.7
2018-04-02,19.7,79.9,1
2018-04-03,18.6,86.2,3
2018-04-04,19.1,78.9,3
2018-04-05,19.6,78.8,0
2018-04-06,19.9,77.5,0.1
2018-04-07,20.2,77.4,0
2018-04-08,19.8,77.1,1
2018-04-09,20.1,77.8,1
2018-04-10,20.7,75.9,2
2018-04-11,19.6,82.9,6
2018-04-12,20,81,10
2018-04-13,20.3,79.8,0
2018-04-14,19.2,83.2,14
2018-04-15,19.3,81,32
2018-04-16,19.8,77.4,1
2018-04-17,19.1,83,19
2018-04-18,19.1,81.9,1
2018-04-19,18.9,86.5,3
2018-04-20,19.4,83.3,0
2018-04-21,19.9,83.7,23
2018-04-22,19.2,84,30.2
2018-04-23,19.6,83.7,4
2018-04-24,18.5,89.9,55
2018-04-25,18.5,87.9,14
2018-04-26,19.6,81.6,0.5
2018-04-27,19.7,83.8,0
2018-04-28,19.3,85.1,0.1
2018-04-29,19.1,82.5,0
2018-04-30,19.3,83.5,1
2018-05-01,18.5,87.6,0.8
2018-05-02,18.2,86.2,16
2018-05-03,18.6,86.2,48
2018-05-04,19.7,82.8,4
2018-05-05,19.5,81.5,0.3
2018-05-06,19.8,79.6,0.2
2018-05-07,18.3,90.1,3
2018-05-08,18.7,86,0.7
2018-05-09,18.7,85.1,0
2018-05-10,18.6,86.4,4
2018-05-11,18.7,86,3
2018-05-12,20,77.4,0
2018-05-13,20.2,80.3,0.3
2018-05-14,20,79.6,0
2018-05-15,19.7,79.3,0.3
2018-05-16,19.4,81.4,0
2018-05-17,19.2,83.2,7
2018-05-18,19.1,78.3,0
2018-05-19,19,78,0.1
2018-05-20,18.2,84.1,2
2018-05-21,18.5,83.9,0
2018-05-22,18,87,11
2018-05-23,18.4,83.6,3
2018-05-24,18.7,80.4,0
2018-05-25,18.6,81,0
2018-05-26,19.4,79.5,0
2018-05-27,18.7,79.5,0
2018-05-28,18.4,69.9,0
2018-05-29,17.9,71.2,0
2018-05-30,18.6,71.8,0
2018-05-31,19,78.8,0
2018-06-01,19.3,79.7,0
2018-06-02,19.5,79.2,0.2
2018-06-03,19.2,80,0
2018-06-04,19,82.7,0
2018-06-05,18.8,83.1,3
2018-06-06,18,79.5,14
2018-06-07,16.2,88.6,2
2018-06-08,17.3,85.3,0
2018-06-09,16.7,84.5,0
2018-06-10,16.9,83.4,0
2018-06-11,17.1,77.2,0
2018-06-12,16.6,79.4,0
2018-06-13,18.5,78.1,0
2018-06-14,17.3,79.9,0
2018-06-15,17.3,81.5,0
2018-06-16,17.9,80.5,0
2018-06-17,16.4,89.1,0
2018-06-18,15.9,91.6,0.2
2018-06-19,16.5,86.3,1
2018-06-20,18,78.1,0.2
2018-06-21,18.1,74.6,0
2018-06-22,18.3,75.7,0.1
2018-06-23,18.8,74.9,0.1
2018-06-24,18.1,79.3,0
2018-06-25,16.5,82.9,0
2018-06-26,18.7,75.9,0.8
2018-06-27,18.8,67.8,0.1
2018-06-28,18.4,69.1,0
2018-06-29,17.5,77,0
2018-06-30,18.4,73.3,0
2018-07-01,17.8,74.6,0
2018-07-02,17.1,77.3,0.1
2018-07-03,16.9,83.6,2
2018-07-04,16.4,84.6,0.4
2018-07-05,17.1,74.1,0.2
2018-07-06,17.1,68.7,0
2018-07-07,16.4,73.9,0
2018-07-08,17.5,70.7,0
2018-07-09,17.3,72.5,0
2018-07-10,17.7,74.7,0
2018-07-11,17.1,77.4,1
2018-07-12,17.5,74.6,0
2018-07-13,16.7,78.5,0
