datetime,temp,humidity,precip
2018-01-01,18.9,74.7,0
2018-01-02,20.6,71.1,0.3
2018-01-03,20.3,68.7,0.7
2018-01-04,20.4,65.2,0
2018-01-05,19.8,72.6,0
2018-01-06,19.9,68.2,3.013
2018-01-07,20.5,67.3,0
2018-01-08,20.8,61.9,0
2018-01-09,20.8,53.9,0
2018-01-10,20.5,59.8,0.603
2018-01-11,20.9,59.3,0
2018-01-12,21.5,62.4,0
2018-01-13,19.8,65.5,0
2018-01-14,20.1,60.6,0
2018-01-15,20.7,55.4,0
2018-01-16,20.4,65.1,0
2018-01-17,20.4,55.2,0
2018-01-18,20.6,62.5,0
2018-01-19,20.2,64.6,0
2018-01-20,21.5,65.7,0.121
2018-01-21,21.5,65.3,0
2018-01-22,20.8,47.4,0
2018-01-23,18.9,46.5,0
2018-01-24,19.8,55.2,0
2018-01-25,19.5,72.3,0.121
2018-01-26,19,74.2,0.421
2018-01-27,21.5,60.6,0
2018-01-28,21.4,58.5,0
2018-01-29,20.5,52,0
2018-01-30,21.3,56.1,0
2018-01-31,21.8,56,0
2018-02-01,22.7,51.9,0
2018-02-02,23.2,51,0
2018-02-03,21.5,41.1,0
2018-02-04,20.4,40,0
2018-02-05,23.1,50.7,0
2018-02-06,22.5,53.6,0.603
2018-02-07,22.5,49.9,0
2018-02-08,23.1,39.9,0
2018-02-09,21.1,37.4,0
2018-02-10,23.2,34.8,0
2018-02-11,22.1,45.6,0
2018-02-12,22.7,48.6,0
2018-02-13,23.6,45,0.079
2018-02-14,24.4,44.6,0
2018-02-15,24.5,39.3,0
2018-02-16,23.5,45.4,0
2018-02-17,23.4,45.1,0
2018-02-18,22.1,51.1,0.603
2018-02-19,21.3,59.9,0
2018-02-20,22.5,61.3,0
2018-02-21,20.3,72,11.607
2018-02-22,20.4,64.3,0
2018-02-23,21.9,56.4,0.1
2018-02-24,22.2,59.4,0.1
2018-02-25,21.9,66.8,0
2018-02-26,22.1,66.8,0
2018-02-27,21.3,69.5,4.218
2018-02-28,18.6,80.4,6.224
2018-03-01,18.5,79.4,30.065
2018-03-02,18,81.9,6.71
2018-03-03,19.6,76.4,5.577
2018-03-04,18.4,84.7,15.142
2018-03-05,20.1,72.2,11.044
2018-03-06,19.1,75.8,1.849
2018-03-07,20.3,73.9,0.522
2018-03-08,21.5,69.6,0
2018-03-09,20.2,68.6,0.26
2018-03-10,18.3,72.4,0
2018-03-11,17.6,77.6,0
2018-03-12,17.2,83.8,14.879
2018-03-13,18.6,85,19.602
2018-03-14,21.2,74,1.523
2018-03-15,19.4,84.3,34.159
2018-03-16,18.7,83.8,7.987
2018-03-17,19.4,80.1,3.41
2018-03-18,20.4,80.5,1.523
2018-03-19,18.9,84.3,12.552
2018-03-20,19.6,78.3,11.602
2018-03-21,20,73.6,0.795
2018-03-22,19.9,70.7,0.795
2018-03-23,20.2,67,0.079
2018-03-24,20.6,66.2,0.397
2018-03-25,20.9,73.7,2.384
2018-03-26,20,76,2.405
2018-03-27,20.8,71.9,0
2018-03-28,21.8,64.1,0.795
2018-03-29,20.6,71.5,0.397
2018-03-30,20.1,68.6,0.079
2018-03-31,21.5,67.8,0.5
2018-04-01,19.4,74.6,1.795
2018-04-02,20.3,73.1,1.887
2018-04-03,21.5,70.3,0.516
2018-04-04,20,81.4,0.9
2018-04-05,18.9,83.3,8.395
2018-04-06,20,77.8,3.192
2018-04-07,19.8,82.1,25.615
2018-04-08,19.3,84.8,10.377
2018-04-09,19.3,79,24.529
2018-04-10,19.8,79.1,3.463
2018-04-11,19.1,81.7,16.13
2018-04-12,19.3,86.4,11.184
2018-04-13,20,83.8,28.909
2018-04-14,18.6,88.2,54.464
2018-04-15,19.2,80.5,2.072
2018-04-16,18.6,84.5,1.364
