datetime,temp,humidity,precip
2018-01-01,21.6,75.6,0
2018-01-02,22.4,72.7,1.4
2018-01-03,21.2,72.7,5.9
2018-01-04,22.6,63.2,1.1
2018-01-05,21.7,77.7,0
2018-01-06,21.9,69.9,1.8
2018-01-07,22.4,67.5,1.9
2018-01-08,22.6,62.7,0
2018-01-09,22.1,60.2,0
2018-01-10,22,64.4,0
2018-01-11,22.8,61.9,3.6
2018-01-12,23.7,62.7,0.3
2018-01-13,21.4,70.7,2
2018-01-14,21.3,73.6,1.3
2018-01-15,21.7,69,0.2
2018-01-16,21.5,73.7,0
2018-01-17,21.7,63.2,0
2018-01-18,22.6,69.4,0
2018-01-19,22.3,69.2,0
2018-01-20,23.2,68.6,0
2018-01-21,22.9,72.2,0
2018-01-22,23,54.5,0
2018-01-23,21.4,51.7,0
2018-01-24,21.6,61.3,0.4
2018-01-25,21,74.5,1.1
2018-01-26,21.2,75,2
2018-01-27,23.7,65.2,0
2018-01-28,23.5,67.3,0
2018-01-29,23.6,64.1,0
2018-01-30,23.8,61.6,0
2018-01-31,23.4,64.4,0
2018-02-01,25,55.8,0
2018-02-02,25.7,52.9,0
2018-02-03,23.6,46.3,0
2018-02-04,22.7,48.6,0
2018-02-05,26.1,51.5,0.1
2018-02-06,25.5,54.4,5
2018-02-07,24.9,54.9,0.1
2018-02-08,25,48.2,0
2018-02-09,23.9,48.5,0
2018-02-10,24.8,45.1,0
2018-02-11,24.4,48.2,0
2018-02-12,25.4,49.2,0
2018-02-13,26,43.4,0
2018-02-14,26.9,43.5,0
2018-02-15,27.9,34.6,0
2018-02-16,26.1,47.5,0
2018-02-17,26.1,43.3,0
2018-02-18,25,48.6,0
2018-02-19,24.1,59.9,0
2018-02-20,24.6,62,49.6
2018-02-21,21.8,74.5,9
2018-02-22,21.8,73.9,3.7
2018-02-23,23.9,69.5,0.7
2018-02-24,24,66.8,0.5
2018-02-25,23.8,69.3,1.2
2018-02-26,23.4,73.8,0
2018-02-27,23.5,71.2,0.3
2018-02-28,20.9,79.9,6.3
2018-03-01,20.4,81.2,46.8
2018-03-02,19.8,83.8,5.6
2018-03-03,21.3,74.7,4
2018-03-04,19.9,83.9,7.9
2018-03-05,22.3,69.5,1.4
2018-03-06,21.2,75.9,21.8
2018-03-07,22,75.9,5.2
2018-03-08,23.2,70.7,0
2018-03-09,21.1,73,1
2018-03-10,19.5,79.1,4.5
2018-03-11,19.4,81.9,6.6
2018-03-12,19.1,84.7,4.7
2018-03-13,20,85.5,4.7
2018-03-14,22.6,72.7,5.9
2018-03-15,20.3,84.6,5.9
2018-03-16,20.2,82.6,18.5
2018-03-17,20.7,82.1,10.2
2018-03-18,21.7,81.5,5.5
2018-03-19,19.8,87.4,20.2
2018-03-20,20.3,82.2,23.9
2018-03-21,20.8,81.5,4.9
2018-03-22,20.9,76.8,4.1
2018-03-23,21.6,74.7,6.4
2018-03-24,21.8,69.7,1.1
2018-03-25,21.2,80.7,19.4
2018-03-26,20.9,82.5,24.5
2018-03-27,21.8,78.5,10.6
2018-03-28,23.6,66.4,7.7
2018-03-29,21.8,79.6,4.7
2018-03-30,21.2,75.2,2.9
2018-03-31,22.6,75,9.4
2018-04-01,20.9,77.9,31.1
2018-04-02,21.8,75,12
2018-04-03,22.6,72.5,23.7
2018-04-04,20.3,87,6.8
2018-04-05,19.6,85.9,0.5
2018-04-06,21.1,79.2,3.9
2018-04-07,22,81.4,4.4
2018-04-08,20.3,85.8,9
2018-04-09,20.2,83,11.8
2018-04-10,21,82,30.4
2018-04-11,20.6,84,21.4
