datetime,temp,humidity,precip
2018-01-01,21.3,55.6,0
2018-01-02,20.4,66.1,0.1
2018-01-03,20.3,70.8,0.02
2018-01-04,18.5,81.6,7.562
2018-01-05,20.7,66.1,0
2018-01-06,21.1,57.6,0
2018-01-07,20.5,55.6,0
2018-01-08,21,50.8,0
2018-01-09,21.1,54.3,0
2018-01-10,20.5,63.5,0.373
2018-01-11,20.4,59.5,0.04
2018-01-12,20.3,60.9,0
2018-01-13,20,54.5,0
2018-01-14,20.3,47.9,0
2018-01-15,21,43.1,0
2018-01-16,20.9,51.8,0
2018-01-17,21.1,56.7,0
2018-01-18,21.9,53.9,0
2018-01-19,22.3,59.1,0
2018-01-20,21.3,61.4,0.465
2018-01-21,21.2,49.6,0.398
2018-01-22,20.6,51.4,0.531
2018-01-23,20.8,51.3,0
2018-01-24,21.2,56.3,0.066
2018-01-25,21.1,63,1.867
2018-01-26,20.7,70.7,1.867
2018-01-27,21.5,62.4,0
2018-01-28,22,56.4,0
2018-01-29,22,47.9,0
2018-01-30,22.3,48,0
2018-01-31,21.5,54.2,0.06
2018-02-01,21.2,58,0.007
2018-02-02,20.6,60.5,0
2018-02-03,21,51.1,0
2018-02-04,21.3,54,0
2018-02-05,21.9,56.1,1.394
2018-02-06,21.8,56.3,0.398
2018-02-07,21,52.2,0
2018-02-08,20.3,43,0
2018-02-09,20.6,42.4,0
2018-02-10,21.5,53.9,0
2018-02-11,21,61.7,0
2018-02-12,20.8,60.8,0
2018-02-13,20.6,58.7,0
2018-02-14,21.3,60.4,0.199
2018-02-15,20.6,62.9,0
2018-02-16,21,60.8,0
2018-02-17,21.7,58.1,0
2018-02-18,21.6,59.4,0
2018-02-19,22.3,60.5,0
2018-02-20,22,65.1,0.1
2018-02-21,23.6,52.2,0
2018-02-22,23.3,52.8,0
2018-02-23,23.1,51.5,0
2018-02-24,23.2,54.9,0
2018-02-25,23.8,51.4,0
2018-02-26,24.5,46.6,0
2018-02-27,23.9,48.9,0
2018-02-28,23.8,55,0.199
2018-03-01,20.3,75,4.398
2018-03-02,18.5,84.4,4.265
2018-03-03,19.1,83.1,15.598
2018-03-04,17.8,90.5,11.701
2018-03-05,18.1,86.6,3.801
2018-03-06,19.3,83.4,28.941
2018-03-07,20.3,72.2,17.535
2018-03-08,21.2,67.5,0.027
2018-03-09,21.6,69.2,0
2018-03-10,20.1,76.4,0
2018-03-11,19.9,76.5,0.133
2018-03-12,19.1,84.3,2.328
2018-03-13,18.8,84,31.021
2018-03-14,20.7,75.7,0.572
2018-03-15,18.2,89.5,43.553
2018-03-16,18.4,86.4,1.851
2018-03-17,18.9,85.9,6.535
2018-03-18,20.1,79.3,13.001
2018-03-19,18,91,10.269
2018-03-20,18.5,85.9,0.4
2018-03-21,19,82.1,0.079
2018-03-22,19.5,79.3,1.2
2018-03-23,19.8,71.8,0
2018-03-24,20.6,70.3,0
2018-03-25,20.3,75.3,0.047
2018-03-26,19.9,79.3,6.956
2018-03-27,19.5,81.6,1.266
2018-03-28,19.6,78.2,0.053
2018-03-29,19.3,80.6,0.027
2018-03-30,19.7,77.4,0
2018-03-31,19.7,73.3,1.874
2018-04-01,19.8,77,0.919
2018-04-02,19.6,80,1
2018-04-03,18.6,86.2,2.934
2018-04-04,19,78.8,2.801
2018-04-05,19.5,78.7,0
2018-04-06,19.8,77.5,0.232
2018-04-07,20.2,77.3,0
2018-04-08,19.8,76.9,1.133
2018-04-09,20,77.7,0.934
2018-04-10,20.7,75.7,1.867
2018-04-11,19.6,82.8,5.628
2018-04-12,20,80.9,9.363
2018-04-13,20.3,79.8,0.133
2018-04-14,19.1,83.3,15.593
2018-04-15,19.2,81.2,30.937
2018-04-16,19.8,77.5,3.457
2018-04-17,19,82.9,18.734
2018-04-18,19.1,81.8,1.398
2018-04-19,18.9,86.4,3.665
2018-04-20,19.4,83.1,0.691
2018-04-21,19.9,83.5,23.597
2018-04-22,19.2,83.9,28.793
2018-04-23,19.5,83.7,3.973
2018-04-24,18.5,90,53.035
2018-04-25,18.5,87.8,13.083
2018-04-26,19.5,81.7,0.467
2018-04-27,19.6,84,0.212
2018-04-28,19.2,85.2,1.143
2018-04-29,19,82.8,0.929
2018-04-30,19.3,83.6,1.066
2018-05-01,18.2,87.9,0.88
2018-05-02,18.1,86.3,17.408
2018-05-03,18.6,86.1,46.075
2018-05-04,19.6,82.9,3.767
2018-05-05,19.5,81.5,0.797
2018-05-06,19.5,80,0.332
2018-05-07,18.2,90.2,3.066
2018-05-08,18.7,86.2,6.111
2018-05-09,18.7,85.3,0.797
2018-05-10,18.5,86.9,6.325
2018-05-11,18.7,86.1,3.537
2018-05-12,20,77.4,0
2018-05-13,20.2,80.1,0.287
2018-05-14,20,79.5,0.066
2018-05-15,19.7,79.3,2.272
2018-05-16,19.4,81.5,0.079
2018-05-17,19.1,83.3,6.834
2018-05-18,19.1,78.4,0.013
2018-05-19,18.9,78.2,0
2018-05-20,18.2,84.1,1.894
2018-05-21,18.4,84.3,0.796
2018-05-22,18,87,14.851
2018-05-23,18.3,83.7,3.937
2018-05-24,18.7,80.5,0.398
2018-05-25,18.6,81.1,0.465
2018-05-26,19.3,79.6,0.199
2018-05-27,18.6,79.7,0.007
2018-05-28,18.4,69.9,0
2018-05-29,17.9,71.1,0
2018-05-30,18.6,71.7,0
2018-05-31,19,78.8,0
2018-06-01,19.2,79.9,0.133
2018-06-02,19.5,79.2,0.207
2018-06-03,19.1,80.2,0.153
2018-06-04,19,82.8,0.398
2018-06-05,18.8,83,4.467
2018-06-06,18,79.7,13.144
2018-06-07,16.2,88.7,1.875
2018-06-08,17.2,85.3,0.053
2018-06-09,16.7,84.5,0
2018-06-10,16.9,83.5,0
2018-06-11,16.9,77.2,0
2018-06-12,16.6,79.4,0
2018-06-13,18.4,78.2,0
2018-06-14,17.3,80,0
2018-06-15,17.3,81.7,0
2018-06-16,17.9,80.6,0
2018-06-17,16.4,89.1,0.863
2018-06-18,15.8,91.7,0.2
2018-06-19,16.5,86.3,0.947
2018-06-20,17.9,78.2,0.187
2018-06-21,18.1,74.8,0.664
2018-06-22,18.3,75.3,0.133
2018-06-23,18.6,75.1,0
2018-06-24,18,79.6,0
2018-06-25,16.3,83.5,0.007
2018-06-26,16.8,80.2,3.2
2018-06-27,17.6,74.1,0.2
2018-06-28,17.7,70.6,0
2018-06-29,17.5,77.2,0.02
2018-06-30,18.4,73.4,0.146
2018-07-01,17.8,74.7,0
2018-07-02,17.1,77.5,0.093
2018-07-03,16.9,83.7,1.867
2018-07-04,16,85.9,0.007
2018-07-05,17,75,0.2
2018-07-06,17.1,68.9,0
2018-07-07,16.4,74.1,0
2018-07-08,17.5,71,0
2018-07-09,17.3,72.7,0
2018-07-10,17.7,75.1,0.067
2018-07-11,17.1,77.8,0.987
2018-07-12,17.4,74.9,0.013
2018-07-13,16.7,78.6,0.034
2018-07-14,16.7,79.8,0.14
2018-07-15,16.7,78.9,0.02
2018-07-16,16.5,70.1,0
2018-07-17,16.4,65.7,0
2018-07-18,15.7,70.1,0
2018-07-19,16.1,72.3,0
2018-07-20,16.6,73.2,0.027
2018-07-21,15.3,77.4,0.007
2018-07-22,16.4,74.5,0.053
2018-07-23,16.1,75.1,0.007
2018-07-24,15.8,75.3,0
2018-07-25,15.3,76.6,0.007
2018-07-26,16.7,73.2,0
2018-07-27,18.3,69.6,0
2018-07-28,19,65.8,0
2018-07-29,17,80.5,1.907
2018-07-30,16.9,85.4,1.804
2018-07-31,17.6,83,0
2018-08-01,18.5,75.1,0.013
2018-08-02,18,74.1,0
2018-08-03,18.5,74.4,0
2018-08-04,18,72.5,0
2018-08-05,16.6,73.6,0.02
2018-08-06,17.6,69.6,0.02
2018-08-07,17.9,66.6,0
2018-08-08,18.2,63,0
2018-08-09,18.5,69.4,0
2018-08-10,16.8,74.2,0
2018-08-11,17.3,72.9,0.053
2018-08-12,17.4,72.3,0.053
2018-08-13,16,76.1,0
2018-08-14,17.4,63.4,0
2018-08-15,16.8,69.7,0.014
2018-08-16,15.8,77,0.013
2018-08-17,15.6,78.7,0
2018-08-18,16.6,76.4,0.06
2018-08-19,17,73.9,0.053
2018-08-20,16.3,71.5,0.007
2018-08-21,17.2,70.4,0.007
2018-08-22,18.4,67.2,0
2018-08-23,17.6,75.5,0
2018-08-24,18.2,69.8,0
2018-08-25,19,63,0
2018-08-26,18.7,73.4,0.027
2018-08-27,17.9,78.6,0.007
2018-08-28,16.5,88.7,47.613
2018-08-29,16.9,76.3,0.027
2018-08-30,17.7,67.1,0.04
2018-08-31,17,72.6,0
2018-09-01,16.3,79.3,0
2018-09-02,17.3,78,0
2018-09-03,17.8,73.8,0
2018-09-04,17.2,75.1,0
2018-09-05,18.5,71.5,0
2018-09-06,18.4,69.1,0.558
2018-09-07,18.8,64.1,0.02
2018-09-08,18.4,64.8,0
2018-09-09,19.5,59,0
2018-09-10,19.5,70,1.867
2018-09-11,19.8,63.2,0
2018-09-12,18.9,60.6,0
2018-09-13,19.5,59.9,0
2018-09-14,19.2,70.3,0
2018-09-15,19.8,62.1,0
2018-09-16,20,54.3,0
2018-09-17,19.9,58.3,0
2018-09-18,19.3,63.3,0
2018-09-19,19.1,64.6,0
2018-09-20,20.2,53.5,0
2018-09-21,20.4,62.5,0.066
2018-09-22,19.3,66.2,0.113
2018-09-23,19.3,65.2,0
2018-09-24,19,61.6,0
2018-09-25,19.5,66.1,0.053
2018-09-26,19.7,68.8,2.801
2018-09-27,19.4,71.2,0.332
2018-09-28,20.2,69.9,0.266
2018-09-29,19.9,67.2,0
2018-09-30,19.8,60.1,0
2018-10-01,19.5,56.3,0
2018-10-02,18.7,65.8,0
2018-10-03,20.3,64.5,0.007
2018-10-04,19.6,65.3,0
2018-10-05,20.3,61.1,0
2018-10-06,21.1,61.5,0.007
2018-10-07,21.1,63.6,0
2018-10-08,19.1,73.6,0.066
2018-10-09,18.7,77.6,8.402
2018-10-10,19.1,69.8,0
2018-10-11,19.7,66,0
2018-10-12,20,61.8,0
2018-10-13,21.4,66.1,0
2018-10-14,21.3,61.5,0
2018-10-15,20,72.1,0.4
2018-10-16,20.7,65.7,0
2018-10-17,21.2,63.2,0
2018-10-18,21.2,65.2,0.1
2018-10-19,21.1,66.8,0
2018-10-20,21.4,60.3,0
2018-10-21,21.3,60.9,0.007
2018-10-22,20.4,60.3,0.266
2018-10-23,16.6,85.6,9.126
2018-10-24,16.6,87,1.401
2018-10-25,17.1,89.2,1.265
2018-10-26,17.8,81.7,16
2018-10-27,18.5,80.6,8.907
2018-10-28,18.9,76.2,1.563
2018-10-29,19.9,70.1,0.2
2018-10-30,20,71.5,0.73
2018-10-31,20.5,64.5,0
2018-11-01,20.6,69.1,2.801
2018-11-02,20.2,77.7,0
2018-11-03,19.6,79.2,1.595
2018-11-04,20.2,70.2,3.332
2018-11-05,20.4,62.3,0.013
2018-11-06,21.2,64,0
2018-11-07,21.1,63.7,0
2018-11-08,21.6,60.4,0
2018-11-09,21,65.8,0
2018-11-10,20.9,66,0.013
2018-11-11,19.8,72.8,0.506
2018-11-12,20.4,73,0.199
2018-11-13,20.3,68.7,9.159
2018-11-14,20.5,67.3,0.1
2018-11-15,21,60,0
2018-11-16,20.6,52.9,0
2018-11-17,19.3,75.7,12.137
2018-11-18,20.7,70.5,0.399
2018-11-19,20.4,71.6,1.726
2018-11-20,19.6,77,0.133
2018-11-21,19.4,71.9,3.735
2018-11-22,20.5,67,0.04
2018-11-23,20.8,60.6,0.133
2018-11-24,20.3,65.1,0.007
2018-11-25,19.4,76.8,2.427
2018-11-26,18.8,82.3,3.614
2018-11-27,19.9,74.6,0.934
2018-11-28,20.2,74,0.465
2018-11-29,19.4,79.3,3.8
2018-11-30,19.5,72.7,0
2018-12-01,19,77.7,3
2018-12-02,19.1,79.9,1.664
2018-12-03,19.5,77.8,0.066
2018-12-04,18.9,81.2,88.821
2018-12-05,19.9,78.1,0
2018-12-06,20.4,75.1,2
2018-12-07,20.7,76.7,1
2018-12-08,19,83.2,16
2018-12-09,20.2,75.2,0
2018-12-10,19.2,84.2,2
2018-12-11,18.3,79.3,43
2018-12-12,20.6,70.3,0
2018-12-13,19.7,80.9,0.9
2018-12-14,19.2,79.1,31
2018-12-15,18.9,82.8,9
2018-12-16,19.7,72,0
2018-12-17,20.1,71.7,0.598
2018-12-18,20.6,73.2,0
2018-12-19,19.9,75.6,0.352
2018-12-20,19.8,72,0.187
2018-12-21,19.9,69.5,0
2018-12-22,20.6,70.3,0
2018-12-23,20.3,73.6,0.04
2018-12-24,20.1,72.4,0
2018-12-25,20,70.9,0.332
2018-12-26,19.7,72,0
2018-12-27,19.5,71.6,0
2018-12-28,20.8,65.9,0.598
2018-12-29,20.9,65.2,0.133
2018-12-30,20.9,69.8,0.053
2018-12-31,19.5,75.4,2.801
