datetime,temp,humidity,precip
01/01/2018,27.1,76.9,0
02/01/2018,27.5,78.7,0
03/01/2018,27.6,76.5,0
04/01/2018,27.3,82.5,0.1
05/01/2018,27.7,79.1,0
06/01/2018,27.3,76.5,0
07/01/2018,27,78.7,0
08/01/2018,27.3,76.7,0
09/01/2018,26.9,77.6,0
10/01/2018,27.1,77.7,0
11/01/2018,26.9,75.4,0
12/01/2018,26.8,75,0
13/01/2018,26.5,72,0
14/01/2018,26,76.3,0
15/01/2018,26.5,77.6,0
16/01/2018,26.3,78.7,0
17/01/2018,26.7,77.6,0
18/01/2018,26.4,78.6,0
19/01/2018,26.5,77.3,0
20/01/2018,26.7,76.5,0
21/01/2018,26.5,78.6,0
22/01/2018,26.8,74.3,0
23/01/2018,26.3,74.5,0
24/01/2018,26.4,72.1,0
25/01/2018,26.5,73.4,0
26/01/2018,27.1,74.8,0
27/01/2018,26.9,74.3,0
28/01/2018,26.7,75.3,0
29/01/2018,27.5,74.5,0
30/01/2018,27.9,74.2,0
31/01/2018,27.4,73.8,0
01/02/2018,27,73.6,0
02/02/2018,26.8,76,0
03/02/2018,27.1,75,0
04/02/2018,27.3,74.5,0
05/02/2018,27.5,75,0
06/02/2018,27.7,69.2,0
07/02/2018,27.2,71.2,0
08/02/2018,26.7,73.3,0
09/02/2018,27,73.7,0
10/02/2018,27.2,73.8,0
11/02/2018,27.4,74.8,0
12/02/2018,27.6,75.3,0
13/02/2018,28,75.2,0
14/02/2018,28.1,76,0.4
15/02/2018,28.1,75.2,0
16/02/2018,27.9,75.3,0
17/02/2018,28.3,72.6,0
18/02/2018,28.1,74.2,0
19/02/2018,28.4,73.2,0
20/02/2018,28.5,75.4,0
21/02/2018,28.7,75.6,0
22/02/2018,28.4,72.2,0
23/02/2018,28.5,72.3,0
24/02/2018,28.5,75.6,0
25/02/2018,28.6,74.6,0
26/02/2018,28.5,71.4,0
27/02/2018,28.9,70.5,0.2
28/02/2018,28.4,73.3,0
01/03/2018,28.9,72.8,0
02/03/2018,27,80.9,45
03/03/2018,26.9,78.4,4
04/03/2018,25.7,80.3,2
05/03/2018,27.6,74.5,0.2
06/03/2018,27.9,79.8,6
07/03/2018,28.8,74.4,0
08/03/2018,28.4,78.7,0
09/03/2018,27.7,78.7,0
10/03/2018,27.9,77.7,2
11/03/2018,27.8,77.1,0.1
12/03/2018,27.6,81,0.1
13/03/2018,27,83.3,17
14/03/2018,28.3,80.6,0.2
15/03/2018,27,83.8,41
16/03/2018,26.6,84.3,29
17/03/2018,27.9,76.9,0
18/03/2018,28.6,79.9,0
19/03/2018,28.5,77.1,1
20/03/2018,28.1,76.1,0
21/03/2018,28.1,78.2,0
22/03/2018,28.3,77.3,0
23/03/2018,28,78.7,0
24/03/2018,28.6,77.6,0
25/03/2018,28.9,76.9,0
26/03/2018,28.1,79.9,26.5
27/03/2018,28.1,78.5,2
28/03/2018,27.9,77.3,0
29/03/2018,28.4,74,0
30/03/2018,28.8,75,0
31/03/2018,28.8,74.8,0
01/04/2018,28.9,76.1,0
02/04/2018,29.4,75.6,4
03/04/2018,28.7,78.4,12
04/04/2018,28.7,78,0
05/04/2018,28.3,76.6,0
06/04/2018,28.1,76.1,0
07/04/2018,28.1,81.5,17
08/04/2018,27.7,83.4,4
09/04/2018,26.4,86,3
10/04/2018,28,78,0
11/04/2018,28.5,79.7,0
12/04/2018,27,87.1,8
13/04/2018,27.3,84.1,0
14/04/2018,25.9,89.8,12
15/04/2018,26.7,79.8,0.5
16/04/2018,27.2,74.3,0
17/04/2018,26.2,80.6,0
18/04/2018,27,78.8,0
19/04/2018,27.9,78,0.2
20/04/2018,26.5,83.7,0
21/04/2018,27.5,77.8,0
22/04/2018,27.8,79.9,0
23/04/2018,28.2,79.3,0
24/04/2018,28.5,76.5,0
25/04/2018,27.8,77,0
26/04/2018,27.6,76.2,0
27/04/2018,27.8,77,0.9
28/04/2018,26.8,81.5,1
29/04/2018,27.6,80.1,5
30/04/2018,25.5,89,39
01/05/2018,24.9,92.2,80
02/05/2018,25,88.9,3
03/05/2018,25.9,85.9,1.6
04/05/2018,25.6,88.4,102
05/05/2018,25.5,86.4,2
06/05/2018,25.1,89.4,21
07/05/2018,25.3,85.8,5.6
08/05/2018,25.1,90.7,41
09/05/2018,25.6,84.4,0
10/05/2018,25.8,86.8,38
11/05/2018,26.9,82.4,6
12/05/2018,26.8,82.5,3
13/05/2018,25.9,88.1,19
14/05/2018,26.4,86.4,3.4
15/05/2018,26.7,82.5,0
16/05/2018,26.7,82.8,0
17/05/2018,26.2,84.9,0
18/05/2018,26.7,79.1,0
19/05/2018,27,77.8,0.1
20/05/2018,26.8,80.6,0
21/05/2018,26,83.5,0.7
22/05/2018,25.8,83.7,0
23/05/2018,26.7,79.4,0
24/05/2018,27,78.4,0
25/05/2018,25.6,86.7,26
26/05/2018,26,85.2,4.6
27/05/2018,26.6,79.4,0.4
28/05/2018,26.8,77.7,0
29/05/2018,26.3,81.6,0.2
30/05/2018,25.6,85.1,0.2
31/05/2018,25.9,82.9,1
01/06/2018,25.8,84.3,8
02/06/2018,26.5,82.7,17
03/06/2018,26.3,78.7,0
04/06/2018,26.3,73,2
05/06/2018,26.2,72.3,0
06/06/2018,25.8,75.8,1
07/06/2018,25.6,72.3,0
08/06/2018,25.6,71.1,0
09/06/2018,25.5,70.3,0
10/06/2018,25.6,75.4,0
11/06/2018,25.9,75.6,0
12/06/2018,23.9,87.6,11
13/06/2018,24.3,87.2,5
14/06/2018,25.7,80.5,0
15/06/2018,25.9,79.4,0
16/06/2018,25.8,78.9,0
17/06/2018,25.3,82.3,0
18/06/2018,25.3,79.7,0
19/06/2018,26.2,77.5,0
20/06/2018,26,79.5,0.1
21/06/2018,26.2,82.5,2
22/06/2018,24.6,90.5,10
23/06/2018,25.3,81.9,0.6
24/06/2018,26.2,75,0
25/06/2018,25.5,83.4,10
26/06/2018,24.9,83.6,8
27/06/2018,25.4,79.9,0
28/06/2018,24.8,84.7,8
29/06/2018,24.2,86.9,10
30/06/2018,24.8,85,2
01/07/2018,24.5,84.6,19
02/07/2018,24.5,82.9,0.1
03/07/2018,23.9,87.5,6
04/07/2018,24.2,84.7,11
05/07/2018,24.7,77.4,0
06/07/2018,25.2,80.2,0
07/07/2018,25.1,77.5,0
08/07/2018,24.9,79.8,0.3
09/07/2018,24.9,79.3,0.8
10/07/2018,25.3,78,1
11/07/2018,24.9,82,5
12/07/2018,25.2,79.6,0
13/07/2018,25.2,77.1,0
14/07/2018,25.2,76.7,0
15/07/2018,24.7,79.1,0
16/07/2018,24.5,78.4,0.4
17/07/2018,24.7,75.9,0
18/07/2018,24.7,69,0
19/07/2018,24.7,76.7,0
20/07/2018,24.6,79,0
21/07/2018,23.6,84.7,1.4
22/07/2018,23.8,83.4,0.8
23/07/2018,23.7,83.3,0
24/07/2018,24.8,78.8,0
25/07/2018,24.1,81.5,0.4
26/07/2018,24.7,81.3,0.8
27/07/2018,24.7,84.3,0.8
28/07/2018,25.4,82.4,0
29/07/2018,25.4,81.3,0
30/07/2018,25.2,81.2,0.2
31/07/2018,25,81.8,0
01/08/2018,24.9,80.1,0
02/08/2018,25.1,77.7,0
03/08/2018,25.1,80.3,0
04/08/2018,25.4,80.1,0
05/08/2018,25.8,78.4,3
06/08/2018,25.1,78.3,0.3
07/08/2018,24.6,78.8,0
08/08/2018,24.7,81.3,0
09/08/2018,24.7,78.3,0
10/08/2018,25,74.1,1
11/08/2018,25,78.4,1.9
12/08/2018,25.3,76.9,3.1
13/08/2018,25.4,78.3,12
14/08/2018,24.1,81.8,0.3
15/08/2018,25,78.7,4
16/08/2018,24.7,79,1
17/08/2018,24.9,75.7,1
18/08/2018,25,76.4,3
19/08/2018,24.6,77.9,1.2
20/08/2018,24.8,76.8,0
21/08/2018,24.8,78.5,1
22/08/2018,25,77.3,0
23/08/2018,24.9,77.4,0
24/08/2018,25.6,76.8,0
25/08/2018,24.1,85.1,5
26/08/2018,24.5,79.1,1
27/08/2018,24.6,79.3,0
28/08/2018,24.8,79.2,0
29/08/2018,25.5,75.3,0
30/08/2018,25.5,77.8,0
31/08/2018,25.1,81,0
01/09/2018,24.9,81.4,0
02/09/2018,25.4,78.2,0
03/09/2018,25.7,79.7,0
04/09/2018,25.2,85,2
05/09/2018,25.2,85.5,0
06/09/2018,25.6,81.7,4
07/09/2018,25.2,82.1,0.5
08/09/2018,26.6,73.4,1
09/09/2018,25.8,84.2,2
10/09/2018,25.8,81.7,0.5
11/09/2018,25.9,79.2,0.4
12/09/2018,26,79.5,0.2
13/09/2018,26.4,81.1,0
14/09/2018,26.3,79.4,0
15/09/2018,25.9,78.7,0
16/09/2018,25.6,76,0
17/09/2018,25.6,77.1,0
18/09/2018,25.3,76.4,0
19/09/2018,26,74.7,0
20/09/2018,25.6,85.3,1.5
21/09/2018,25.9,82.9,5
22/09/2018,25.8,81.5,1
23/09/2018,26.1,77,0.1
24/09/2018,25.9,81.6,9
25/09/2018,26.1,81.5,0.7
26/09/2018,24.9,87.5,127
27/09/2018,24.9,88.6,1
28/09/2018,25.2,85.1,17.6
29/09/2018,25.4,79.8,0.3
30/09/2018,25.6,79,1
01/10/2018,25.5,77.4,1
02/10/2018,26,75.5,0
03/10/2018,25.6,79.9,0.9
04/10/2018,26,79.6,0.6
05/10/2018,26.2,82.4,0
06/10/2018,26.3,80.3,5
07/10/2018,26.3,77.8,0.7
08/10/2018,26,79.7,0
09/10/2018,26,79.6,0
10/10/2018,25.8,82.5,0.3
11/10/2018,25.7,81,2.7
12/10/2018,25.6,81.5,0.7
13/10/2018,26.3,78.8,0
14/10/2018,26,82,8
15/10/2018,26.6,79.5,0
16/10/2018,26.8,83.5,5
17/10/2018,27,82.5,0
18/10/2018,26.8,82.2,4
19/10/2018,26.9,81.6,0
20/10/2018,27,80.1,0
21/10/2018,27.2,77.7,0.1
22/10/2018,26.6,77.9,0
23/10/2018,26.5,72.6,0.5
24/10/2018,24,87,14
25/10/2018,22.9,93.8,201
26/10/2018,25.7,87.7,37.3
27/10/2018,26,84.7,4
28/10/2018,26,82.1,0
29/10/2018,26.1,80.4,0
30/10/2018,25.9,79.7,0
31/10/2018,26.2,79.4,0
01/11/2018,26.8,82.3,0
02/11/2018,27.1,83.9,0
03/11/2018,27,82.2,0
04/11/2018,26.7,82.2,0
05/11/2018,26.3,82.3,0
06/11/2018,26.9,81.4,0
07/11/2018,27,83.4,0
08/11/2018,27.4,82.4,0
09/11/2018,27,84.4,7
10/11/2018,27.3,83.2,1.1
11/11/2018,27.1,83.4,0
12/11/2018,26.8,81.3,0
13/11/2018,26.9,79.5,0
14/11/2018,26.7,79.4,0
15/11/2018,26.3,80.9,0
16/11/2018,27.5,80.8,0
17/11/2018,27.8,82.2,11
18/11/2018,27.4,83.3,0
19/11/2018,27.6,83.9,4
20/11/2018,27.4,83.7,0
21/11/2018,27.3,86,15
22/11/2018,27.3,86.6,6
23/11/2018,27.7,82.6,0
24/11/2018,28.2,80.3,0.1
25/11/2018,27.8,83.4,4
26/11/2018,28.1,78.1,0
27/11/2018,28.1,80.6,0
28/11/2018,28,82.2,0
29/11/2018,28,81.6,0
30/11/2018,28.2,81.7,0
01/12/2018,28.4,80.9,0
02/12/2018,28.2,79.2,0
03/12/2018,27.7,80.9,0
04/12/2018,28.2,81.1,0
05/12/2018,28.7,80.1,0
06/12/2018,28.4,79.4,0
07/12/2018,28.4,79.8,0
08/12/2018,28.6,80.5,0
09/12/2018,28.7,80,0
10/12/2018,27.7,85.2,25
11/12/2018,27.4,82.2,21
12/12/2018,27.8,87.7,39
13/12/2018,28.6,83.7,0.2
14/12/2018,28.4,82.9,0
15/12/2018,28.3,82.5,0.5
16/12/2018,27.9,83.9,0
17/12/2018,28.3,82.4,3
18/12/2018,28.5,81.9,0.1
19/12/2018,28.7,79.1,0.2
20/12/2018,28.5,80.3,2
21/12/2018,28.2,81.9,0
22/12/2018,28.1,78.2,0
23/12/2018,27.9,79.6,0
24/12/2018,27.9,79.2,0
25/12/2018,27.7,79.4,0
26/12/2018,27.6,78.6,0.2
27/12/2018,27.4,82.1,0
28/12/2018,27.4,80.9,0
29/12/2018,27.6,83.4,0
30/12/2018,27.7,85.6,0.1
31/12/2018,28.2,84.3,0
,26.54684932,79.78082192,3.900821918
