datetime,temp,humidity,precip
2018-01-01,21.4,75.8,0
2018-01-02,22.4,72.5,1.2
2018-01-03,21.4,69,3
2018-01-04,22.8,62.3,1.8
2018-01-05,21.6,76.5,0
2018-01-06,21.9,67.7,2.8
2018-01-07,22.4,67.2,2.1
2018-01-08,22.5,62.7,0
2018-01-09,22,56.1,0
2018-01-10,22,61.3,0
2018-01-11,23,59.2,2.7
2018-01-12,23.7,62.5,0
2018-01-13,20.9,67.2,0.4
2018-01-14,21,66.2,0.8
2018-01-15,22,62.9,0
2018-01-16,21.7,70.9,0
2018-01-17,21.6,61,0
2018-01-18,22.4,66.8,0
2018-01-19,21.8,67.9,0
2018-01-20,23.2,68.5,0.6
2018-01-21,22.9,72.2,0
2018-01-22,21.8,51.7,0
2018-01-23,19.5,47.9,0
2018-01-24,21,57,0.4
2018-01-25,21,73.6,1.2
2018-01-26,20.8,73.3,1.8
2018-01-27,23.7,62.5,0
2018-01-28,23.3,64.2,0
2018-01-29,22.4,57.9,0
2018-01-30,23,58.7,0
2018-01-31,23.1,61.2,0
2018-02-01,24.7,55.4,0
2018-02-02,25.6,53.1,0
2018-02-03,22.4,42.4,0
2018-02-04,21.2,40.4,0
2018-02-05,25.3,50.7,1.1
2018-02-06,25,51.7,1.2
2018-02-07,24.3,52.1,0
2018-02-08,24.7,44.7,0
2018-02-09,23.4,45.5,0
2018-02-10,25.1,37.1,0
2018-02-11,23.9,46.4,0
2018-02-12,24.7,48.6,0
2018-02-13,26,44.7,0
2018-02-14,26.8,43.5,0
2018-02-15,27.7,34.5,0
2018-02-16,25.6,45.9,0
2018-02-17,25.7,43.5,0
2018-02-18,24,49.8,0
2018-02-19,23.4,60.5,0
2018-02-20,24.6,62.4,35.3
2018-02-21,22,73.4,18.9
2018-02-22,21.8,64.9,1.5
2018-02-23,23.3,65.2,1.1
2018-02-24,23.5,64.6,2.5
2018-02-25,23.3,71,2.1
2018-02-26,23.4,73.8,0.2
2018-02-27,23.1,72.4,0.2
2018-02-28,19.5,81.9,4.2
2018-03-01,19.9,79,52.4
2018-03-02,19.8,82.1,15
2018-03-03,21.4,74.2,9.4
2018-03-04,19.9,83.8,15.7
2018-03-05,22.2,69.3,3.4
2018-03-06,20.8,74.6,23.9
2018-03-07,22.2,75.2,6.9
2018-03-08,23.8,71,0
2018-03-09,21.4,69,1
2018-03-10,19.1,73,4.6
2018-03-11,18.5,78.8,5.5
2018-03-12,17.9,84.1,4.9
2018-03-13,20.3,84.2,5.1
2018-03-14,23.5,71.4,12.7
2018-03-15,21,83.8,7.9
2018-03-16,20.7,80.7,16.5
2018-03-17,20.9,79.6,17.9
2018-03-18,22,81.4,5.1
2018-03-19,20.2,85.7,14.8
2018-03-20,20.8,80.6,22.8
2018-03-21,21.4,79.1,6.7
2018-03-22,21.7,73.5,5.4
2018-03-23,21.6,71.7,4.9
2018-03-24,22.3,67.8,1.1
2018-03-25,22.2,77.7,23.4
2018-03-26,21.2,78.8,16.9
2018-03-27,22.3,76.9,12.9
2018-03-28,24.2,66.8,7.5
2018-03-29,22.1,79.2,2.6
2018-03-30,21.3,70.9,2.9
2018-03-31,23.6,71.4,6.5
2018-04-01,21.3,74.4,13.9
2018-04-02,22.3,72.9,19.7
2018-04-03,23.8,69.7,23.1
2018-04-04,21.1,86.5,14
2018-04-05,20.2,84.7,6.4
2018-04-06,21.7,78.3,18.4
2018-04-07,22,81.4,12.2
2018-04-08,20.7,84.4,15
2018-04-09,20.4,81.9,16.2
2018-04-10,21.2,79.8,29.9
2018-04-11,20.6,82.3,25.3
2018-04-12,21.1,85.9,22.5
2018-04-13,22,84.4,59.8
2018-04-14,20.6,87.1,24
2018-04-15,21.2,79.2,26.6
2018-04-16,20.5,84.4,5.3
2018-04-17,20.2,84.4,5.9
2018-04-18,20.7,76.5,5.6
2018-04-19,20.6,81.5,7.1
2018-04-20,22,74.5,2.1
2018-04-21,22.7,74.6,4.1
