datetime,temp,humidity,precip
01/01/2018,25.6,49.6,0
02/01/2018,25.7,59.5,0.8
03/01/2018,25.7,65.1,1.6
04/01/2018,25,65.6,0.5
05/01/2018,25.1,63.4,0
06/01/2018,24.8,58.5,0
07/01/2018,25.4,51.8,0
08/01/2018,26,50.8,0
09/01/2018,25.4,55.6,0
10/01/2018,25.5,55.4,0
11/01/2018,24.5,53.7,0
12/01/2018,24.1,58.9,0
13/01/2018,23.7,54.7,0
14/01/2018,24.1,45,0
15/01/2018,24.7,47.3,0
16/01/2018,25.2,49.9,0
17/01/2018,25.8,55.6,0
18/01/2018,26,59,0
19/01/2018,25.7,60.6,0
20/01/2018,25.7,60.5,0
21/01/2018,25.8,56.5,0.5
22/01/2018,25.1,52.9,0
23/01/2018,24.7,58.7,0.2
24/01/2018,24.9,60.4,0.7
25/01/2018,26.2,56.1,0
26/01/2018,27.1,53.2,0
27/01/2018,26.6,55.2,0
28/01/2018,25.8,55.4,0
29/01/2018,25.7,46.8,0
30/01/2018,26.4,51.5,0
31/01/2018,25.3,57.8,0
01/02/2018,26.2,57.2,0
02/02/2018,25.8,60.4,0
03/02/2018,25.8,55.6,0
04/02/2018,26.1,53.7,0
05/02/2018,26.2,58.4,0
06/02/2018,26.1,58.2,0.7
07/02/2018,24.9,51.4,0
08/02/2018,24.1,51.3,0
09/02/2018,25.2,51.5,0
10/02/2018,25.8,57.8,0.2
11/02/2018,25.1,63.5,0.5
12/02/2018,25.6,52.2,0
13/02/2018,26,47.3,0
14/02/2018,26.4,58.1,0
15/02/2018,26.2,57.1,0
16/02/2018,26.1,56,0
17/02/2018,26,57.8,0
18/02/2018,26.6,57,0
19/02/2018,27.3,54.5,0
20/02/2018,26.9,54.6,0
21/02/2018,27.9,50.6,0
22/02/2018,27.4,53.2,0
23/02/2018,27.3,54.2,0
24/02/2018,27.4,57,0
25/02/2018,28.1,53.2,0
26/02/2018,28,49.1,0
27/02/2018,27.1,51.5,0
28/02/2018,26.6,54,0
01/03/2018,26.4,66.6,5.4
02/03/2018,25.8,66.9,12.3
03/03/2018,23.9,77.9,5.7
04/03/2018,22.9,83.7,10.7
05/03/2018,24.2,76.7,9.3
06/03/2018,23.8,78.6,5.1
07/03/2018,24.5,71.3,2.8
08/03/2018,26.2,65.3,0.1
09/03/2018,26.9,62.1,0.5
10/03/2018,25.8,67.7,9.1
11/03/2018,25.3,70.7,4.4
12/03/2018,24.1,77.9,6.9
13/03/2018,24,79.3,7.8
14/03/2018,24.8,75.4,3.1
15/03/2018,23.2,86.7,16.5
16/03/2018,24.1,76.6,1.5
17/03/2018,25.4,72.8,12.4
18/03/2018,25.3,74.1,5.7
19/03/2018,24,82.7,17.6
20/03/2018,23.2,81.7,32.2
21/03/2018,22.8,85,14.7
22/03/2018,23.5,74.5,0.2
23/03/2018,23.9,71,0
24/03/2018,24.3,72.6,0
25/03/2018,24.7,72.1,1.9
26/03/2018,24.1,79.1,8.2
27/03/2018,24.2,77.5,5.9
28/03/2018,24.1,76.5,14
29/03/2018,24.6,72.6,0
30/03/2018,24.4,72.2,0.4
31/03/2018,24.7,71.6,0.1
01/04/2018,24.9,69.9,0.1
02/04/2018,25,70.8,1.4
03/04/2018,24.4,73.9,3.7
04/04/2018,24.9,69.8,0.7
05/04/2018,24.7,66.3,0.1
06/04/2018,24.9,71.8,2.8
07/04/2018,24.4,74.4,5
08/04/2018,24.1,75.2,6.8
09/04/2018,24.4,73.2,2.8
10/04/2018,24.9,69.5,3.4
11/04/2018,23.6,81.4,25.4
12/04/2018,22.9,85.3,6.2
13/04/2018,22.6,84.1,1.2
14/04/2018,22.6,84.9,5.1
15/04/2018,21.9,83.6,6.8
16/04/2018,23,78.6,5.5
17/04/2018,22.5,84.3,10.6
18/04/2018,22.8,85.3,15.8
19/04/2018,21.9,88.9,18.2
20/04/2018,22,91.4,13.8
21/04/2018,23.6,83.4,0
22/04/2018,24.4,80.3,9.1
23/04/2018,23,87,25.8
24/04/2018,23.9,80.8,1.6
25/04/2018,23.5,77.8,1
26/04/2018,23.5,80.7,3.6
27/04/2018,22.2,81.4,4.3
28/04/2018,22.9,82.1,3.1
29/04/2018,22.2,83,0.9
30/04/2018,21.9,84.6,8.2
01/05/2018,21.8,89,8.4
02/05/2018,22.1,80.8,4.3
03/05/2018,22.2,79.1,0.4
04/05/2018,22.4,80.8,0
05/05/2018,22.7,80.9,1.8
06/05/2018,22.8,81.7,8.7
07/05/2018,23,81.4,1
08/05/2018,22.4,83.4,1.1
09/05/2018,22.5,80.6,3.4
10/05/2018,23,81.9,6.5
11/05/2018,22.3,83.7,3.7
12/05/2018,22.9,81.5,0
13/05/2018,23.1,82.9,0.1
14/05/2018,23.5,81.1,2.9
15/05/2018,23.3,76.7,0.2
16/05/2018,23.3,79.1,0.3
17/05/2018,22.8,77.7,2.5
18/05/2018,22,75.4,0
19/05/2018,21.7,72.7,0
20/05/2018,21.9,74.5,0
21/05/2018,22.6,79.6,2.4
22/05/2018,22.6,77.6,0.8
23/05/2018,22.8,75.6,0
24/05/2018,23,73.9,0
25/05/2018,22.8,79.3,12.7
26/05/2018,22.7,80,5.6
27/05/2018,22.7,75.9,1
28/05/2018,21.5,73.1,0
29/05/2018,21.8,75.1,0
30/05/2018,22.7,74.5,0
31/05/2018,21.5,85.3,0.8
01/06/2018,22.9,79.4,0.3
02/06/2018,23.4,75.2,0
03/06/2018,22.6,77.3,0
04/06/2018,22,75.9,0
05/06/2018,20.9,71.4,0
06/06/2018,20.6,73.6,0.7
07/06/2018,20,72.8,0
08/06/2018,20,74.6,0
09/06/2018,20.1,73.6,0
10/06/2018,19.9,69.6,0
11/06/2018,20.4,70.4,0
12/06/2018,21.7,76.5,0.1
13/06/2018,21.6,77.6,1.5
14/06/2018,21.3,76.6,0
15/06/2018,21.6,73.1,0
16/06/2018,21.6,75.3,0
17/06/2018,21.1,77.6,0
18/06/2018,21.2,76.1,0
19/06/2018,20.8,76.1,0
20/06/2018,21.9,71,0
21/06/2018,22.5,73.8,0
22/06/2018,21.7,76.9,0.8
23/06/2018,22,73.2,0
24/06/2018,21.8,70.7,0
25/06/2018,21.5,69.6,0.4
26/06/2018,21.4,74.6,0.1
27/06/2018,21.3,68.2,0
28/06/2018,21.5,73.2,0
29/06/2018,22.4,74.2,0
30/06/2018,22.3,74.4,0
01/07/2018,21.8,76.3,2.4
02/07/2018,21.5,77,1
03/07/2018,21.4,78.7,3
04/07/2018,21,74.7,2.3
05/07/2018,20.5,69.7,0
06/07/2018,20.7,69.1,0
07/07/2018,21.2,70.6,0.3
08/07/2018,21,70.6,0
09/07/2018,21.2,71.3,0
10/07/2018,21.6,71.3,0
11/07/2018,21.4,71.5,0
12/07/2018,21.2,71.9,0.2
13/07/2018,21.4,73.5,1.1
14/07/2018,20.4,74,0
15/07/2018,21.3,69.8,0
16/07/2018,20.8,70.1,0
17/07/2018,20.6,64.9,0
18/07/2018,20.1,64.1,0
19/07/2018,21.1,63.2,0
20/07/2018,20.5,69.5,0
21/07/2018,20.5,71.5,0.8
22/07/2018,20.7,70.4,0
23/07/2018,20.8,69.2,0
24/07/2018,21,67.8,0
25/07/2018,21,69.6,0
26/07/2018,21.3,66.2,0
27/07/2018,22.3,64.2,0
28/07/2018,22.6,64,0
29/07/2018,22.5,67.7,0
30/07/2018,22.6,68.7,0
31/07/2018,22.5,69.4,0
01/08/2018,23.1,67.6,0
02/08/2018,22.9,68.4,0
03/08/2018,22.6,68,0
04/08/2018,22.2,63.8,0
05/08/2018,21.8,69.2,0.1
06/08/2018,22.1,65.4,0
07/08/2018,21.3,64.2,0
08/08/2018,22.5,67.2,0
09/08/2018,22.5,66.6,0
10/08/2018,22.1,66,0
11/08/2018,21.2,67.4,0
12/08/2018,22,67.1,0.4
13/08/2018,21.5,66.6,0
14/08/2018,21.7,61.5,0
15/08/2018,21.4,65,0.6
16/08/2018,21.5,63.7,0.3
17/08/2018,21.3,68.4,0.1
18/08/2018,21.3,69.4,0
19/08/2018,21.4,63.8,0
20/08/2018,21.2,65.3,0
21/08/2018,21.7,65.9,0
22/08/2018,21.8,64.9,0
23/08/2018,22.4,64,0
24/08/2018,22.6,61.9,0
25/08/2018,22.5,66.2,0.6
26/08/2018,22.2,68.6,0.6
27/08/2018,21.8,66.8,0
28/08/2018,21.8,69,0.7
29/08/2018,21.9,63.4,0
30/08/2018,22,62.5,0
31/08/2018,22.2,62.9,0
01/09/2018,22.6,62.7,0
02/09/2018,22.8,64.3,0
03/09/2018,23,60.5,0
04/09/2018,23.6,65.9,0.9
05/09/2018,23.4,67.3,0.7
06/09/2018,23.3,65,0.8
07/09/2018,23,65.2,0
08/09/2018,23.7,62.5,0.2
09/09/2018,24,65.9,0
10/09/2018,24.4,64.7,0.2
11/09/2018,23.8,62.9,0
12/09/2018,23.7,62.1,0
13/09/2018,24.3,65.2,0
14/09/2018,24.8,59.3,0
15/09/2018,23.8,57.6,0
16/09/2018,23.9,58.4,0
17/09/2018,23.7,55.3,0
18/09/2018,23.4,58.7,0
19/09/2018,23.5,58.3,0
20/09/2018,24,59.8,0
21/09/2018,24.5,64.8,0
22/09/2018,23.9,60.6,0
23/09/2018,23.7,59.1,0
24/09/2018,23.6,65.4,0.4
25/09/2018,24.3,66.2,0.9
26/09/2018,24.3,66.8,1.5
27/09/2018,22.9,73.9,1.3
28/09/2018,24.2,69.8,0.4
29/09/2018,23.6,63.6,0
30/09/2018,23.5,58,0
01/10/2018,22.9,63.1,0
02/10/2018,23.5,63.8,0
03/10/2018,23.7,65.5,0.8
04/10/2018,23.7,64.8,1.1
05/10/2018,24.2,68.2,0.4
06/10/2018,24.2,68.3,1.1
07/10/2018,24.3,65.3,0.5
08/10/2018,24.3,65.5,0
09/10/2018,24,65.9,0.4
10/10/2018,23.8,63.8,0
11/10/2018,23.8,63.7,0.6
12/10/2018,24.2,64.3,0
13/10/2018,25.1,60.9,0.2
14/10/2018,24.9,60.4,0
15/10/2018,25.2,59.6,0
16/10/2018,25.4,64.4,0.4
17/10/2018,25.4,64.5,0
18/10/2018,25.6,66.8,2.2
19/10/2018,25.3,65.7,1.4
20/10/2018,25.3,62.9,0.8
21/10/2018,25.2,62,0
22/10/2018,24.2,64.6,0
23/10/2018,23.1,67,2.3
24/10/2018,23.1,68.2,4.6
25/10/2018,22.7,78.8,16.3
26/10/2018,23.1,76.9,6.1
27/10/2018,22.9,76.3,2.1
28/10/2018,23.8,69.4,1.6
29/10/2018,24.4,70,0.1
30/10/2018,24.3,63,0
31/10/2018,24.4,68.3,0
01/11/2018,24.7,72.3,2.1
02/11/2018,25,69.4,2.3
03/11/2018,24.8,66.7,0.7
04/11/2018,24.3,63.1,0
05/11/2018,24.7,60.5,0
06/11/2018,25,63.5,0
07/11/2018,25.9,64.2,0
08/11/2018,25.8,66,0
09/11/2018,25.7,65,0
10/11/2018,25.9,62.3,0
11/11/2018,25.3,64.4,0.2
12/11/2018,25.1,66,5.1
13/11/2018,24.6,67.4,2.2
14/11/2018,24.7,66.8,0.5
15/11/2018,25,61,0
16/11/2018,25.6,56.9,0
17/11/2018,25.4,72.3,1.3
18/11/2018,26.3,62.2,0
19/11/2018,25.1,73.3,2.9
20/11/2018,24.4,75.4,6
21/11/2018,24.4,76.6,4.7
22/11/2018,25,71.3,1.5
23/11/2018,24.8,70.3,1.7
24/11/2018,24.7,71.3,2.6
25/11/2018,25.2,68.3,1.1
26/11/2018,25.8,63.7,0
27/11/2018,25.3,64.9,0.4
28/11/2018,25.8,66.5,1.3
29/11/2018,24.8,70.2,2.4
30/11/2018,25.2,69.8,3.1
01/12/2018,24.5,75.6,7.8
02/12/2018,24.8,69.2,2.4
03/12/2018,25,73.4,6
04/12/2018,24.8,76.1,8.4
05/12/2018,25.5,70.1,1.5
06/12/2018,25.7,69.3,2
07/12/2018,25.3,70.4,0.4
08/12/2018,25,73.8,2.7
09/12/2018,25,73.7,15.8
10/12/2018,23,85.8,16.8
11/12/2018,22.9,79.7,6.8
12/12/2018,24.4,69.4,0
13/12/2018,24.1,79.4,6.8
14/12/2018,23.2,83.8,5.8
15/12/2018,22.9,83.8,7.5
16/12/2018,24.6,72.7,0.3
17/12/2018,24.6,72.8,0.4
18/12/2018,25,69,0.5
19/12/2018,24.3,74.4,2.5
20/12/2018,25,68.1,0.3
21/12/2018,25.5,63.7,0.5
22/12/2018,25.4,69.4,0.3
23/12/2018,25.5,68.5,0
24/12/2018,25.5,66,0
25/12/2018,25.4,67.8,0.3
26/12/2018,25.3,64.5,0
27/12/2018,25,66.3,0.2
28/12/2018,25.1,65,0.2
29/12/2018,25.7,61.5,0
30/12/2018,25.5,63.2,0
31/12/2018,25,68.4,0.9
,23.70821918,68.5509589,1.889589041
