datetime,temp,humidity,precip
01/01/2018,27.2,76.1,0
02/01/2018,27.6,78.5,0
03/01/2018,27.7,75.7,0
04/01/2018,27.1,83.3,0.1
05/01/2018,27.7,79.7,0
06/01/2018,27.3,75.7,0
07/01/2018,26.8,78.5,0
08/01/2018,27.2,75.9,0
09/01/2018,26.8,76.2,0
10/01/2018,26.9,77.4,0
11/01/2018,26.7,74.9,0
12/01/2018,26.8,74.3,0
13/01/2018,26.4,71.7,0
14/01/2018,26.2,73.7,0
15/01/2018,26.6,76,0
16/01/2018,26.4,76.9,0
17/01/2018,26.6,77.3,0
18/01/2018,26.3,78.5,0
19/01/2018,26.5,76.8,0
20/01/2018,26.8,76.3,0
21/01/2018,26.7,78.1,0
22/01/2018,26.7,74.6,0
23/01/2018,26.3,74.6,0
24/01/2018,26.7,70.7,0
25/01/2018,26.6,72.8,0
26/01/2018,27.3,74.8,0
27/01/2018,27,75.1,0
28/01/2018,26.7,76.4,0
29/01/2018,27.4,75.2,0
30/01/2018,28,75.4,0
31/01/2018,27.5,74.3,0
01/02/2018,27.1,74.5,0
02/02/2018,27.2,75.2,0
03/02/2018,27.4,75,0
04/02/2018,27.5,74.3,0
05/02/2018,27.5,73.8,0
06/02/2018,27.7,70.4,0
07/02/2018,27.2,71,0
08/02/2018,26.8,73.8,0
09/02/2018,27.1,73.3,0
10/02/2018,27.3,74,0
11/02/2018,27.4,74.8,0
12/02/2018,27.6,75.7,0
13/02/2018,28,75.2,0
14/02/2018,28.1,77.3,0.4
15/02/2018,28.1,75.6,0
16/02/2018,28.1,74.7,0
17/02/2018,28.6,71.2,0
18/02/2018,27.8,75.1,0
19/02/2018,28.3,74.3,0
20/02/2018,28.8,74.8,0
21/02/2018,28.9,75.6,0
22/02/2018,28.5,71.4,0
23/02/2018,28.6,71.8,0
24/02/2018,28.5,76.1,0
25/02/2018,28.7,74.7,0
26/02/2018,28.5,73,0
27/02/2018,28.9,71.4,0.1
28/02/2018,28.3,74.7,0
01/03/2018,28.8,73.2,0
02/03/2018,26.9,82.4,45
03/03/2018,27.1,79.4,4
04/03/2018,26.1,78.3,2
05/03/2018,27.6,74,0.2
06/03/2018,27.7,81.1,6
07/03/2018,28.8,74.7,0
08/03/2018,28.3,79.7,0
09/03/2018,27.3,81.9,0
10/03/2018,27.8,79.7,2
11/03/2018,27.7,78.3,0.2
12/03/2018,27.5,81.8,0.4
13/03/2018,26,89.2,17
14/03/2018,28.1,81.5,0.2
15/03/2018,26.4,88.5,41
16/03/2018,26.3,86.3,29
17/03/2018,27.7,78.3,0
18/03/2018,28.3,81.7,0
19/03/2018,28,80.6,1
20/03/2018,27.6,78,0
21/03/2018,27.8,79.8,0
22/03/2018,27.9,79.4,0
23/03/2018,27.7,80,0
24/03/2018,28.2,79.4,0
25/03/2018,28.7,78.2,0
26/03/2018,27.5,84.1,26.5
27/03/2018,27.2,84.3,2
28/03/2018,27.6,79.7,0
29/03/2018,28.1,76.9,0
30/03/2018,28.3,78.4,0
31/03/2018,28.5,77.5,0
01/04/2018,28.7,78.9,0
02/04/2018,28.9,79.4,4
03/04/2018,28.5,79.9,12
04/04/2018,28.5,79.9,0
05/04/2018,27.9,78.3,0
06/04/2018,27.9,77.4,0
07/04/2018,27.6,84.3,17
08/04/2018,27.2,85.3,4
09/04/2018,25.9,89.5,3
10/04/2018,27.7,79.5,0
11/04/2018,28.1,81.4,0
12/04/2018,26.4,90.5,8
13/04/2018,27.1,86.3,0
14/04/2018,25.4,92.3,12
15/04/2018,26.4,81.5,0.5
16/04/2018,26.9,76.1,0
17/04/2018,26,82.5,0
18/04/2018,26.8,79.6,0
19/04/2018,27.8,80,0.2
20/04/2018,26.3,85.3,0
21/04/2018,27.3,78,0
22/04/2018,27.7,80,0
23/04/2018,28.2,79.5,0
24/04/2018,28.5,77.5,0
25/04/2018,27.6,78.8,0
26/04/2018,27.1,78.5,0
27/04/2018,27,81.8,0.9
28/04/2018,27.3,79.5,1
29/04/2018,27.3,80.8,5
30/04/2018,24.9,92.7,39
01/05/2018,24.8,92.8,80
02/05/2018,24.3,92.8,3
03/05/2018,25.6,89,2.5
04/05/2018,25.4,89.6,102
05/05/2018,25.3,87.9,2
06/05/2018,24.6,91.7,21
07/05/2018,25.1,86.8,5.6
08/05/2018,24.9,91.2,41
09/05/2018,25.6,83.6,0
10/05/2018,25.7,87.2,38
11/05/2018,26.8,82.7,6
12/05/2018,26.4,84.3,3
13/05/2018,25.1,92.3,19
14/05/2018,26.1,88.4,3.4
15/05/2018,26.4,83.8,0
16/05/2018,26.5,84,0
17/05/2018,26.5,82.9,0
18/05/2018,26.6,79.5,0
19/05/2018,26.8,78.7,0.1
20/05/2018,26.9,80.1,0
21/05/2018,26,83.2,0.7
22/05/2018,25.5,84.7,0
23/05/2018,26.6,79.2,0
24/05/2018,26.9,78.3,0
25/05/2018,24.9,91.3,26
26/05/2018,25.3,86.9,4.6
27/05/2018,26.3,79.5,0.3
28/05/2018,26.5,78.1,0
29/05/2018,26.2,81.2,0
30/05/2018,25.7,84,0
31/05/2018,26.1,82.1,1
01/06/2018,25.8,85.3,8
02/06/2018,26.1,84.6,17
03/06/2018,25.7,82.1,0
04/06/2018,26.1,76.4,2
05/06/2018,25.8,74.5,0
06/06/2018,25.8,76.3,1
07/06/2018,25,76.1,0
08/06/2018,25.1,74.1,0
09/06/2018,25,72.9,0
10/06/2018,25.1,78.7,0
11/06/2018,25.6,75.7,0
12/06/2018,23.6,90,11
13/06/2018,24,88,5
14/06/2018,25.6,80.9,0
15/06/2018,25.7,80.2,0
16/06/2018,25.7,80.1,0
17/06/2018,25,84,0
18/06/2018,24.6,82,0
19/06/2018,25.7,80.8,0
20/06/2018,25.6,80.2,0.1
21/06/2018,25.9,83.9,2
22/06/2018,24.4,92.2,10
23/06/2018,25,81.8,0.4
24/06/2018,25.5,77.2,0
25/06/2018,25,86.7,10
26/06/2018,24.5,86.3,8
27/06/2018,25,83.2,0
28/06/2018,24.3,88.2,8
29/06/2018,23.6,89.9,10
30/06/2018,24.5,86.4,2
01/07/2018,24,88,19
02/07/2018,24.3,83.2,0.1
03/07/2018,23.5,89.3,6
04/07/2018,23.6,86.9,11
05/07/2018,24.2,80.1,0
06/07/2018,24.1,85.1,0.1
07/07/2018,24.8,78.9,0.2
08/07/2018,24.1,84.6,0.3
09/07/2018,24.7,80,0.8
10/07/2018,24.8,80.2,1
11/07/2018,24.5,84.3,5
