datetime,temp,humidity,precip
01/01/2018,17.7,60.2,0
02/01/2018,17.2,70.3,0.5
03/01/2018,17,78,0.119
04/01/2018,16.1,75.8,0.554
05/01/2018,16.5,67.6,0
06/01/2018,16,70.7,0
07/01/2018,16.1,69.7,0
08/01/2018,17,62,0
09/01/2018,17.4,63.2,0
10/01/2018,16.6,71.9,0.1
11/01/2018,15.8,72.5,0.237
12/01/2018,16.1,69.4,0
13/01/2018,15.9,67.4,0
14/01/2018,16.8,60.1,0
15/01/2018,16.6,52.8,0
16/01/2018,16.7,55.2,0
17/01/2018,17,65.1,0
18/01/2018,17.5,63.5,0
19/01/2018,17.8,69.5,0.3
20/01/2018,16.9,72,2.77
21/01/2018,16.7,64.6,2.374
22/01/2018,16.2,65.2,3.166
23/01/2018,16.5,64.6,0
24/01/2018,17,68.1,0.396
25/01/2018,17.4,73,1.327
26/01/2018,17.9,73.9,5.2
27/01/2018,18,69.2,0
28/01/2018,18,66.3,0
29/01/2018,17.9,60.7,0
30/01/2018,18.3,57.8,0
31/01/2018,17.3,68.8,0.356
01/02/2018,17.5,73.3,0.04
02/02/2018,17.2,73.3,0
03/02/2018,17.5,66.4,0
04/02/2018,17.3,65.5,0
05/02/2018,17.6,75.1,8.311
06/02/2018,17.4,73,2.374
07/02/2018,17.1,60.7,0
08/02/2018,16.6,50.5,0
09/02/2018,16.6,53.6,0
10/02/2018,16.8,63,0.1
11/02/2018,17,75.1,0.6
12/02/2018,17.1,70.4,0
13/02/2018,16.6,66.9,0.4
14/02/2018,17.3,77,1.732
15/02/2018,17.3,74.7,0.3
16/02/2018,17.5,71.3,0
17/02/2018,17.4,71.7,0
18/02/2018,17.8,71.2,0
19/02/2018,18.3,72.1,0.7
20/02/2018,18,75.3,5.5
21/02/2018,18.9,66.4,0
22/02/2018,18.6,69.4,0.4
23/02/2018,18.3,67.3,0.6
24/02/2018,18.2,65.6,0.3
25/02/2018,19.4,65.7,0.3
26/02/2018,19.8,59.7,0
27/02/2018,19.3,59.7,0
28/02/2018,19,71,1.32
01/03/2018,17.9,78.2,15.466
02/03/2018,16.9,85.2,7.359
03/03/2018,16.7,86,37.247
04/03/2018,15.7,87.3,12.625
05/03/2018,16.8,83.5,1.439
06/03/2018,16.3,85.8,4.016
07/03/2018,17.5,79.5,6.675
08/03/2018,17.8,76.1,0.237
09/03/2018,18.3,76,3.98
10/03/2018,18.6,70.9,0.3
11/03/2018,18.1,75.8,0.791
12/03/2018,18.1,79.7,20.527
13/03/2018,17.1,88.6,2.066
14/03/2018,17.8,82.3,1.368
15/03/2018,17,88.4,10.355
16/03/2018,15.9,87.9,16.542
17/03/2018,17.2,85.5,15.264
18/03/2018,17.6,83.9,7.467
19/03/2018,17.1,86.3,5.38
20/03/2018,16.8,88.2,5.866
21/03/2018,16.8,87.7,13.388
22/03/2018,16.6,85.2,1.583
23/03/2018,17,80.6,0.6
24/03/2018,17.7,82.1,1
25/03/2018,17.4,86.7,1.294
26/03/2018,17.5,86.2,23.48
27/03/2018,17.4,85.3,1.979
28/03/2018,16.9,86.2,1.312
29/03/2018,16.9,86,0.836
30/03/2018,16.4,85.3,1.09
31/03/2018,16.7,84.3,0.04
01/04/2018,17,84.4,5.452
02/04/2018,16.9,86.8,23.01
03/04/2018,16.7,85.4,8.506
04/04/2018,16.7,85.8,5.716
05/04/2018,17,83.9,1.99
06/04/2018,17.2,84.5,8.54
07/04/2018,17.5,85.9,0.273
08/04/2018,17,84.7,14.566
09/04/2018,17.1,85.3,4.857
10/04/2018,17.5,83.2,0.545
11/04/2018,17,88.8,13.879
12/04/2018,17.2,87.2,12.538
13/04/2018,16.9,88.1,7.879
14/04/2018,16.9,89.2,46.391
15/04/2018,16.7,87.5,14.055
16/04/2018,16.5,88.1,37.428
17/04/2018,16.4,87.7,16.727
18/04/2018,17,86.6,8.985
19/04/2018,16.6,87.7,6.368
20/04/2018,16.8,87.6,11.626
21/04/2018,17.1,89.5,37.369
22/04/2018,16.5,89.9,24.987
23/04/2018,17.2,88.9,2.751
24/04/2018,16.5,91.3,32.446
25/04/2018,16.9,89.8,5.435
26/04/2018,17.8,87.8,0.166
27/04/2018,17.2,89.3,21.638
28/04/2018,16.7,89.4,28.678
29/04/2018,16.5,88,21.914
30/04/2018,16.3,88.2,2.317
01/05/2018,16.2,89,3.444
02/05/2018,15.5,88.2,17.684
03/05/2018,16.3,86.3,11.358
04/05/2018,17.2,86.2,24.685
05/05/2018,17.1,88.2,10.519
06/05/2018,16.8,87.6,4.964
07/05/2018,16.6,90.1,3.003
08/05/2018,16.6,88.5,24.647
09/05/2018,16.7,87.9,14.45
10/05/2018,16.8,87.6,32.349
11/05/2018,16.3,90.1,7.027
12/05/2018,17.3,84.7,2.181
13/05/2018,18,86.3,2.493
14/05/2018,17.5,87.7,2.503
15/05/2018,16.8,86.2,28.755
16/05/2018,16.9,87.7,8.984
17/05/2018,16.6,88,11.925
18/05/2018,16.7,86.1,0.079
19/05/2018,16.5,86.6,8
20/05/2018,16.2,88.8,1.521
21/05/2018,16.2,90.5,5.711
22/05/2018,15.4,91.7,41.577
23/05/2018,15.8,88.8,43.719
24/05/2018,16.4,87.7,2.374
25/05/2018,16.2,87.9,2.77
26/05/2018,16.1,87.5,1.592
27/05/2018,16.4,86.9,0.857
28/05/2018,16.1,84.7,0.7
29/05/2018,15,81.6,0
30/05/2018,15.7,82,0
31/05/2018,16.8,85.3,1.2
01/06/2018,17,87.1,0.791
02/06/2018,16.8,88.7,0.316
03/06/2018,16.7,89.5,1.352
04/06/2018,16.1,92.6,4.732
05/06/2018,15.2,91.7,16.735
06/06/2018,15,90.2,3.361
07/06/2018,14.6,90.6,1.248
08/06/2018,15,90.2,0.426
09/06/2018,15.7,87.2,1.2
10/06/2018,15.6,86.6,0
11/06/2018,15,83.4,0
12/06/2018,15,86.2,0
13/06/2018,15.6,87.8,0.5
14/06/2018,15.7,86.8,0.4
15/06/2018,16.6,86.9,0.9
16/06/2018,15.9,89.2,2.1
17/06/2018,15.3,88.6,5.309
18/06/2018,15.1,90.3,1.784
19/06/2018,15.3,88,0.352
20/06/2018,15.4,85.1,0
21/06/2018,15.1,85.6,10.036
22/06/2018,14.8,86.3,1.383
23/06/2018,14.7,88.4,2.1
24/06/2018,14.9,89.3,5.3
25/06/2018,14.2,88.6,0.059
26/06/2018,14.2,88.9,2.084
27/06/2018,15.1,87.2,0.079
28/06/2018,14.7,83.6,0.3
29/06/2018,15.1,89,7.051
30/06/2018,15.1,87.8,3.74
01/07/2018,15.2,87,2
02/07/2018,14.5,89.6,3.226
03/07/2018,14.7,89.7,1.124
04/07/2018,14.3,89.9,9.078
05/07/2018,14.5,86.2,1.674
06/07/2018,13.9,84,0.4
07/07/2018,13.9,84.7,0.2
08/07/2018,14.4,85.1,0.273
09/07/2018,14.7,86.3,0.273
10/07/2018,14.9,88.3,1.758
11/07/2018,14.4,89.3,0.997
12/07/2018,14.7,88.1,0.245
13/07/2018,14.7,89.4,2.165
14/07/2018,14.5,90.2,3.072
15/07/2018,14.4,88.4,0.496
16/07/2018,14.2,81.7,0
17/07/2018,15,81.3,0
18/07/2018,14.2,83.5,0
19/07/2018,14.4,84.3,0.5
20/07/2018,14.1,86.5,0.158
21/07/2018,14.1,87.2,0.04
22/07/2018,14.2,85.8,0.481
23/07/2018,13.6,87.2,0.372
24/07/2018,13.7,85.6,0.5
25/07/2018,13.9,86.4,0.04
26/07/2018,14.1,86.3,0.2
27/07/2018,14.7,83.2,0
28/07/2018,15.4,79.2,0
29/07/2018,15.2,84.9,0.237
30/07/2018,16,85.7,5.73
31/07/2018,15.7,87.3,0.055
01/08/2018,16.1,83.5,0.079
02/08/2018,16.2,80.4,0
03/08/2018,16,82.3,0
04/08/2018,15.2,82.3,0.4
05/08/2018,14.5,82.8,0.119
06/08/2018,15,80.6,0.782
07/08/2018,14.6,72.7,0
08/08/2018,14.5,74.4,0
09/08/2018,15.5,79.9,0.4
10/08/2018,15.3,83.4,1.8
11/08/2018,14.3,78.5,0.317
12/08/2018,14.5,80,0.317
13/08/2018,14.3,77.6,0.4
14/08/2018,14.6,80,0.2
15/08/2018,14.2,83.3,0.243
16/08/2018,13.8,85.6,0.76
17/08/2018,14.2,87.6,0.681
18/08/2018,14.3,89.5,0.717
19/08/2018,14.7,87,0.589
20/08/2018,14.6,84.2,0.04
21/08/2018,15.1,83.3,0.04
22/08/2018,15.7,83.7,0
23/08/2018,15.1,87.2,0.191
24/08/2018,15,87.6,4.1
25/08/2018,15.2,81.6,1.5
26/08/2018,16.1,86.2,1.448
27/08/2018,16.2,86.1,0.313
28/08/2018,15.5,87.4,4.4
29/08/2018,14.6,87.6,0.158
30/08/2018,14.7,80.4,0.237
31/08/2018,14.9,84.1,1
01/09/2018,15.3,85.4,0.164
02/09/2018,15.4,87.1,0.984
03/09/2018,15.7,82.4,0.9
04/09/2018,15.6,82.8,0.451
05/09/2018,15.7,80.1,10.332
06/09/2018,15.6,82.6,6.986
07/09/2018,15.6,79,2.605
08/09/2018,15.8,78,0.5
09/09/2018,16.4,74.7,0.2
10/09/2018,17,79.3,1.3
11/09/2018,16.5,77.1,0.1
12/09/2018,15.9,75.3,0
13/09/2018,16.4,76.3,0.9
14/09/2018,17,78,0.2
15/09/2018,16.2,72.8,0
16/09/2018,16,69.7,0
17/09/2018,15.2,73.5,0
18/09/2018,15.4,77.1,0
19/09/2018,15.8,77.4,0.2
20/09/2018,15.9,72.9,0.3
21/09/2018,16.9,78.7,1.486
22/09/2018,16.1,83,2.291
23/09/2018,16.3,79.2,0.6
24/09/2018,16.1,77.9,0.7
25/09/2018,16.5,81.3,5.565
26/09/2018,17.3,75.2,1
27/09/2018,16.7,81.4,1.978
28/09/2018,17.2,82.1,1.856
29/09/2018,17,79.5,0.4
