datetime,temp,humidity,precip
01/01/2018,21.4,55.8,0
02/01/2018,20.5,66,0.3
03/01/2018,20.3,71.4,1.3
04/01/2018,18.6,81.5,8
05/01/2018,20.8,66.1,0
06/01/2018,21.2,56.9,0
07/01/2018,20.5,55.5,0
08/01/2018,21,51,0
09/01/2018,21.2,53.4,0
10/01/2018,20.6,63.3,0.4
11/01/2018,20.5,59.1,0
12/01/2018,20.5,59.7,0
13/01/2018,20.1,54.6,0
14/01/2018,20.4,47.4,0
15/01/2018,21,43.6,0
16/01/2018,20.9,51.9,0
17/01/2018,21.2,56.9,0
18/01/2018,22,53.4,0
19/01/2018,22.4,59,0
20/01/2018,21.5,61.1,0
21/01/2018,21.2,49.8,0
22/01/2018,20.7,51.4,0
23/01/2018,20.7,51.1,0
24/01/2018,21.3,56.4,0.3
25/01/2018,21.2,63,2
26/01/2018,20.8,70.4,2
27/01/2018,21.5,62.9,0
28/01/2018,22.1,56.4,0
29/01/2018,22,48.2,0
30/01/2018,22.4,48.1,0
31/01/2018,21.5,54.6,0
01/02/2018,21.2,57.9,0
02/02/2018,20.6,60.2,0
03/02/2018,21.1,51.3,0
04/02/2018,21.4,54.8,0
05/02/2018,22,56.2,0
06/02/2018,21.8,56.3,0
07/02/2018,21.1,52.1,0
08/02/2018,20.4,43,0
09/02/2018,20.7,42.5,0
10/02/2018,21.6,54.3,0
11/02/2018,21.1,61.9,0
12/02/2018,20.7,61.2,0
13/02/2018,20.6,58.7,0
14/02/2018,21.4,60.7,0
15/02/2018,20.6,63,0
16/02/2018,21.1,60.6,0
17/02/2018,21.8,58.5,0
18/02/2018,21.7,59.4,0
19/02/2018,22.3,60.2,0
20/02/2018,22.1,64.6,0.1
21/02/2018,23.6,51.9,0
22/02/2018,23.4,52.7,0
23/02/2018,23.3,51.2,0
24/02/2018,23.2,55.8,0
25/02/2018,23.9,52.1,0
26/02/2018,24.4,46.8,0
27/02/2018,23.9,49.1,0
28/02/2018,23.9,55.5,0
01/03/2018,20.3,75.8,4
02/03/2018,18.6,84.5,4
03/03/2018,19.2,83.5,15
04/03/2018,17.8,91,12
05/03/2018,18.2,86.7,4
06/03/2018,19.4,83.1,31
07/03/2018,20.3,72.3,18
08/03/2018,21.3,67.6,0
09/03/2018,21.7,69.1,0
10/03/2018,20.4,75.1,0
11/03/2018,20.3,75.6,0.5
12/03/2018,19.2,84.6,1
13/03/2018,18.9,84.1,33
14/03/2018,20.7,75.9,0.4
15/03/2018,18.3,89.2,46.6
16/03/2018,18.5,86.3,1.2
17/03/2018,19,85.9,7
18/03/2018,20.2,79.2,13
19/03/2018,18.1,90.6,11
20/03/2018,18.5,86.4,0.7
21/03/2018,19.1,82.6,0.4
22/03/2018,19.6,79.8,1
23/03/2018,19.8,72.7,0
24/03/2018,20.6,70.5,0
25/03/2018,20.4,75.3,0
26/03/2018,20,79.5,6
27/03/2018,19.6,81.8,1
28/03/2018,19.7,78.8,1.1
29/03/2018,19.5,80.5,0
30/03/2018,19.8,77.9,0
31/03/2018,19.7,74,2
01/04/2018,19.8,77.4,0.7
02/04/2018,19.7,80.2,1
03/04/2018,18.6,86.3,3
04/04/2018,19.1,79.2,3
05/04/2018,19.6,79,0
06/04/2018,19.9,77.7,0.1
07/04/2018,20.3,77.5,0
08/04/2018,19.8,77.4,1
09/04/2018,20.1,78,1
10/04/2018,20.8,76.2,2
11/04/2018,19.6,82.9,6
12/04/2018,20,81.3,10
13/04/2018,20.4,79.9,0
14/04/2018,19.2,83,14
15/04/2018,19.4,80.9,32
16/04/2018,19.9,77.4,1
17/04/2018,19.1,83.2,19
18/04/2018,19.2,82.2,1
19/04/2018,19,86.7,3
20/04/2018,19.4,83.6,0
21/04/2018,19.9,83.9,23
