datetime,temp,humidity,precip
01/01/2018,23.7,58.3,1.1
02/01/2018,22.6,69.9,5
03/01/2018,22.3,74.5,5.3
04/01/2018,21.5,78,8.7
05/01/2018,22.1,72.6,0.5
06/01/2018,22.3,69,1.9
07/01/2018,22.7,64.2,1.5
08/01/2018,23.4,58.9,0.3
09/01/2018,23.3,62.1,1
10/01/2018,22.9,65.9,2
11/01/2018,21.7,67.8,1.6
12/01/2018,21.6,66,0.1
13/01/2018,21.1,62.9,0
14/01/2018,21.9,50.7,0
15/01/2018,22.3,53.8,0
16/01/2018,22.8,55.8,0
17/01/2018,23,63,0.4
18/01/2018,23.5,63.9,0.1
19/01/2018,23.4,64.5,0
20/01/2018,23.4,65,0
21/01/2018,23.3,60.1,0.5
22/01/2018,22.9,55.6,0.3
23/01/2018,22.5,60.5,0
24/01/2018,22.9,62.6,0
25/01/2018,23.6,62.2,3.8
26/01/2018,24.5,60.2,4.1
27/01/2018,24,61.9,1
28/01/2018,23.7,60.6,0.2
29/01/2018,23.9,50.3,0
30/01/2018,24.2,55.9,0
31/01/2018,23.7,59.9,0
01/02/2018,24.1,59.8,0
02/02/2018,24.1,62.4,0
03/02/2018,23.9,57.8,0
04/02/2018,23.9,54.2,0
05/02/2018,23.9,61,1.2
06/02/2018,23.9,62.4,0.8
07/02/2018,23,56.9,0
08/02/2018,22.5,51.9,0
09/02/2018,23.2,52.3,0
10/02/2018,23.3,57.8,0.1
11/02/2018,23.5,63.6,0.4
12/02/2018,23.2,54,0
13/02/2018,23.7,47.5,0
14/02/2018,24,59.6,0
15/02/2018,24.1,59.4,0
16/02/2018,24.2,56.6,0
17/02/2018,24.1,55.8,0
18/02/2018,24.6,57,0
19/02/2018,25.6,54.1,0
20/02/2018,25.1,56.5,1.3
21/02/2018,25.9,53.3,0
22/02/2018,25.5,53.8,0.4
23/02/2018,25.3,53.9,0.4
24/02/2018,25.4,54.5,0
25/02/2018,26.1,55.3,0.9
26/02/2018,26.4,47.8,0
27/02/2018,25.8,47.7,0.5
28/02/2018,25,55.2,2.7
01/03/2018,22.1,74.5,18.1
02/03/2018,23.2,69.3,10.5
03/03/2018,21.4,84.8,14.2
04/03/2018,20.6,85.3,32.4
05/03/2018,22,78.8,15.1
06/03/2018,20.7,85.4,22.8
07/03/2018,21.5,78.2,14.3
08/03/2018,23.3,75.1,0.2
09/03/2018,23.7,74.9,1.4
10/03/2018,22.6,78.2,14.4
11/03/2018,22.2,80.2,3.9
12/03/2018,21.4,83.6,13.5
13/03/2018,21.7,82.9,16.1
14/03/2018,21.8,84.4,6.7
15/03/2018,21,90.6,53.7
16/03/2018,20.8,85.7,5.8
17/03/2018,22.2,80.6,26.8
18/03/2018,21.5,86.5,7.5
19/03/2018,21.7,86,10.3
20/03/2018,21,86.8,10.3
21/03/2018,20.4,88.1,17.1
22/03/2018,21.2,78.7,0.2
23/03/2018,21.4,75.4,0
24/03/2018,21.9,76.5,0.1
25/03/2018,22.1,78.2,5.1
26/03/2018,21.7,84.9,11.6
27/03/2018,21.5,85.3,2.2
28/03/2018,21.4,82.5,4.4
29/03/2018,21.6,80.8,0.9
30/03/2018,21.5,81,0.9
31/03/2018,21.7,79.9,0.2
01/04/2018,21.9,79,0.7
02/04/2018,22,77.8,0.8
03/04/2018,21.5,79.1,5.5
04/04/2018,21.9,78.1,2
05/04/2018,21.8,75.8,0.5
06/04/2018,22,78.6,3.7
07/04/2018,22.2,78.8,3.3
08/04/2018,21.9,79.2,10.7
09/04/2018,21.8,78.2,6.9
10/04/2018,22.4,76.2,4
11/04/2018,21.4,83.7,15.7
12/04/2018,21.3,85.7,10.4
13/04/2018,21,85.7,5.9
14/04/2018,20.9,85.3,12.3
15/04/2018,20.4,83.7,25.8
16/04/2018,21.3,80,11.6
17/04/2018,20.8,83.9,20.7
18/04/2018,21.2,85.8,20.8
19/04/2018,20.3,88.5,12.4
20/04/2018,21.3,85.8,7.2
21/04/2018,21.9,83.7,1.1
22/04/2018,22.5,82.6,15
23/04/2018,21,90.6,28.1
24/04/2018,21.1,88.2,6.4
25/04/2018,21,83.8,4.5
26/04/2018,21.3,85,9.6
27/04/2018,20.6,84.5,8.7
28/04/2018,20.8,85.1,5.5
29/04/2018,20.4,85.5,2.4
30/04/2018,20.1,85,9.7
01/05/2018,20.1,87.5,9.3
02/05/2018,20.3,81.7,6.4
03/05/2018,20.6,83.3,3.5
04/05/2018,20.9,84,4
05/05/2018,20.9,83.6,6.1
06/05/2018,20.9,83.6,6.3
07/05/2018,20.9,84.9,3.7
08/05/2018,20.5,85,3.3
09/05/2018,20.3,85.4,10
10/05/2018,20.6,85,9.3
11/05/2018,20.2,86.1,6.5
12/05/2018,21.1,83.4,1.6
13/05/2018,21.5,85.2,2
14/05/2018,21.6,84.3,8.7
15/05/2018,20.8,81.7,2.6
16/05/2018,21,83.2,7.6
17/05/2018,20.7,80.7,5.8
18/05/2018,19.9,80.1,1.1
19/05/2018,20.3,76.9,2.7
20/05/2018,20.2,78.1,2.1
21/05/2018,20.6,82.7,5.1
22/05/2018,20.4,82.3,4.8
23/05/2018,20.4,80.9,1.8
24/05/2018,20.7,78.8,1.5
25/05/2018,20.8,81.6,7
26/05/2018,20.8,81.4,3.2
27/05/2018,20.5,79.8,2.9
28/05/2018,19.9,73.4,0
29/05/2018,19.5,76.5,0
30/05/2018,20.6,77.6,0
31/05/2018,20.5,81.5,2.6
01/06/2018,21.1,81.8,1.8
02/06/2018,21.3,80.4,1.6
03/06/2018,21,80.4,1.1
04/06/2018,20.5,79.3,1.4
05/06/2018,19.7,75.4,1.9
06/06/2018,19,75.7,1.8
07/06/2018,18.7,75.2,1.6
08/06/2018,18.9,76.3,0.2
09/06/2018,18.9,76.3,0.6
10/06/2018,19,71.6,0
11/06/2018,19,70.5,0
12/06/2018,19.6,78.7,1.1
13/06/2018,20,79,1.6
14/06/2018,20,76.6,0.8
15/06/2018,20.2,75.1,0
16/06/2018,20.1,75.9,0
17/06/2018,19.2,79.9,0
18/06/2018,19.5,78,0
19/06/2018,19.2,76.4,0
20/06/2018,20.1,72.4,0.2
21/06/2018,20.4,75.2,2.4
22/06/2018,19.7,77.8,2.5
23/06/2018,19.9,75.6,1.3
24/06/2018,19.9,72.8,0.5
25/06/2018,19.5,70.4,0.4
26/06/2018,19.9,73.7,2.4
27/06/2018,19.5,66.6,0.3
28/06/2018,20,70.9,0.1
29/06/2018,20.3,74.1,1.2
30/06/2018,20.2,75.5,2.1
01/07/2018,19.9,76.9,5.7
02/07/2018,19.7,77.7,4.3
03/07/2018,19.8,77.7,4.3
04/07/2018,19.1,75.2,4.1
05/07/2018,18.5,70.9,0.3
06/07/2018,19,66.8,0
07/07/2018,19.1,71.9,0
08/07/2018,19.7,68.3,0
09/07/2018,20,69.4,0
10/07/2018,20.1,71.1,0
11/07/2018,19.9,70.8,0
12/07/2018,19.9,71.4,0.1
13/07/2018,19.8,72.4,1.2
14/07/2018,19.4,72.1,0
15/07/2018,19.6,68.5,0
16/07/2018,19,68.3,0
17/07/2018,19.5,61,0
18/07/2018,19.2,62.1,0
19/07/2018,19.4,63.1,0
20/07/2018,19,67.7,0
21/07/2018,18.8,71.1,1.7
22/07/2018,19.2,69.3,1
23/07/2018,18.9,68.2,0.1
24/07/2018,19.4,66.7,0.9
25/07/2018,19.6,67.5,0.2
26/07/2018,19.8,65.7,0
27/07/2018,20.7,64.9,0
28/07/2018,21.5,60.5,0
29/07/2018,21.2,66.9,0
30/07/2018,21.2,68.6,0
31/07/2018,21.1,69.9,0.1
01/08/2018,21.4,68.6,0
02/08/2018,21.9,67.1,0
03/08/2018,21.5,66.2,0
04/08/2018,20.9,62.1,0
05/08/2018,20.3,66.8,0.1
06/08/2018,20.4,64.4,0
07/08/2018,20.2,57.3,0
08/08/2018,20.9,61.6,0
09/08/2018,21.3,65.2,0
10/08/2018,20.8,63.5,0
11/08/2018,19.8,63.1,0.7
12/08/2018,20.2,65.8,0.4
13/08/2018,19.7,64.8,0
14/08/2018,19.9,60.9,0
15/08/2018,20.3,62.5,1.4
16/08/2018,20.3,59.5,0.2
17/08/2018,20,66.2,0.7
18/08/2018,19.9,68.2,0
19/08/2018,20.4,62.4,0
20/08/2018,20.2,60.6,0
21/08/2018,20.2,63.6,0
22/08/2018,21,61.8,0
23/08/2018,21.5,62.3,0
24/08/2018,21.8,58.7,0
25/08/2018,21.5,59.4,0.9
26/08/2018,21.4,64.5,0.6
27/08/2018,21.2,64,0.8
28/08/2018,20.8,66.4,0.1
29/08/2018,20.7,60.7,0
30/08/2018,20.7,58.9,0
31/08/2018,21.1,61.7,0
01/09/2018,21.2,62.7,0
02/09/2018,21.3,63.1,0
03/09/2018,21.7,58,0.2
04/09/2018,21.8,64.8,2.2
05/09/2018,21.8,64,1.2
06/09/2018,21.7,63.4,1.1
07/09/2018,21.5,62.7,0
08/09/2018,22.2,59.9,0
09/09/2018,22.6,60.7,0
10/09/2018,23.1,61.8,0
11/09/2018,22.7,58.2,0
12/09/2018,22.2,58.3,0
13/09/2018,23,60.9,0.1
14/09/2018,23.9,54.4,0
15/09/2018,22.9,51.6,0
