datetime,temp,humidity,precip
01/01/2018,26.6,36.5,0
02/01/2018,27,37.5,0
03/01/2018,28.1,33.8,0
04/01/2018,28.3,30.5,0
05/01/2018,27.6,32.7,0
06/01/2018,27.5,33.6,0
07/01/2018,27.6,31.3,0
08/01/2018,27.9,32.1,0
09/01/2018,27.7,35,0
10/01/2018,28.1,33,0
11/01/2018,28,31.7,0
12/01/2018,27.3,33.4,0
13/01/2018,26,27.2,0
14/01/2018,26.2,25.2,0
15/01/2018,26.3,25.3,0
16/01/2018,27.3,29.8,0
17/01/2018,27.9,37.7,0
18/01/2018,28.2,43.2,0
19/01/2018,28.5,44.2,0
20/01/2018,28.8,43.4,0
21/01/2018,28.1,34.7,0
22/01/2018,27.9,36.8,0
23/01/2018,27.6,39.1,0
24/01/2018,28,46.4,0.1
25/01/2018,28.9,43.9,0
26/01/2018,29.1,41.2,0
27/01/2018,28.3,41.3,0
28/01/2018,27.8,42.8,0
29/01/2018,29,38.3,0
30/01/2018,28.4,34.6,0
31/01/2018,28.4,38.6,0
01/02/2018,29.6,41.3,0
02/02/2018,28.6,40.9,0
03/02/2018,28.5,39.7,0
04/02/2018,29,43,0
05/02/2018,30.6,38.5,0
06/02/2018,29.2,31.9,0
07/02/2018,27.7,22,0
08/02/2018,26.2,26.7,0
09/02/2018,27.2,33.8,0
10/02/2018,29,41.5,0
11/02/2018,28.8,49.6,0
12/02/2018,29.4,43.1,0
13/02/2018,29.3,43.6,0
14/02/2018,29.7,46.3,0
15/02/2018,29.5,46.1,0.7
16/02/2018,30,41.9,0
17/02/2018,29.7,44.4,0
18/02/2018,30.1,45.5,0
19/02/2018,30.5,45.2,0.3
20/02/2018,30.8,42.4,0
21/02/2018,31.1,38.7,0
22/02/2018,28.8,46.8,0
23/02/2018,29.8,43.4,0
24/02/2018,30.5,44.4,0
25/02/2018,31.2,41.6,0
26/02/2018,30.9,37.8,0
27/02/2018,31.1,41.3,0
28/02/2018,29.2,50.5,0.3
01/03/2018,29.5,51.7,0.4
02/03/2018,25.7,75.6,19.8
03/03/2018,25.8,73.6,2.8
04/03/2018,26.6,66.5,5.3
05/03/2018,24.9,73.5,5.9
06/03/2018,27.7,60.4,0.3
07/03/2018,28,58.9,1.3
08/03/2018,28.3,55.1,1.7
09/03/2018,27.8,48.3,0
10/03/2018,27.4,41.4,0
11/03/2018,27,48.4,0
12/03/2018,28.6,51.8,0
13/03/2018,28.2,60.3,6.9
14/03/2018,27.8,64,0.3
15/03/2018,25,72.9,8.1
16/03/2018,25.8,71.4,7.9
17/03/2018,27.1,66,2.7
18/03/2018,28.9,54.2,0
19/03/2018,26.8,66.4,3.5
20/03/2018,26.1,71.7,5.4
21/03/2018,26.7,70.9,1.7
22/03/2018,26.9,64.3,1.2
23/03/2018,27.8,58.7,0
24/03/2018,28.1,58.1,0.6
25/03/2018,27.5,63.9,1.3
26/03/2018,27.9,61.1,0.7
27/03/2018,27.3,63.9,3.1
28/03/2018,27.2,66.3,3.6
29/03/2018,26.6,68,2.2
30/03/2018,26.9,63.7,0.4
31/03/2018,27.6,58.4,0
01/04/2018,28.4,57.1,0
02/04/2018,28.3,57.8,0.9
03/04/2018,26.7,63.9,3.1
04/04/2018,25.2,74.4,9
05/04/2018,25,76.7,24.2
06/04/2018,25.1,77.2,10.9
07/04/2018,25.9,76.1,8.3
08/04/2018,24.8,77.4,5.7
09/04/2018,25.7,70.9,2.7
10/04/2018,27.1,66.6,0.5
11/04/2018,26.3,73.8,11.5
12/04/2018,24.3,83,16.5
13/04/2018,24.7,80.9,9.1
14/04/2018,24.7,82.4,14.3
