datetime,temp,humidity,precip
01/01/2018,20.9,75.9,1.6
02/01/2018,20.6,73.5,0.8
03/01/2018,21,71.2,1.1
04/01/2018,20.5,76,1.8
05/01/2018,20,75.4,0
06/01/2018,21,69,2.3
07/01/2018,20.9,71.3,0.9
08/01/2018,21.8,62.2,1.3
09/01/2018,21,67.1,0
10/01/2018,21.4,65.9,0.8
11/01/2018,21.3,69.8,8.5
12/01/2018,21.6,68.3,7.8
13/01/2018,21.8,73,6.2
14/01/2018,21.3,76.4,10.3
15/01/2018,21.5,70.8,0.3
16/01/2018,21.4,69.6,0
17/01/2018,22.1,67.1,0
18/01/2018,22.1,69.4,0
19/01/2018,22.1,69.5,0.8
20/01/2018,22.5,70.7,1.7
21/01/2018,23,69,1.5
22/01/2018,23.5,59,0
23/01/2018,23,58.9,0
24/01/2018,22.8,64.3,0.5
25/01/2018,23.3,66.8,0.8
26/01/2018,22.6,69.8,3.3
27/01/2018,22.1,70,1.3
28/01/2018,23.7,65.8,0
29/01/2018,24.3,64.6,0
30/01/2018,24.1,62.9,0
31/01/2018,24,62.7,0
01/02/2018,25.1,59.9,0
02/02/2018,26,56.5,0
03/02/2018,25.9,51.7,0
04/02/2018,25.7,46.6,0
05/02/2018,26.4,49.7,0
06/02/2018,26.3,51.9,0
07/02/2018,26.2,52.1,0
08/02/2018,25.8,49.1,0
09/02/2018,26.1,43.5,0
10/02/2018,25.6,42.8,0
11/02/2018,26.4,41.2,0
12/02/2018,27.7,38.5,0
13/02/2018,27.9,31.1,0
14/02/2018,27.8,37.2,0
15/02/2018,27.6,38.2,0
16/02/2018,28.1,36.3,0
17/02/2018,28.2,35.6,0
18/02/2018,26.6,43.1,0
19/02/2018,26,49.3,0
20/02/2018,22.9,72,63
21/02/2018,22,79.5,19.5
22/02/2018,22.6,76.7,3.6
23/02/2018,22.9,75.5,10.1
24/02/2018,23.3,70.3,5.8
25/02/2018,23,73.7,4.3
26/02/2018,23.1,72.4,0.6
27/02/2018,23.6,68.4,0.5
28/02/2018,22.3,77.1,13.8
01/03/2018,19.7,88.9,51.1
02/03/2018,19.2,87.9,6
03/03/2018,19.5,85.4,2.7
04/03/2018,19.1,86.3,3.3
05/03/2018,19.3,85.6,1.2
06/03/2018,18.8,90.5,9.1
07/03/2018,20.4,81.1,10.6
08/03/2018,21.3,79.8,0.9
09/03/2018,21.5,77.1,0.9
10/03/2018,20.6,83.6,9.7
11/03/2018,20.6,86.7,12.8
12/03/2018,20.1,85.9,2.1
13/03/2018,20.4,84.4,1.4
14/03/2018,20.5,84.1,1.1
15/03/2018,20.5,79.2,2
16/03/2018,19.6,88.8,21.3
17/03/2018,20.3,84,2.4
18/03/2018,20.6,83.3,4.4
19/03/2018,19.2,87.9,11.4
20/03/2018,19.8,87.3,15.9
21/03/2018,21.3,83.4,10.2
22/03/2018,22,76.2,1.6
23/03/2018,21.9,75.8,4.2
24/03/2018,22.6,74.6,0.4
25/03/2018,21.5,82.6,2.8
26/03/2018,21.5,82.9,12.3
27/03/2018,22.3,80.3,7.7
28/03/2018,21.7,81.6,10
29/03/2018,21.1,84.3,7.2
30/03/2018,21.1,81.3,0.6
31/03/2018,21.5,82,3.2
01/04/2018,21.5,81.4,4.3
02/04/2018,21.3,81.4,3.3
03/04/2018,21,79.2,3.5
04/04/2018,20.5,84.8,6.9
05/04/2018,19.9,83.6,0
06/04/2018,20.9,78.6,2.5
