datetime,temp,humidity,precip
01/01/2018,81,76.1,0
02/01/2018,81.7,78.4,0
03/01/2018,81.8,75.7,0
04/01/2018,80.8,83.2,0.004
05/01/2018,81.8,79.7,0
06/01/2018,81.1,75.7,0
07/01/2018,80.3,78.5,0
08/01/2018,80.9,75.9,0
09/01/2018,80.2,76.3,0
10/01/2018,80.5,77.4,0
11/01/2018,80.1,74.9,0
12/01/2018,80.1,74.3,0
13/01/2018,79.6,71.7,0
14/01/2018,79.2,73.7,0
15/01/2018,79.9,76,0
16/01/2018,79.5,76.8,0
17/01/2018,79.8,77.2,0
18/01/2018,79.3,78.5,0
19/01/2018,79.7,76.8,0
20/01/2018,80.2,76.3,0
21/01/2018,80.1,78.2,0
22/01/2018,80.1,74.6,0
23/01/2018,79.3,74.6,0
24/01/2018,80,70.8,0
25/01/2018,79.8,72.8,0
26/01/2018,81.1,74.8,0
27/01/2018,80.6,75.2,0
28/01/2018,80.1,76.4,0
29/01/2018,81.4,75.2,0
30/01/2018,82.4,75.4,0
31/01/2018,81.4,74.4,0
01/02/2018,80.7,74.5,0
02/02/2018,80.9,75.2,0
03/02/2018,81.2,75.1,0
04/02/2018,81.5,74.2,0
05/02/2018,81.5,73.8,0
06/02/2018,81.9,70.4,0
07/02/2018,81,71,0
08/02/2018,80.3,73.8,0
09/02/2018,80.7,73.3,0
10/02/2018,81.2,74,0
11/02/2018,81.4,74.8,0
12/02/2018,81.7,75.7,0
13/02/2018,82.4,75.2,0
14/02/2018,82.5,77.3,0.016
15/02/2018,82.5,75.6,0
16/02/2018,82.5,74.7,0
17/02/2018,83.4,71.2,0
18/02/2018,82,75.1,0
19/02/2018,83,74.3,0
20/02/2018,83.8,74.9,0
21/02/2018,83.9,75.6,0
22/02/2018,83.2,71.5,0
23/02/2018,83.5,71.7,0
24/02/2018,83.4,76.1,0
25/02/2018,83.6,74.7,0
26/02/2018,83.4,73,0
27/02/2018,84,71.4,0.004
28/02/2018,83,74.7,0
01/03/2018,83.8,73.2,0
02/03/2018,80.5,82.5,1.772
03/03/2018,80.8,79.4,0.157
04/03/2018,79,78.3,0.079
05/03/2018,81.7,74,0.008
06/03/2018,81.8,81.1,0.236
07/03/2018,83.9,74.7,0
08/03/2018,82.9,79.7,0
09/03/2018,81.1,81.9,0
10/03/2018,82,79.7,0.079
11/03/2018,81.8,78.2,0.008
12/03/2018,81.6,81.8,0.016
13/03/2018,78.7,89.2,0.67
14/03/2018,82.5,81.4,0.008
15/03/2018,79.5,88.5,1.614
16/03/2018,79.3,86.2,1.142
17/03/2018,81.8,78.3,0
18/03/2018,83,81.8,0
19/03/2018,82.4,80.7,0.039
20/03/2018,81.7,77.9,0
21/03/2018,82,79.8,0
22/03/2018,82.2,79.3,0
23/03/2018,82,80,0
24/03/2018,82.8,79.4,0
25/03/2018,83.6,78.1,0
26/03/2018,81.5,84,1.044
27/03/2018,80.9,84.3,0.079
28/03/2018,81.7,79.7,0
29/03/2018,82.6,76.9,0
30/03/2018,83,78.4,0
31/03/2018,83.2,77.5,0
01/04/2018,83.6,78.9,0
02/04/2018,84,79.4,0.157
03/04/2018,83.2,80,0.472
04/04/2018,83.2,79.9,0
05/04/2018,82.3,78.2,0
06/04/2018,82.1,77.5,0
07/04/2018,81.7,84.4,0.669
08/04/2018,81,85.3,0.157
09/04/2018,78.6,89.5,0.118
10/04/2018,81.9,79.5,0
11/04/2018,82.6,81.4,0
12/04/2018,79.6,90.6,0.315
13/04/2018,80.7,86.4,0
14/04/2018,77.8,92.3,0.472
15/04/2018,79.4,81.4,0.02
16/04/2018,80.3,76.2,0
