datetime,temp,humidity,precip
01/01/2018,70.1,57.3,0
02/01/2018,68.5,66.3,0.004
03/01/2018,68.1,71.7,0.006
04/01/2018,65.5,80.8,0.065
05/01/2018,69,66.4,0
06/01/2018,69.6,58.3,0
07/01/2018,68.5,56.5,0
08/01/2018,69.5,52,0
09/01/2018,70,54.5,0
10/01/2018,68.7,64,0.002
11/01/2018,68.6,60.3,0.013
12/01/2018,68.5,61,0
13/01/2018,67.8,56,0
14/01/2018,68.1,48.8,0
15/01/2018,69.1,45.2,0
16/01/2018,69.3,52.9,0
17/01/2018,69.6,58.1,0
18/01/2018,71,55.2,0
19/01/2018,71.7,60.4,0
20/01/2018,70,62.3,0.148
21/01/2018,69.6,51.6,0.127
22/01/2018,68.7,52.8,0.169
23/01/2018,68.6,52.8,0
24/01/2018,69.8,58,0.021
25/01/2018,69.6,63.9,0.009
26/01/2018,69.2,70.5,0.009
27/01/2018,70.3,63.5,0
28/01/2018,71.4,57.4,0
29/01/2018,71.3,49,0
30/01/2018,71.9,49.4,0
31/01/2018,70.3,55.9,0.019
01/02/2018,69.8,58.8,0.002
02/02/2018,68.8,61.3,0
03/02/2018,69.7,52.3,0
04/02/2018,70.2,55.2,0
05/02/2018,71,57.9,0.444
06/02/2018,70.7,58.2,0.127
07/02/2018,69.5,53.1,0
08/02/2018,68.3,44.7,0
09/02/2018,68.8,43.1,0
10/02/2018,70.4,55.1,0
11/02/2018,69.5,62.7,0
12/02/2018,69.2,61.6,0
13/02/2018,68.9,59.6,0
14/02/2018,70.2,61.7,0.09
15/02/2018,69,63.7,0
16/02/2018,69.7,61.3,0
17/02/2018,70.8,59.3,0
18/02/2018,70.4,60.7,0
19/02/2018,71.6,60.8,0
20/02/2018,71.5,65,0
21/02/2018,74,53.2,0
22/02/2018,73.6,53.8,0
23/02/2018,73.1,52.7,0
24/02/2018,73.4,56.2,0
25/02/2018,74.3,52.6,0
26/02/2018,75.4,48,0
27/02/2018,74.5,49.8,0
28/02/2018,74.3,56.5,0.063
01/03/2018,68.9,74.2,0.23
02/03/2018,65.6,83.9,0.215
03/03/2018,65.8,83.4,1.372
04/03/2018,63.8,89.9,0.473
05/03/2018,65,84.9,0.066
06/03/2018,66.4,82.4,0.207
07/03/2018,68.1,73.3,0.313
08/03/2018,69.6,68.7,0.008
09/03/2018,70.4,69.8,0
10/03/2018,68.6,74.1,0
11/03/2018,68,75.3,0.042
12/03/2018,66.5,83.9,0.847
13/03/2018,65.7,84.9,0.221
14/03/2018,69.1,75.9,0.069
15/03/2018,65.4,88.2,0.301
16/03/2018,65.2,86.7,0.335
17/03/2018,66.3,84.5,0.801
18/03/2018,68,79,0.333
19/03/2018,64.4,89.6,0.187
20/03/2018,65.2,86,0.179
21/03/2018,66.2,83.1,0.108
22/03/2018,66.4,80.4,0.089
23/03/2018,67,73.3,0
24/03/2018,68.7,71.8,0
25/03/2018,67.9,76.8,0.056
26/03/2018,67.3,80.3,1.118
27/03/2018,66.7,81.8,0.11
28/03/2018,66.6,80,0.017
29/03/2018,66.4,81.3,0.035
30/03/2018,66.5,79,0.055
31/03/2018,66.6,75.5,0.011
01/04/2018,66.9,78,0.091
02/04/2018,66.7,81.6,0.806
03/04/2018,65,86.2,0.344
04/04/2018,65.9,80.2,0.134
05/04/2018,66.9,79.6,0
06/04/2018,67.5,78.6,0.185
07/04/2018,68.1,78.7,0.014
08/04/2018,67.3,78.3,0.659
09/04/2018,67.6,79,0.031
10/04/2018,68.7,77,0.036
11/04/2018,67.1,82.6,0.392
12/04/2018,67.5,81.8,0.259
13/04/2018,68,80.5,0.4
14/04/2018,66.3,83.8,1.829
15/04/2018,66.1,82.4,0.536
16/04/2018,67,79.7,1.001
17/04/2018,65.9,84.1,0.561
18/04/2018,66.3,82.8,0.161
19/04/2018,65.8,86.7,0.358
20/04/2018,66.6,83.9,0.247
21/04/2018,66.9,85.2,1.59
22/04/2018,65.9,85.9,1.205
23/04/2018,66.9,84.3,0.094
24/04/2018,65.3,89.3,1.36
25/04/2018,65.2,87.8,0.287
26/04/2018,67,82.6,0.002
27/04/2018,67.2,84.2,0.96
28/04/2018,66.4,85.6,0.831
29/04/2018,66.2,83.1,0.427
30/04/2018,66.6,83.8,0.123
01/05/2018,64.9,87.2,0.17
02/05/2018,64.6,86.3,0.94
03/05/2018,65.6,85.6,0.727
04/05/2018,67.1,83.2,0.839
05/05/2018,66.9,82,0.377
06/05/2018,66.9,80.6,0.106
07/05/2018,64.8,89.6,0.139
08/05/2018,65.9,85.4,1.429
09/05/2018,65.9,84.8,0.254
10/05/2018,65.6,86,0.843
11/05/2018,65.7,86,0.263
12/05/2018,67.8,78.7,0.11
13/05/2018,68.1,80.8,0.127
14/05/2018,67.8,80.3,0.117
15/05/2018,67.3,80.2,0.952
16/05/2018,66.7,82.2,0.438
17/05/2018,66.4,83.3,0.621
18/05/2018,66.3,78.5,0.004
19/05/2018,66,79,0
20/05/2018,64.6,84.9,0.086
21/05/2018,64.9,85.1,0.292
22/05/2018,63.9,88.4,1.839
23/05/2018,64.8,84.3,0.883
24/05/2018,65.6,81,0.127
25/05/2018,65.3,81.9,0.148
26/05/2018,66.8,80.1,0.077
27/05/2018,65.6,79.6,0.043
28/05/2018,65.2,71,0
29/05/2018,64.2,72.6,0
30/05/2018,65.4,72.5,0
31/05/2018,66.2,79.3,0
01/06/2018,66.7,79.7,0.042
02/06/2018,66.9,80.3,0.015
03/06/2018,66.1,81.6,0.054
04/06/2018,65.5,84.6,0.196
05/06/2018,65.5,84.4,0.737
06/06/2018,63.8,81.6,0.1
07/06/2018,61.1,88.7,0.038
08/06/2018,62.9,85.6,0.022
09/06/2018,61.9,84.6,0
10/06/2018,61.9,83.7,0
11/06/2018,62.3,77.9,0
12/06/2018,62,79.4,0
13/06/2018,65.1,79.1,0
14/06/2018,63.1,80.8,0
15/06/2018,63.2,82.4,0
16/06/2018,64,82,0
17/06/2018,61.3,89.3,0.283
18/06/2018,60.5,90.9,0.079
19/06/2018,61.8,86.2,0.022
20/06/2018,64.2,78.5,0.001
21/06/2018,64.3,76.4,0.418
22/06/2018,64.7,76.2,0.042
23/06/2018,65.3,75.3,0
24/06/2018,64,81,0
25/06/2018,60.8,85,0.002
26/06/2018,60.1,86.1,0.123
27/06/2018,61.4,82.9,0.005
28/06/2018,62.9,73.1,0
29/06/2018,63.3,79.2,0.362
30/06/2018,64.7,75.7,0.104
01/07/2018,63.7,76.2,0.059
02/07/2018,62.1,80.6,0.064
03/07/2018,61.9,84.9,0.057
04/07/2018,60.3,87.1,0.283
05/07/2018,62.3,76.4,0.077
06/07/2018,62.4,71.7,0
07/07/2018,61.3,75.8,0
08/07/2018,63.2,72.8,0.014
09/07/2018,63,74.6,0.014
10/07/2018,63.2,77.6,0.089
11/07/2018,62.4,79.6,0.048
12/07/2018,63.1,77.2,0.004
13/07/2018,61.5,80.9,0.093
14/07/2018,61.7,81.9,0.141
15/07/2018,61.3,81.4,0.015
16/07/2018,61.3,72.3,0
17/07/2018,61.3,68.4,0
18/07/2018,60.1,73.2,0
19/07/2018,60.9,73.4,0
