datetime,temp,humidity,precip
01/01/2018,21.2,55.3,0
02/01/2018,20.2,66.7,0.5
03/01/2018,20.3,70.5,1
04/01/2018,18.4,81.9,8
05/01/2018,20.6,65.9,0
06/01/2018,20.9,58.6,0
07/01/2018,20.6,55.9,0
08/01/2018,21,51,0
09/01/2018,21,55.8,0
10/01/2018,20.3,63.8,0.4
11/01/2018,20.3,60.2,0
12/01/2018,20,63.6,0
13/01/2018,19.9,54.2,0
14/01/2018,20.2,48.9,0
15/01/2018,21.2,42.2,0
16/01/2018,20.9,51.6,0
17/01/2018,21,56.1,0
18/01/2018,21.7,54.7,0
19/01/2018,22.3,59,0
20/01/2018,21.2,61.9,0
21/01/2018,21.2,49.2,0
22/01/2018,20.7,51.1,0
23/01/2018,21,51.4,0
24/01/2018,21.1,56,0
25/01/2018,20.9,63.1,2
26/01/2018,20.6,71.4,2
27/01/2018,21.6,61.1,0
28/01/2018,21.9,56.5,0
29/01/2018,21.9,47.2,0
30/01/2018,22.2,47.7,0
31/01/2018,21.5,53.4,0
01/02/2018,21.3,58.2,0
02/02/2018,20.6,61,0
03/02/2018,20.9,50.7,0
04/02/2018,21.3,52.6,0
05/02/2018,21.9,55.8,0
06/02/2018,21.8,56.1,0
07/02/2018,21,52.3,0
08/02/2018,20.3,42.8,0
09/02/2018,20.6,42.3,0
10/02/2018,21.4,53.3,0
11/02/2018,20.8,61.2,0
12/02/2018,20.8,60.1,0
13/02/2018,20.6,58.6,0
14/02/2018,21.3,59.8,0
15/02/2018,20.6,63,0
16/02/2018,20.9,61.1,0
17/02/2018,21.7,57.2,0
18/02/2018,21.6,59.3,0
19/02/2018,22.3,61,0
20/02/2018,22,66,0.2
21/02/2018,23.5,52.4,0
22/02/2018,23.2,52.8,0
23/02/2018,23,52,0
24/02/2018,23.2,53.2,0
25/02/2018,23.9,50.3,0
26/02/2018,24.5,46.3,0
27/02/2018,23.8,48.4,0
28/02/2018,23.8,53.9,0
01/03/2018,20.3,73.6,4
02/03/2018,18.3,84.3,4
03/03/2018,19,82.5,15
04/03/2018,17.8,89.7,12
05/03/2018,18.1,86.7,4
06/03/2018,19.2,83.9,31
07/03/2018,20.3,71.8,18
08/03/2018,21.2,67.1,0
09/03/2018,21.5,68.8,0
10/03/2018,19.8,78.5,0
11/03/2018,19.6,77.9,0.4
12/03/2018,18.9,83.8,1
13/03/2018,18.8,83.3,33
14/03/2018,20.6,75.3,0.4
15/03/2018,18,89.9,46.6
16/03/2018,18.3,86.6,1.2
17/03/2018,18.8,86.1,7
18/03/2018,20,79.4,13
19/03/2018,17.9,91.6,11
20/03/2018,18.7,84.7,0.4
21/03/2018,19.1,80.7,0.3
22/03/2018,19.5,78.2,1
23/03/2018,20,70.3,0
24/03/2018,20.7,69.6,0
25/03/2018,20.2,75.2,0
26/03/2018,20,78.4,6
27/03/2018,19.4,81.3,1
28/03/2018,19.5,76.9,0.8
29/03/2018,19.3,80.3,0
30/03/2018,19.7,76.2,0
31/03/2018,19.8,71.7,2
01/04/2018,19.9,76.2,0.7
02/04/2018,19.6,79.5,1
