datetime,temp,humidity,precip
01/01/2018,20,52.1,0
02/01/2018,18.7,65.8,0.7
03/01/2018,18.1,73.2,2.3
04/01/2018,17.7,69.6,0.1
05/01/2018,18.3,63.4,0
06/01/2018,18.5,59.5,0
07/01/2018,18.1,61.2,0
08/01/2018,18.9,55.5,0
09/01/2018,19,56.2,0
10/01/2018,18.7,61.3,0
11/01/2018,17.6,67,1.8
12/01/2018,18.3,60.9,0
13/01/2018,18.7,59.6,1
14/01/2018,19.2,54.3,0.7
15/01/2018,20,43.9,0
16/01/2018,19.8,41.9,0
17/01/2018,20.2,47.4,0
18/01/2018,20.5,50,0
19/01/2018,20.5,52.6,0
20/01/2018,20.4,53,0.3
21/01/2018,19.8,49.2,0
22/01/2018,19.5,45.2,0
23/01/2018,19.5,47.6,0
24/01/2018,19.7,52.9,0
25/01/2018,19.9,57.6,4
26/01/2018,18.3,69.1,8
27/01/2018,20,59.8,0.2
28/01/2018,20.3,54.5,0
29/01/2018,20.4,47.6,0
30/01/2018,21.2,43.1,0
31/01/2018,20.1,53.5,0
01/02/2018,20,59.7,0
02/02/2018,19.9,59.3,0
03/02/2018,19.9,53.9,0
04/02/2018,20.3,48,0
05/02/2018,20.5,58,0.7
06/02/2018,20.6,58.2,2.6
07/02/2018,20.2,50.6,0
08/02/2018,19.8,35.9,0
09/02/2018,19.7,38.2,0
10/02/2018,19.7,45.3,0
11/02/2018,19.4,59.8,0
12/02/2018,19.3,58.7,0
13/02/2018,19.1,53.4,0.8
14/02/2018,19,65.1,0
15/02/2018,19.6,61.3,0
16/02/2018,19.6,59.8,0
17/02/2018,19.3,60,0
18/02/2018,19.9,59.1,0
19/02/2018,20.9,56.6,0
20/02/2018,19,66.5,8.6
21/02/2018,20.8,56.6,0
22/02/2018,20.8,56.2,0.5
23/02/2018,20.7,53.9,0.3
24/02/2018,20.6,48.6,0.2
25/02/2018,21.8,51.9,0
26/02/2018,22.5,46.3,0
27/02/2018,21.4,47.4,0
28/02/2018,20.6,59.4,2
01/03/2018,18.6,72.7,3.6
02/03/2018,17.5,75.9,0.7
03/03/2018,18.1,74.9,17.4
04/03/2018,16.4,83.5,9.9
05/03/2018,17.5,77.1,4.3
06/03/2018,17,78.5,4
07/03/2018,17.9,74.4,2
08/03/2018,19.9,66.1,0.2
09/03/2018,19.9,65.7,0.4
10/03/2018,19.7,65.8,1.5
11/03/2018,18.9,70.1,0.5
12/03/2018,18.8,73,3
13/03/2018,17.4,83.5,23
14/03/2018,18.3,79.8,92
15/03/2018,17.5,84.3,8.8
16/03/2018,16.7,85.2,50
17/03/2018,17.6,83.8,1
18/03/2018,17.7,83.8,0.7
19/03/2018,17.8,83.6,20
20/03/2018,17.3,83.5,2
21/03/2018,17.3,80.2,0.2
22/03/2018,17.4,77.9,4
23/03/2018,17.7,74.3,3
24/03/2018,17.7,78,2
25/03/2018,17.4,83.2,8
26/03/2018,17.7,83.1,2
27/03/2018,18.1,79.4,1.5
28/03/2018,17.8,78.9,0.9
29/03/2018,17.9,77,0.8
30/03/2018,17.7,75.6,0.9
31/03/2018,18,76.7,2
01/04/2018,17.2,83.1,30
02/04/2018,17,83.1,35
03/04/2018,17,83.5,5
04/04/2018,17,83.8,8
05/04/2018,17.1,82.4,1.2
06/04/2018,17.2,82.6,11
07/04/2018,17.6,80.8,2
08/04/2018,17.3,80.9,1
09/04/2018,17.3,81.5,3
10/04/2018,17.8,81.7,2
11/04/2018,17.3,86.8,8
12/04/2018,17.8,84.9,3.7
13/04/2018,17,87.6,2
14/04/2018,17.1,87.4,2.5
15/04/2018,16.2,87.7,0.6
16/04/2018,16.4,87.3,46
17/04/2018,16.6,83.1,0.3
18/04/2018,17.2,79.4,8.5
19/04/2018,16.9,85.5,25
20/04/2018,16.8,88.3,5
21/04/2018,17,87.3,2
22/04/2018,16.1,90.8,20
23/04/2018,17.2,86.9,29
24/04/2018,16.3,91.5,18.6
25/04/2018,16.7,89.8,0.1
26/04/2018,17.5,85.9,15
27/04/2018,17,88.4,6
28/04/2018,16.8,88.2,7
29/04/2018,16.8,84.7,1.3
30/04/2018,16.8,83.1,1.5
01/05/2018,16.7,84.3,1.3
02/05/2018,15.3,87,31
03/05/2018,15.6,87.7,16
04/05/2018,16.9,85.4,2.4
05/05/2018,16.9,86.3,0.1
06/05/2018,17.1,84.5,3.1
07/05/2018,16.7,86.7,8
08/05/2018,16.4,87.2,0.2
09/05/2018,16.3,88.8,7
10/05/2018,16.3,88.2,1
11/05/2018,16.4,87.8,0.9
12/05/2018,16.7,85,2.5
13/05/2018,17.7,83.1,3
14/05/2018,17.4,85.6,20
15/05/2018,16.9,83.2,3
16/05/2018,16.8,86,5
17/05/2018,16.1,88.4,7.6
18/05/2018,16.5,86.7,38
19/05/2018,16.3,87.2,4
20/05/2018,15.9,87.5,9
21/05/2018,15.9,87.6,0.4
22/05/2018,15.9,89.2,9
23/05/2018,16.3,86.3,0.2
24/05/2018,15.8,88.8,2.4
25/05/2018,15.7,88.3,31
26/05/2018,15.7,87,22
27/05/2018,16.3,84.9,2.1
28/05/2018,15.9,83.5,0.9
29/05/2018,15.3,78.6,0
30/05/2018,15.7,80.3,0.6
31/05/2018,16.7,84.6,10
01/06/2018,16.8,85.5,1.1
02/06/2018,17,87.6,2.5
03/06/2018,16.8,87.6,3.3
04/06/2018,16.4,90.3,10
05/06/2018,14.9,91,1.3
06/06/2018,14.6,89.3,0.6
07/06/2018,15.1,88.8,23
08/06/2018,14.7,91.2,32
09/06/2018,16.3,87.4,9
10/06/2018,16.3,86.5,0.7
11/06/2018,15.9,79.7,0
12/06/2018,15.5,80.2,0
13/06/2018,16.2,81.4,0
14/06/2018,15.9,85.6,3
15/06/2018,16.4,85,1
16/06/2018,16,88.7,25
17/06/2018,15.9,85.8,7
18/06/2018,15.4,89.5,7
19/06/2018,15.6,87.1,20
20/06/2018,15.6,85.5,0.5
21/06/2018,15.1,84.1,0.1
22/06/2018,14.9,85.5,0
23/06/2018,15,87.5,1.1
24/06/2018,14.8,89.6,3
25/06/2018,14.9,88,2
26/06/2018,15,84.1,1
