datetime,temp,humidity,precip
01/01/2018,16.8,74.4,0
02/01/2018,18.8,70.6,0.3
03/01/2018,18.9,69.4,0.9
04/01/2018,18.1,69.7,0
05/01/2018,18.2,69.9,0
06/01/2018,17.8,69.3,5
07/01/2018,18.3,67.8,0
08/01/2018,18.9,61.3,0
09/01/2018,19.3,53.7,0
10/01/2018,18.7,59.4,1
11/01/2018,18.6,60.5,0
12/01/2018,19.3,62.4,0
13/01/2018,18.8,64.7,0
14/01/2018,19,56.5,0
15/01/2018,19.4,50.3,0
16/01/2018,19,60.7,0
17/01/2018,19.1,51.6,0
18/01/2018,18.9,59.3,0
19/01/2018,18.6,61.9,0
20/01/2018,19.9,64.1,0.2
21/01/2018,20,58.7,0
22/01/2018,19.5,43.9,0
23/01/2018,18.2,46.2,0
24/01/2018,18.6,54.2,0
25/01/2018,18,71,0.2
26/01/2018,17.3,75,0.5
27/01/2018,19.5,58.9,0
28/01/2018,19.6,53.3,0
29/01/2018,18.7,47.4,0
30/01/2018,19.5,53.8,0
31/01/2018,20.2,52.6,0
01/02/2018,20.8,49,0
02/02/2018,20.5,49.4,0
03/02/2018,20.5,41.3,0
04/02/2018,19.8,39.8,0
05/02/2018,21,50.3,0
06/02/2018,20.1,56.7,1
07/02/2018,20.5,49.2,0
08/02/2018,21.4,36.9,0
09/02/2018,18.9,32.6,0
10/02/2018,21.4,32.8,0
11/02/2018,20.4,45.1,0
12/02/2018,20.7,48.5,0
13/02/2018,21.5,45.4,0
14/02/2018,21.7,46.3,0
15/02/2018,21,45.8,0
16/02/2018,21.3,45.3,0
17/02/2018,21.4,46.4,0
18/02/2018,20.6,52.2,1
19/02/2018,19.6,59,0
20/02/2018,20.5,61.2,0
21/02/2018,19.2,71.6,19
22/02/2018,19.6,62.9,0
23/02/2018,20.6,49.7,0.2
24/02/2018,20.8,54.5,0.5
25/02/2018,20.3,63.2,0
26/02/2018,20.5,61,0
27/02/2018,19.7,65.5,7
28/02/2018,17.4,79.9,10
01/03/2018,16.8,80.4,34
02/03/2018,16.4,82.2,8.3
03/03/2018,17.8,79.2,2
04/03/2018,16.9,85.3,6
05/03/2018,18.1,75,18
06/03/2018,17.4,76.8,0.1
07/03/2018,18.6,72.4,0.8
08/03/2018,19.5,68.6,0
09/03/2018,19,69,0.3
10/03/2018,17.7,72.8,0
11/03/2018,16.9,77.2,0
12/03/2018,16.3,84.6,14.8
13/03/2018,16.9,86.3,20
14/03/2018,19,76.5,2
15/03/2018,17.7,84.9,34
16/03/2018,16.8,86.6,6
17/03/2018,17.7,80.9,5
18/03/2018,18.8,79.5,2
19/03/2018,17.7,82.8,5
20/03/2018,18.4,75.9,12
21/03/2018,18.7,69.3,0
22/03/2018,18.2,67.9,0
23/03/2018,18.9,62.7,0
24/03/2018,19.3,64.6,0.2
25/03/2018,19.5,70.3,0.4
26/03/2018,18.9,73.4,3.2
27/03/2018,19.3,67,0
28/03/2018,19.7,61.2,0
29/03/2018,19.5,65.8,0
30/03/2018,18.8,66.6,0.8
31/03/2018,19.5,64.5,1.4
01/04/2018,17.5,74.8,1
02/04/2018,18.6,74,3
03/04/2018,19.3,70.4,4.9
04/04/2018,19,76.8,2.4
05/04/2018,17.6,81.8,1.4
06/04/2018,18.2,77.5,2
07/04/2018,17.6,82.7,28
08/04/2018,17.7,85.2,13
09/04/2018,18.3,76.5,26
10/04/2018,18.5,78.2,0.8
11/04/2018,17.8,80.8,1
12/04/2018,17.6,87.1,15
13/04/2018,18.2,83.4,46
14/04/2018,16.7,89.1,33
15/04/2018,17.3,81.7,0.8
16/04/2018,16.7,84.6,2
17/04/2018,16.9,84.2,0.3
18/04/2018,17.7,77.6,0.3
19/04/2018,17.1,82.7,36
20/04/2018,18,75.9,0
21/04/2018,18.7,79.7,0.3
22/04/2018,17.9,86,17
23/04/2018,17.4,83.3,11
24/04/2018,17.6,85,5
25/04/2018,19,80,0.3
26/04/2018,18.5,78.9,5
27/04/2018,17.7,84.7,1
28/04/2018,18.6,80.1,62
29/04/2018,18.6,83.1,18
30/04/2018,18,86.3,26
01/05/2018,17.8,88.4,13
02/05/2018,17.4,82.5,29
03/05/2018,19.1,76.6,0.4
04/05/2018,18.4,74.9,14
05/05/2018,18.9,72.2,0
06/05/2018,17.4,83.1,16.3
07/05/2018,17.4,84.2,36
08/05/2018,18.5,77.8,33
09/05/2018,18.8,76.3,6
10/05/2018,19.2,71.6,2.8
11/05/2018,19.3,71.1,5
12/05/2018,19.3,67.8,0
13/05/2018,19.6,68.4,0
14/05/2018,19.8,67.5,5.5
15/05/2018,19.1,73.8,3
16/05/2018,16.9,83.8,12
17/05/2018,17.4,81.1,17
18/05/2018,18.2,81,0.2
19/05/2018,17.6,87.6,4
20/05/2018,17.6,83,6
21/05/2018,17.3,83.3,8
22/05/2018,17.4,88.4,8
23/05/2018,17.5,82.6,2
24/05/2018,17.8,80.7,3
25/05/2018,17.2,80.7,10
26/05/2018,18.5,75.9,0
27/05/2018,18.8,76.3,0.5
28/05/2018,19.1,79.1,3
29/05/2018,19.2,78.1,4
30/05/2018,18.7,79.3,2
31/05/2018,17.9,81.9,15.5
01/06/2018,17.2,82,5.1
02/06/2018,17.9,81.4,1
03/06/2018,18.2,79.2,4
04/06/2018,18.1,84.7,3
05/06/2018,16.5,90.9,15
06/06/2018,17.5,84.2,10
07/06/2018,18,83.1,43
08/06/2018,17.2,85,1
09/06/2018,16.5,84.7,9
10/06/2018,17.5,81.2,0
11/06/2018,18.1,78.8,1
12/06/2018,17.1,72.1,1
13/06/2018,17.3,74.1,0
14/06/2018,17.7,79.6,3
15/06/2018,17.8,79.1,9
16/06/2018,18.3,76.3,0
17/06/2018,17.8,78.2,10
18/06/2018,18.1,77.6,0.1
19/06/2018,17.4,81.4,0
20/06/2018,17.2,80.4,11
21/06/2018,16.3,82.3,2.7
22/06/2018,15.8,76.1,0
23/06/2018,17.3,78.6,0.5
24/06/2018,17.7,79.1,4
25/06/2018,17.1,80.5,8
26/06/2018,15.7,81.1,33
27/06/2018,15.2,84.4,45
28/06/2018,15.6,79.9,19
29/06/2018,16.1,79.8,3
30/06/2018,16.5,81.9,0.5
01/07/2018,16,80.6,0
02/07/2018,16.4,81.7,16
03/07/2018,17.2,76.1,12
04/07/2018,16.8,79.1,2
05/07/2018,17.1,78.4,6
06/07/2018,16.5,76.3,25
07/07/2018,15.6,77.7,11
08/07/2018,15.4,82.9,19
09/07/2018,17,79,0
10/07/2018,17.2,80.8,25
11/07/2018,16.5,83.5,5.5
12/07/2018,16.3,79.7,9
13/07/2018,17.4,77.4,13
14/07/2018,17.7,80.5,26
15/07/2018,16.4,81.7,11
16/07/2018,16.5,73.5,10
17/07/2018,17.2,71.1,0
18/07/2018,17.8,71.5,0
19/07/2018,17.8,72.9,0.2
20/07/2018,18.4,73.8,3
21/07/2018,18.3,72.6,0.1
22/07/2018,18.3,70.6,0.1
23/07/2018,18.3,69.3,0.1
24/07/2018,18,71.9,0
25/07/2018,18.1,73.7,0
26/07/2018,17.8,74.5,0
27/07/2018,17.5,74.1,0
28/07/2018,18,70.3,0.1
29/07/2018,16,74.9,0
30/07/2018,17.1,76.2,0
31/07/2018,17.8,74.6,1
01/08/2018,18,73.4,0
02/08/2018,17.4,71.2,0
03/08/2018,18.1,69.2,0
04/08/2018,18.3,68.2,0
05/08/2018,16.8,68.4,0
06/08/2018,17.8,67.3,0
07/08/2018,17.3,71.4,0.5
08/08/2018,15.7,74.9,3
09/08/2018,17.3,70.9,0
10/08/2018,16.8,75,3.4
11/08/2018,17.3,73.7,19
12/08/2018,17.6,69,0.4
13/08/2018,17.4,72.1,0
14/08/2018,15.9,73.2,2
15/08/2018,17.4,71,0.3
16/08/2018,18.1,70.7,0.3
17/08/2018,17.8,72.9,5
18/08/2018,18.4,70.3,5
19/08/2018,17.2,80.5,0.5
20/08/2018,17.2,80.4,19
21/08/2018,17.8,81,2
22/08/2018,18.3,78.6,0.5
23/08/2018,17.1,79.9,17
24/08/2018,15.6,88.4,6
25/08/2018,17.2,81.5,17
26/08/2018,17,79.6,0.1
27/08/2018,16.5,85.9,7
28/08/2018,17,78.8,0.3
29/08/2018,16.9,80.5,8
30/08/2018,16.8,80.9,8
31/08/2018,17.2,78.4,4
01/09/2018,17.5,77.2,6
02/09/2018,17.1,78.8,0.7
03/09/2018,17,79.9,8
04/09/2018,17.9,76.2,3
05/09/2018,18,70.3,0
06/09/2018,18,65.7,0
07/09/2018,18.6,63.1,0
08/09/2018,17.3,66.3,1
09/09/2018,17.6,68.3,1
10/09/2018,18.4,67.3,0
11/09/2018,19,60.7,0
12/09/2018,18,60.8,0
13/09/2018,17.6,67.1,0
14/09/2018,17.5,63.2,0
15/09/2018,19.1,61.1,0
16/09/2018,19.3,56.9,0
17/09/2018,18.1,64.2,0
18/09/2018,19.3,58.8,0
19/09/2018,19.4,64.6,0
20/09/2018,19.5,63.4,0.3
21/09/2018,18.9,58.9,0
22/09/2018,19.1,66,3
23/09/2018,20.1,68,0.2
24/09/2018,19.1,56.6,0
25/09/2018,19.6,56.2,0
26/09/2018,19.6,59.4,0
27/09/2018,18.9,63.9,2
28/09/2018,19.1,56.6,2
29/09/2018,19.4,60.3,0
30/09/2018,19.2,66.4,0
01/10/2018,20.1,53.8,0
02/10/2018,19.4,54.5,0
03/10/2018,19.7,59.3,0
04/10/2018,18.5,65.8,0
05/10/2018,19.4,57.6,0
06/10/2018,20.6,56,0.3
07/10/2018,19.6,67.4,0.2
08/10/2018,18,76,3
09/10/2018,17.2,75.4,0.4
10/10/2018,18.3,72.8,0
11/10/2018,19.5,69.6,0
12/10/2018,17.9,72,0
13/10/2018,19.2,66.7,0.2
14/10/2018,18.4,77.6,6
15/10/2018,17.7,78.8,6
16/10/2018,17.8,77.4,28
17/10/2018,18.8,75.9,0.7
18/10/2018,18.7,74.5,1.1
19/10/2018,17.8,80.6,7
