datetime,temp,humidity,precip
01/01/2018,19.9,52.6,0
02/01/2018,18.6,66.1,0.7
03/01/2018,18.1,73.7,0.3
04/01/2018,17.6,70.1,0.228
05/01/2018,18.2,63.6,0
06/01/2018,18.4,60,0
07/01/2018,18.1,61.4,0
08/01/2018,18.8,55.7,0
09/01/2018,19,56.5,0
10/01/2018,18.6,61.9,0
11/01/2018,17.5,67.2,0.098
12/01/2018,18.2,61.2,0
13/01/2018,18.7,60,1
14/01/2018,19.1,54.7,0.7
15/01/2018,19.8,44.6,0
16/01/2018,19.7,42.5,0
17/01/2018,20.2,47.9,0
18/01/2018,20.4,50.6,0
19/01/2018,20.5,53,0
20/01/2018,20.3,53.5,1.389
21/01/2018,19.7,49.8,0.975
22/01/2018,19.5,45.8,1.3
23/01/2018,19.4,48.2,0
24/01/2018,19.6,53.5,0.163
25/01/2018,19.9,58,3.35
26/01/2018,18.3,69,6.7
27/01/2018,19.9,60,0.2
28/01/2018,20.3,54.9,0
29/01/2018,20.4,48,0
30/01/2018,21.2,43.6,0
31/01/2018,20,54.1,0.146
01/02/2018,19.9,60.1,0.016
02/02/2018,19.8,59.9,0
03/02/2018,19.8,54.4,0
04/02/2018,20.3,48.5,0
05/02/2018,20.5,58.6,3.413
06/02/2018,20.5,58.9,0.975
07/02/2018,20.1,51.2,0
08/02/2018,19.7,36.5,0
09/02/2018,19.6,38.6,0
10/02/2018,19.6,45.8,0
11/02/2018,19.3,60.4,0
12/02/2018,19.2,59,0
13/02/2018,19,53.6,0.67
14/02/2018,19,65.3,0.488
15/02/2018,19.5,61.6,0
16/02/2018,19.6,60.2,0
17/02/2018,19.2,60.4,0
18/02/2018,19.8,59.6,0
19/02/2018,20.8,57,0
20/02/2018,19.1,66.7,8.6
21/02/2018,20.8,56.8,0
22/02/2018,20.8,56.5,0.5
23/02/2018,20.7,54.4,0.3
24/02/2018,20.6,49.1,0.2
25/02/2018,21.8,52.5,0
26/02/2018,22.4,46.7,0
27/02/2018,21.3,47.6,0
28/02/2018,20.6,59.8,2.163
01/03/2018,18.6,72.7,1.625
02/03/2018,17.5,76.4,1.886
03/03/2018,17.9,75.7,3.901
04/03/2018,16.4,83.5,9.51
05/03/2018,17.5,77.2,3.764
06/03/2018,17,78.8,3.35
07/03/2018,17.8,74.9,3.463
08/03/2018,19.8,66.6,0.065
09/03/2018,19.8,66.5,0.4
10/03/2018,19.6,66.5,1.5
11/03/2018,18.7,70.9,0.325
12/03/2018,18.7,74,5.926
13/03/2018,17.4,83.8,19.782
14/03/2018,18.2,80.1,77.535
15/03/2018,17.6,84.4,7.484
16/03/2018,16.7,85.3,43.662
17/03/2018,17.6,83.8,0.837
18/03/2018,17.7,84,2.699
19/03/2018,17.8,83.8,16.749
20/03/2018,17.3,84.1,1.675
21/03/2018,17.3,81,0.362
22/03/2018,17.3,78.6,4
23/03/2018,17.6,74.8,2.512
24/03/2018,17.7,78.1,1.675
25/03/2018,17.5,83.5,6.814
26/03/2018,17.6,83.4,4.991
27/03/2018,18,80.1,0.813
28/03/2018,17.6,79.8,0.884
29/03/2018,17.8,78.1,0.065
30/03/2018,17.6,76.4,0.9
31/03/2018,17.9,77.4,1.691
01/04/2018,17.1,83.4,25.774
02/04/2018,17,83.4,29.475
03/04/2018,17,83.6,4.512
04/04/2018,17,83.6,6.7
05/04/2018,17.1,82.3,1.004
06/04/2018,17.2,82.3,9.781
07/04/2018,17.6,81,1.675
08/04/2018,17.4,80.9,1.325
09/04/2018,17.3,81.7,2.512
10/04/2018,17.8,81.8,1.675
11/04/2018,17.3,86.7,6.765
12/04/2018,17.8,84.9,3.163
13/04/2018,17,87.7,2
14/04/2018,17.1,87.4,6.176
15/04/2018,16.2,87.8,3.103
16/04/2018,16.4,87.4,44.7
17/04/2018,16.6,83.6,2.689
18/04/2018,17.2,80,1.138
19/04/2018,16.9,85.7,23.05
20/04/2018,16.8,88.3,5.877
21/04/2018,17,87.7,6.876
22/04/2018,16.1,90.8,18.212
23/04/2018,17.2,86.9,24.872
24/04/2018,16.4,91.3,19.705
25/04/2018,16.7,89.6,0.117
26/04/2018,17.6,86,12.562
27/04/2018,17,88.5,5.546
28/04/2018,16.8,88.2,8.657
29/04/2018,16.7,85.1,2.276
30/04/2018,16.8,83.8,0.325
01/05/2018,16.7,84.9,1.414
02/05/2018,15.3,87.2,32.008
03/05/2018,15.6,87.6,16.488
04/05/2018,16.9,85.6,0.081
05/05/2018,16.9,86.5,2.035
06/05/2018,17,85,0.813
07/05/2018,16.7,87.2,7.351
08/05/2018,16.4,87.4,6.669
09/05/2018,16.4,88.6,7.812
10/05/2018,16.4,88.1,7.176
11/05/2018,16.4,88.1,2.558
12/05/2018,16.9,84.4,2.4
13/05/2018,17.7,83.5,2.529
14/05/2018,17.4,86,0.163
15/05/2018,16.9,83.6,7.389
16/05/2018,16.8,86.3,4.382
17/05/2018,16.2,88.5,8.771
18/05/2018,16.5,86.8,31.857
19/05/2018,16.3,87.2,3.35
20/05/2018,15.9,87.9,7.602
21/05/2018,15.9,89.6,2.286
22/05/2018,15.9,89.7,18.752
23/05/2018,16.2,86.9,2.947
24/05/2018,15.9,88.8,6
25/05/2018,15.8,88.4,27.1
26/05/2018,15.9,86.9,21.424
27/05/2018,16.3,85.3,0.016
28/05/2018,15.9,83.8,0.9
29/05/2018,15.3,79.1,0
30/05/2018,15.7,80.5,0.502
31/05/2018,16.8,84,8.375
01/06/2018,16.8,86,0.325
02/06/2018,17,87.8,0.049
03/06/2018,16.7,88.1,0.374
04/06/2018,16.3,90.7,9.35
05/06/2018,14.9,91,5.169
06/06/2018,14.6,89.5,0.682
07/06/2018,14.9,89.2,19.278
