datetime,temp,humidity,precip
01/01/2018,69.2,54.5,0
02/01/2018,68.1,61.2,0.012
03/01/2018,66.8,71.8,0.012
04/01/2018,65,74.6,0.054
05/01/2018,66.5,62.3,0
06/01/2018,66,62.9,0
07/01/2018,66.6,60.4,0
08/01/2018,68.2,54.1,0
09/01/2018,69,53.7,0
10/01/2018,67.3,60.8,0
11/01/2018,66.2,60.6,0.023
12/01/2018,66,59.4,0
13/01/2018,65.4,56.3,0
14/01/2018,67.3,48.8,0
15/01/2018,67.9,44,0
16/01/2018,67.5,47,0
17/01/2018,68.4,54.8,0
18/01/2018,69.7,53.2,0
19/01/2018,69.9,59.6,0
20/01/2018,68.5,61.4,0.27
21/01/2018,67.1,56.1,0.231
22/01/2018,67,53.7,0.308
23/01/2018,66.8,55.6,0
24/01/2018,67.8,58.6,0.039
25/01/2018,69,60.1,0.004
26/01/2018,69.5,61.9,0.012
27/01/2018,69.8,59.8,0
28/01/2018,69.6,57.1,0
29/01/2018,69.5,50.2,0
30/01/2018,69.9,48.4,0
31/01/2018,67.8,59.8,0.035
01/02/2018,68.9,62.8,0.004
02/02/2018,68.3,64.7,0
03/02/2018,68.7,57.7,0
04/02/2018,68.3,55.7,0
05/02/2018,68.8,64.8,0.809
06/02/2018,68.2,64.7,0.231
07/02/2018,67.7,53.1,0
08/02/2018,66.1,42.8,0
09/02/2018,66.4,45,0
10/02/2018,66.9,53.8,0
11/02/2018,67.4,67.1,0.02
12/02/2018,67.6,61.7,0
13/02/2018,67.5,55.6,0
14/02/2018,68,66.8,0.118
15/02/2018,68.4,64.7,0
16/02/2018,68.6,62.7,0
17/02/2018,67.7,64,0
18/02/2018,68.7,62.2,0
19/02/2018,69.8,61,0
20/02/2018,69.7,64.1,0.064
21/02/2018,71.6,56.2,0
22/02/2018,71.3,57.6,0.004
23/02/2018,70.3,57.7,0.012
24/02/2018,69.7,56.2,0.008
25/02/2018,72.1,56.3,0
26/02/2018,72.7,50,0
27/02/2018,71.4,50,0
28/02/2018,71.1,58.6,0.116
01/03/2018,68.2,70.3,0.385
02/03/2018,64.8,81.5,0.31
03/03/2018,64.8,82.1,0.973
04/03/2018,63.6,83.2,0.305
05/03/2018,65.1,78.9,0.04
06/03/2018,64.8,79.5,0.004
07/03/2018,64.9,77.9,0.424
08/03/2018,67.8,73,0.015
09/03/2018,68.4,71.3,0
10/03/2018,68.5,69.4,0.004
11/03/2018,66.7,75.7,0.077
12/03/2018,65.8,80.7,0.833
13/03/2018,65,84.9,0.124
14/03/2018,66.3,80.5,0.116
15/03/2018,65.3,87.5,0.032
16/03/2018,63.7,85.3,0.43
17/03/2018,65.1,83.8,0.046
18/03/2018,65.4,83.9,0.501
19/03/2018,64.7,86.2,0.008
20/03/2018,64.4,87.4,0.011
21/03/2018,64.1,87.6,0.052
22/03/2018,63.7,83.6,0.154
23/03/2018,64.2,78.6,0
24/03/2018,65.5,80,0
25/03/2018,65.4,84.8,0.03
26/03/2018,65.1,86.1,0.826
27/03/2018,64.9,86.2,0.193
28/03/2018,64.1,86.1,0.031
29/03/2018,64.4,85.6,0.017
30/03/2018,63.5,83.9,0.003
31/03/2018,64,82.9,0.004
01/04/2018,64.3,83.3,0.154
02/04/2018,64.6,83.8,0.086
03/04/2018,64.4,83.4,0.094
04/04/2018,64.6,82.7,0.008
05/04/2018,65,80.8,0.02
06/04/2018,65.3,82,0.141
07/04/2018,65.9,82,0.001
08/04/2018,64.9,82.2,0.151
09/04/2018,64.9,82.8,0.002
10/04/2018,65.9,81.1,0.002
11/04/2018,65.6,84.8,0.037
12/04/2018,65.5,85.2,0.028
13/04/2018,64.2,86.8,0.099
14/04/2018,64.4,86.9,1.523
15/04/2018,62.9,87.6,0.619
16/04/2018,63.5,87.2,1.476
17/04/2018,63.6,86.8,0.588
18/04/2018,64.9,84.3,0.27
19/04/2018,64.5,88,0.506
20/04/2018,64.1,87.6,0.402
21/04/2018,63.6,90.4,1.281
22/04/2018,62.8,90.9,0.4
23/04/2018,65.1,86.7,0.139
24/04/2018,63.4,90.6,1.014
25/04/2018,63.8,88.6,0.021
26/04/2018,65.2,87.7,0.148
27/04/2018,64.3,88.3,0.177
28/04/2018,63.6,88.5,0.691
29/04/2018,63.1,87.4,0.549
30/04/2018,63,87.9,0.082
01/05/2018,63,88.4,0.085
02/05/2018,60.4,88.2,1.439
03/05/2018,63.1,85.9,0.739
04/05/2018,64.3,85.3,0.068
05/05/2018,64.2,87.1,0.47
06/05/2018,63.9,86.8,0.193
07/05/2018,63.4,90.1,0.157
08/05/2018,63.2,88.4,1.582
09/05/2018,63.4,87.4,0.462
10/05/2018,63.5,87.8,1.503
11/05/2018,62.7,90.5,0.429
12/05/2018,65,84.7,0.007
13/05/2018,65.7,85.7,0.012
14/05/2018,64.8,87.1,0.044
15/05/2018,63.9,83.7,1.175
16/05/2018,64,86.7,0.071
17/05/2018,63.5,86.9,0.204
18/05/2018,63.9,84.9,0.008
19/05/2018,63.6,85.8,0.248
20/05/2018,63.1,86.6,0.019
21/05/2018,62.7,90.3,0.465
22/05/2018,61.4,91.4,2.679
23/05/2018,61.9,88.9,0.689
24/05/2018,63,87.2,0.231
25/05/2018,63,86.2,0.27
26/05/2018,62.7,85.6,0.117
27/05/2018,62.7,86.7,0.006
28/05/2018,62.6,83.2,0
29/05/2018,61.1,80.2,0
30/05/2018,62.3,81.6,0
31/05/2018,64.1,84.7,0.028
01/06/2018,64.6,85.3,0.077
02/06/2018,64.2,87.2,0.012
03/06/2018,63.1,89.9,0.089
04/06/2018,62,92.4,0.235
05/06/2018,61,89.5,0.979
06/06/2018,60.5,88.9,0.043
07/06/2018,59.8,89.4,0.006
08/06/2018,60.7,88,0.031
09/06/2018,61.4,86.6,0
10/06/2018,61.2,85.8,0
11/06/2018,60.8,80.8,0
12/06/2018,60.8,84.5,0
13/06/2018,62.1,85.7,0.004
14/06/2018,61.8,86.6,0
15/06/2018,62.5,87.1,0
16/06/2018,62.4,87.3,0.028
17/06/2018,60.5,88.1,0.501
18/06/2018,60.2,89.9,0.013
19/06/2018,60.1,88.8,0.009
20/06/2018,61.1,84.2,0
21/06/2018,61.1,84.1,0.398
22/06/2018,61.8,83,0.077
23/06/2018,61.5,85.1,0
24/06/2018,61.1,87.5,0.032
25/06/2018,59,87.6,0.004
26/06/2018,59.7,87.4,0.126
27/06/2018,61.2,83.8,0.008
28/06/2018,60.9,80.4,0
29/06/2018,60.9,87.7,0.031
30/06/2018,61.4,85.6,0.088
01/07/2018,61.4,85.3,0.079
02/07/2018,59.9,89.2,0.056
03/07/2018,59.8,89.2,0.003
04/07/2018,59.5,88,0.134
05/07/2018,60,83.1,0.011
06/07/2018,59.5,79.3,0
07/07/2018,59.1,82,0
08/07/2018,59.9,82.1,0.001
09/07/2018,60.3,84.3,0.001
10/07/2018,60.6,86.1,0.042
11/07/2018,59.7,87.1,0.033
12/07/2018,60.5,85.8,0.008
13/07/2018,60.1,87.8,0.024
14/07/2018,59.5,88.6,0.087
15/07/2018,59.7,85.2,0.012
16/07/2018,59.5,80.5,0
17/07/2018,59.9,78,0
18/07/2018,59.1,79.8,0
19/07/2018,59.7,80.8,0
20/07/2018,59.2,84.6,0.015
21/07/2018,58.8,85.7,0.004
22/07/2018,59.1,85.1,0.031
23/07/2018,58.2,84.7,0.004
24/07/2018,58.6,83,0
25/07/2018,58.5,85,0.004
26/07/2018,59.2,83.8,0
27/07/2018,60.3,81,0
28/07/2018,62.1,74.8,0
29/07/2018,61.8,82.5,0.023
30/07/2018,61.5,86.2,0.507
31/07/2018,61.9,85.9,0.016
01/08/2018,62.9,81.3,0.008
02/08/2018,63.4,78,0
03/08/2018,63.4,78.9,0
04/08/2018,62.1,77.9,0
05/08/2018,60.6,78.4,0.012
06/08/2018,61.6,75.5,0.012
07/08/2018,61.6,67.1,0
08/08/2018,61.2,70.6,0
09/08/2018,63,75,0
10/08/2018,62.3,76.9,0.004
11/08/2018,61.1,72.2,0.031
12/08/2018,61.3,74.4,0.031
13/08/2018,60.7,72,0
14/08/2018,61.4,72.4,0
15/08/2018,60.6,77.1,0.008
16/08/2018,60,78.1,0.009
17/08/2018,60.3,82.8,0.002
18/08/2018,60.2,84.2,0.036
19/08/2018,60.6,82.1,0.032
20/08/2018,60.7,78.4,0.004
21/08/2018,61.7,77.7,0.004
22/08/2018,63.4,77.1,0
23/08/2018,62.3,80.7,0.001
24/08/2018,62.6,79,0.028
25/08/2018,63.1,73,0.024
26/08/2018,63.8,79.8,0.019
27/08/2018,63.3,81.1,0.005
28/08/2018,61.8,83.8,0.084
29/08/2018,59.8,85.3,0.015
30/08/2018,60.7,75.5,0.023
31/08/2018,61.5,78.6,0
01/09/2018,62.3,78.6,0
02/09/2018,62.8,79.7,0.079
03/09/2018,63.1,74.8,0.008
04/09/2018,63.2,77,0.039
05/09/2018,63.7,72.2,0.039
06/09/2018,63.2,75.1,0.333
07/09/2018,64,70.1,0.019
08/09/2018,64.6,68.1,0
09/09/2018,66.2,65.2,0
10/09/2018,67,69.8,0.008
11/09/2018,65.8,67.4,0
12/09/2018,65.1,65.9,0
13/09/2018,65.8,68.1,0.008
14/09/2018,67.1,67.3,0
15/09/2018,66,62.8,0
16/09/2018,65.3,60.2,0
17/09/2018,66.1,56.7,0
18/09/2018,65.3,64.8,0
19/09/2018,64.8,66.5,0
20/09/2018,65.7,61,0
21/09/2018,66.9,68.1,0.042
22/09/2018,65.1,72.9,0.016
23/09/2018,65.2,68.4,0
24/09/2018,65.2,67.6,0.008
25/09/2018,65.8,71.9,0.032
26/09/2018,67.9,65.5,0.008
27/09/2018,65.2,73.6,0.193
28/09/2018,66.7,74.9,0.155
29/09/2018,66.3,70.4,0
30/09/2018,66.4,60,0
01/10/2018,64.9,61.8,0
02/10/2018,65.5,66.3,0
03/10/2018,67,67.1,0.004
04/10/2018,66.6,68.2,0.024
05/10/2018,67.7,67.2,0.012
06/10/2018,68.4,67.7,0.004
07/10/2018,68.4,68.2,0.002
08/10/2018,66.2,74.6,0.039
09/10/2018,66.2,72.2,0.008
10/10/2018,65.4,68.9,0
11/10/2018,66.9,63.6,0.008
12/10/2018,68.2,59.3,0
13/10/2018,68.9,64.8,0
14/10/2018,68.6,62.1,0
15/10/2018,69.1,63.1,0.001
16/10/2018,69,63.4,0
17/10/2018,68.9,66.3,0.024
18/10/2018,68.3,71.9,0.002
19/10/2018,67.6,72.8,0.001
20/10/2018,66.9,68,0.012
21/10/2018,67.5,64.9,0.005
22/10/2018,65.7,68,0.155
23/10/2018,62.2,77.5,0.43
24/10/2018,64.1,75.5,0.052
25/10/2018,64.4,80.7,0.194
26/10/2018,65.3,79.7,0.617
27/10/2018,64.4,81.2,0.369
28/10/2018,65.2,76.7,0.636
29/10/2018,66,77.2,0.002
30/10/2018,65.8,75.4,0.424
31/10/2018,66.5,73.2,0
01/11/2018,66.1,79.7,0.001
02/11/2018,66.5,79.5,0.528
03/11/2018,65.6,80.5,0.678
04/11/2018,66,73,0.316
05/11/2018,66.4,67.5,0.008
06/11/2018,66.8,69.5,0
07/11/2018,67.9,68,0
08/11/2018,68.5,67.3,0
09/11/2018,68.6,69.6,0.008
10/11/2018,67.4,73.8,0.025
11/11/2018,66,78,0.077
12/11/2018,65.8,77.3,0.12
13/11/2018,65.3,79.3,0.443
14/11/2018,65.4,78.9,0.003
15/11/2018,67.3,70.5,0
16/11/2018,66.7,63.9,0
17/11/2018,67,75.2,0.003
18/11/2018,66.6,78.5,0.231
19/11/2018,65.2,82.8,1.011
20/11/2018,66.9,80,0.08
21/11/2018,66.7,79.5,0.128
22/11/2018,66.2,77.5,0.023
23/11/2018,66,74.5,0.077
24/11/2018,65.5,76.2,0.004
25/11/2018,65.7,78.7,0.15
26/11/2018,66.1,78.7,0.042
27/11/2018,66.4,77.4,0.036
28/11/2018,66,80.3,0.27
29/11/2018,65.1,83.4,0.04
30/11/2018,65.6,76.2,0.008
01/12/2018,65.5,81.9,0.272
02/12/2018,64.7,84.7,0.436
03/12/2018,65.3,82.2,0.039
04/12/2018,65.6,83.7,0.207
05/12/2018,67,78.6,0.079
06/12/2018,67.6,77.1,0.012
07/12/2018,67.9,75.4,0
08/12/2018,66.4,82.7,0.394
09/12/2018,66.7,80.1,0.197
10/12/2018,65.5,84.7,0.433
11/12/2018,64.5,80.5,1.3
12/12/2018,65.8,76.9,0.012
13/12/2018,66.4,80.6,0.02
14/12/2018,64.5,87.2,0.925
15/12/2018,65,84,0.315
16/12/2018,65.1,80.2,0
17/12/2018,64.5,79.9,0.347
18/12/2018,65,79.8,0
19/12/2018,64.9,83.2,0.205
20/12/2018,64.4,79.6,0
21/12/2018,64.5,77.3,0
22/12/2018,65.5,80.1,0.028
23/12/2018,65.6,80,0.023
24/12/2018,65.3,77.2,0
25/12/2018,64,80,0.193
26/12/2018,64,77,0
27/12/2018,64.5,79.7,0.02
28/12/2018,64.8,78,0.347
29/12/2018,64.3,78.2,0.077
30/12/2018,65.6,78.5,0.031
31/12/2018,65.3,80,0.072
,64.65287671,76.19972603,0.1398
,,,
,18.14048706,,
