datetime,temp,humidity,precip
01/01/2018,67.9,49.7,0
02/01/2018,69.2,51.6,0
03/01/2018,69.3,54.9,0
04/01/2018,68.4,52.9,0
05/01/2018,69.1,46.8,0
06/01/2018,67.4,53.6,0
07/01/2018,68.1,48.4,0
08/01/2018,68.5,45.4,0
09/01/2018,68.3,48.8,0
10/01/2018,67,56.2,0
11/01/2018,65.7,53.6,0.012
12/01/2018,65.4,54.5,0
13/01/2018,64.3,48.7,0
14/01/2018,65.6,39.9,0
15/01/2018,65.9,36.3,0
16/01/2018,67,43.9,0
17/01/2018,67.9,54,0
18/01/2018,69.2,54,0
19/01/2018,68.5,63.4,0
20/01/2018,67.3,65.9,0
21/01/2018,67.1,52.7,0
22/01/2018,66.9,51.8,0
23/01/2018,67.5,52.6,0
24/01/2018,68.6,54.3,0
25/01/2018,69.5,59,0.068
26/01/2018,70.1,59.8,0.088
27/01/2018,69.3,60,0
28/01/2018,69.3,53.7,0
29/01/2018,69,49.8,0
30/01/2018,69.3,46.9,0
31/01/2018,68.8,54.1,0
01/02/2018,68.7,64.1,0
02/02/2018,67.9,65.1,0
03/02/2018,68.5,57.9,0
04/02/2018,68.7,57.7,0
05/02/2018,68.3,66.2,0.124
06/02/2018,68.2,56.2,0
07/02/2018,67.7,41,0
08/02/2018,66.2,37,0
09/02/2018,66.9,42.9,0
10/02/2018,67.9,51.2,0
11/02/2018,68,65,0
12/02/2018,68.9,59.5,0
13/02/2018,69.4,51.2,0
14/02/2018,69.7,62.2,0
15/02/2018,69.6,61.2,0
16/02/2018,70.3,57.2,0
17/02/2018,69.6,58.6,0
18/02/2018,70.7,58.2,0
19/02/2018,71.3,59,0
20/02/2018,72.6,55.4,0
21/02/2018,72.2,51.7,0
22/02/2018,72.9,52.7,0
23/02/2018,71.6,54.5,0
24/02/2018,71.7,51.3,0
25/02/2018,73.4,52.7,0
26/02/2018,73.1,46.1,0
27/02/2018,73.4,46,0
28/02/2018,72.7,56.7,0
01/03/2018,71.4,63.8,0.571
02/03/2018,66.5,77.6,1.053
03/03/2018,66.4,80.4,0.324
04/03/2018,64.2,80.4,0.252
05/03/2018,65.8,76.2,0.2
06/03/2018,65.9,77.5,0.12
07/03/2018,68.1,70.8,0
08/03/2018,68.6,68.2,0.004
09/03/2018,69.3,64.7,0
10/03/2018,69.7,54.7,0
11/03/2018,69.9,56.6,0
12/03/2018,70.9,60.1,0.052
13/03/2018,69.3,70.5,0.252
14/03/2018,69.6,70.9,0.2
15/03/2018,64.5,87.2,0.635
16/03/2018,64.9,80.6,0.384
17/03/2018,66.6,81.5,0.323
18/03/2018,69,71.6,0.02
19/03/2018,67.1,77.3,0.136
20/03/2018,65.9,84.1,0.527
21/03/2018,65.6,83.8,0.22
22/03/2018,67.1,74.1,0.02
