datetime,temp,humidity,precip
2018-01-01,22.1,74.3,0
2018-01-02,22.7,71.3,0.3
2018-01-03,23.2,64.9,0.9
2018-01-04,23.6,60.2,0.9
2018-01-05,22.8,74,0
2018-01-06,23.5,65.1,1.3
2018-01-07,22.7,66.6,0.5
2018-01-08,23.1,60.6,1.6
2018-01-09,23.9,54.1,0.2
2018-01-10,23.6,59.4,0
2018-01-11,24,58.1,2.5
2018-01-12,23.9,62.4,5.2
2018-01-13,23.1,68.5,4.5
2018-01-14,23.3,68.7,5.8
2018-01-15,23.5,67.1,0.7
2018-01-16,22.9,70.5,0.7
2018-01-17,23.6,60.5,0
2018-01-18,23.4,66,0
2018-01-19,24.2,65.9,0
2018-01-20,23.2,68.5,2.4
2018-01-21,23,71.8,1.4
2018-01-22,24.5,53.3,0
2018-01-23,24.6,48.8,0
2018-01-24,24,57.8,1.1
2018-01-25,22.3,71.6,2
2018-01-26,22.5,70.1,0.8
2018-01-27,24.8,61.4,0.9
2018-01-28,24.6,64.4,0
2018-01-29,24.9,60.9,0.1
2018-01-30,25,58.9,0
2018-01-31,24.5,60.8,0
2018-02-01,25.7,54,0
2018-02-02,26,51.7,0
2018-02-03,26.7,38.8,0
2018-02-04,26.3,40.8,0
2018-02-05,27.6,46.5,0
2018-02-06,26.9,48.6,0
2018-02-07,26.3,49,0
2018-02-08,26.2,44.2,0
2018-02-09,25.4,45.1,0
2018-02-10,26.8,41.4,0
2018-02-11,26.6,41.9,0
2018-02-12,27.7,42.4,0
2018-02-13,27.6,40.8,0
2018-02-14,26.9,43.3,0
2018-02-15,28.2,34,0
2018-02-16,28.1,41,0
2018-02-17,28.2,37.8,0
2018-02-18,27.2,43,0
2018-02-19,25.6,56.2,0
2018-02-20,24.9,61.5,57.8
2018-02-21,22.9,76.4,42.8
2018-02-22,24.4,70.5,1.1
2018-02-23,25.2,68.9,8.7
2018-02-24,25,67.8,17
2018-02-25,24.8,67.2,6.9
2018-02-26,23.5,73,0.9
2018-02-27,24.2,71.5,1.9
2018-02-28,23.7,74,9.7
2018-03-01,21.8,78.2,43.8
2018-03-02,21,81.1,7
2018-03-03,21.7,73.6,2
2018-03-04,19.9,84.1,9.9
2018-03-05,22.5,69.7,1.2
2018-03-06,21.7,76.1,12.5
2018-03-07,22.7,74.8,9.4
2018-03-08,23.8,71,0
2018-03-09,23.3,70.7,0.7
2018-03-10,23.2,74.7,12
2018-03-11,22.5,79,14
2018-03-12,22.3,78.5,5
2018-03-13,21.3,82.4,5.8
2018-03-14,23.5,71.4,1.8
2018-03-15,20.9,83.8,3.3
2018-03-16,21.7,79.6,10.7
2018-03-17,22.1,79.7,16
2018-03-18,22.1,81.3,2.7
2018-03-19,21.1,84.6,5.2
2018-03-20,21.8,80.1,39.9
2018-03-21,22,80.8,10.6
2018-03-22,22.9,74.7,3.5
2018-03-23,23.5,72.4,4.5
2018-03-24,23.8,68.3,4
2018-03-25,23,77.2,8.2
2018-03-26,22.5,79,12.8
2018-03-27,22.5,77.4,22.8
2018-03-28,24.2,67,19.5
2018-03-29,22.5,80.2,2.9
2018-03-30,23.7,70.1,0.8
2018-03-31,23.9,71.4,4.8
2018-04-01,22.8,74.4,3
2018-04-02,23.5,70.7,7.2
2018-04-03,23.6,70.4,8.2
2018-04-04,21.1,86.3,30.7
2018-04-05,20.3,84.7,9.5
2018-04-06,21.8,78.2,4
2018-04-07,22.1,81.4,10.1
2018-04-08,21,84,11.2
2018-04-09,20.6,82.7,11.4
2018-04-10,22.2,78.9,12.7
2018-04-11,21.7,82.9,27.3
2018-04-12,21.3,85.3,3.4
2018-04-13,22.2,84.1,29.4
2018-04-14,20.8,87.1,11
2018-04-15,21.5,79.3,13.1
2018-04-16,20.9,83.8,7.6
2018-04-17,20.7,83.5,7.2
2018-04-18,22.1,76.2,2.5
2018-04-19,22,79.6,0.7
2018-04-20,22.9,72.9,1.1
2018-04-21,22.7,74.5,5.4
2018-04-22,21.6,83.5,9.1
2018-04-23,22.5,77.2,5.6
2018-04-24,22.4,82.1,7.7
2018-04-25,22.7,76.9,2
2018-04-26,21.7,84.6,13.3
2018-04-27,21.9,82.3,9.7
2018-04-28,22.1,79.1,10.6
2018-04-29,22.3,83.2,13.1
2018-04-30,21.9,81.8,4.9
2018-05-01,21.5,84.7,7
2018-05-02,22.4,75.3,16.2
2018-05-03,22.5,77.1,0.7
2018-05-04,23.5,75.2,6.6
2018-05-05,22.8,78.3,5.8
2018-05-06,22.6,78.3,15.3
2018-05-07,22.6,78.1,6
2018-05-08,22.5,76.9,3.8
2018-05-09,22.5,76.9,8.6
2018-05-10,23.2,75.1,12.1
2018-05-11,23.2,73.4,25.6
2018-05-12,23.4,71.7,3.2
2018-05-13,23,74.8,2.5
2018-05-14,22.9,72.7,47.6
2018-05-15,22.3,79.6,20.9
2018-05-16,21.2,81.8,8.7
2018-05-17,22.5,73.5,8.3
2018-05-18,22.6,76.2,2.5
2018-05-19,21.5,81.9,3
2018-05-20,22.3,78,5.1
2018-05-21,22,79.9,36.8
2018-05-22,21,84.3,6.4
2018-05-23,21.6,78.5,5.1
2018-05-24,21.9,76.9,2.1
2018-05-25,21.8,75.4,0.4
2018-05-26,22.5,75.8,21.3
2018-05-27,23,74.6,1.4
2018-05-28,23.6,72.4,0.4
2018-05-29,22.8,71.6,8.3
2018-05-30,23.3,74.8,4
2018-05-31,22.6,77.3,9.2
2018-06-01,23.6,73.8,3.6
2018-06-02,23.3,74.2,4.9
2018-06-03,23,71.8,0.8
2018-06-04,22.9,77,6.6
2018-06-05,20.4,85,12
2018-06-06,21.8,78.2,0.9
2018-06-07,22.2,78.3,0.6
2018-06-08,21.9,79.8,0.4
2018-06-09,22.6,72,0
2018-06-10,23.1,69.8,0.8
2018-06-11,23.2,71.7,0.6
2018-06-12,22.5,67.6,0
2018-06-13,22.1,70,0.2
2018-06-14,22.6,74.4,1.5
2018-06-15,22.4,74,0
2018-06-16,23.7,69.8,0
2018-06-17,23.6,67.9,0
2018-06-18,23.2,68.6,0
2018-06-19,21.7,78.2,8.8
2018-06-20,20.9,82,12.1
2018-06-21,21.5,76.7,13.2
2018-06-22,21.9,72.8,0
2018-06-23,21.8,70.3,0
2018-06-24,22.8,68.4,2.1
2018-06-25,22.8,67.7,16
2018-06-26,21.6,69.9,6.3
2018-06-27,22.4,70.8,7.6
2018-06-28,21.9,65.2,0.1
2018-06-29,22.1,68.4,1.9
2018-06-30,22.5,67.8,3.4
2018-07-01,22.2,69.1,0.5
2018-07-02,21.9,73.4,0.8
2018-07-03,22.4,67.9,1.3
2018-07-04,21.9,69.1,3.4
2018-07-05,22,70.9,2.4
2018-07-06,21.1,71.7,0
