datetime,temp,humidity,precip
2018-01-01,26.8,60.7,0.3
2018-01-02,25.3,71.8,6.3
2018-01-03,24.2,76.8,1.1
2018-01-04,24.2,77.5,8.3
2018-01-05,23.8,79.5,0.1
2018-01-06,24.5,71.9,0.5
2018-01-07,24.7,70.9,0.4
2018-01-08,25.7,65.4,0
2018-01-09,25.2,68.7,0.8
2018-01-10,25.6,67.1,0.9
2018-01-11,24.7,68.9,1.3
2018-01-12,24.7,68,0.4
2018-01-13,24.7,62.6,0.3
2018-01-14,25.1,56.3,0
2018-01-15,25.5,60.6,0
2018-01-16,26,59.3,0
2018-01-17,26,62.8,0
2018-01-18,26.4,62.5,0
2018-01-19,26.2,62.8,0
2018-01-20,26.5,60.2,0
2018-01-21,26.9,58.9,0
2018-01-22,26.2,60.2,0
2018-01-23,25.6,60,0
2018-01-24,26,59.3,0
2018-01-25,26.8,56.7,0
2018-01-26,27,59.5,0
2018-01-27,26.7,60,0
2018-01-28,26.7,57.6,0
2018-01-29,27.1,56.9,0
2018-01-30,27.4,58.2,0
2018-01-31,27,59.7,0
2018-02-01,26.5,60.3,0
2018-02-02,26.8,60.3,0
2018-02-03,27.1,57.5,0
2018-02-04,27.3,57.9,0
2018-02-05,26.8,60.5,0
2018-02-06,26.8,58.4,0
2018-02-07,26.2,58.8,0
2018-02-08,25.6,55.3,0
2018-02-09,26,57.5,0
2018-02-10,26.1,60.2,0
2018-02-11,26.1,62.8,0.3
2018-02-12,25.9,57.2,0
2018-02-13,25.7,59.8,0
2018-02-14,26.2,62.5,0
2018-02-15,26.4,61.9,0
2018-02-16,26.7,58.6,0
2018-02-17,26.6,59,0
2018-02-18,26.7,58.2,0
2018-02-19,27.3,58.4,0
2018-02-20,27.4,60.1,0
2018-02-21,28.3,57.4,0
2018-02-22,28,55.8,0
2018-02-23,27.7,57.1,0
2018-02-24,27.7,58.9,0
2018-02-25,28,57.3,0.3
2018-02-26,28,55.2,0
2018-02-27,27.5,56.8,0.4
2018-02-28,27.2,60.9,1
2018-03-01,24.6,75,112
2018-03-02,25.3,75.7,10.3
2018-03-03,23.8,82.4,9
2018-03-04,23,83.2,10
2018-03-05,24.5,78.3,5
2018-03-06,23.4,83.8,48
2018-03-07,25.1,74.1,100
2018-03-08,25.3,79.1,0
2018-03-09,25.3,78.6,0.3
2018-03-10,25.3,78.8,10
2018-03-11,23.9,81.9,2
2018-03-12,23.3,86.6,5
2018-03-13,23.4,86.3,14
2018-03-14,24.7,83.5,11
2018-03-15,23.4,89.6,1
2018-03-16,23.3,87,40
2018-03-17,25.4,77.3,10
2018-03-18,23.6,86.4,19
2018-03-19,23.7,86.5,4.5
2018-03-20,23.5,83.1,1.3
2018-03-21,24.2,80,0.2
2018-03-22,24.3,74.9,0.5
2018-03-23,24.4,73.2,0.3
2018-03-24,24.2,77.5,26
2018-03-25,24.7,77.6,0.5
2018-03-26,24.7,80.1,4.8
2018-03-27,23.8,83,75
2018-03-28,24.3,77.8,0.4
2018-03-29,25.1,74.2,0.5
2018-03-30,24.8,73.5,0.2
2018-03-31,25.2,72.3,0
2018-04-01,25.2,72.9,0.1
2018-04-02,25.5,73.6,0.5
2018-04-03,24.9,76.7,2
2018-04-04,24.8,76.3,0.4
2018-04-05,24.2,74.3,0.8
2018-04-06,24.7,74.6,1
2018-04-07,24.5,78.4,3.3
2018-04-08,23.9,84.1,8
2018-04-09,23.4,83.4,72
2018-04-10,24,80.3,0.6
2018-04-11,24.2,79.6,0.5
2018-04-12,23.5,84.4,4
2018-04-13,23.5,83.5,1.1
2018-04-14,22.5,83.8,2.1
2018-04-15,21.6,84.5,16.8
2018-04-16,22.9,79.4,6.7
2018-04-17,22.6,84.6,2
2018-04-18,23,85.5,2
2018-04-19,23,86,10
2018-04-20,22.7,89.3,47
2018-04-21,23.8,81.6,0
2018-04-22,24.1,82.7,3
2018-04-23,23.5,85.5,1
2018-04-24,23.6,85.1,3
2018-04-25,23.6,80.4,0.3
2018-04-26,23.4,80.4,2.2
2018-04-27,23,80.9,4.1
2018-04-28,23.6,79.5,1.9
2018-04-29,23.4,80.9,0.5
2018-04-30,22.6,86.2,0.5
2018-05-01,22.4,89.2,26.6
2018-05-02,22.4,85.4,13.1
2018-05-03,22.4,85.4,6.3
2018-05-04,22.5,85.1,3.6
2018-05-05,22.4,82.7,1
2018-05-06,22.2,84.2,2.9
2018-05-07,22.8,82.2,2
2018-05-08,22.1,87.6,3
2018-05-09,22.4,83.8,7.4
2018-05-10,22.4,86.8,0.5
2018-05-11,23,84.4,0.5
2018-05-12,23.2,84.5,1.8
2018-05-13,23,85,5.4
2018-05-14,23.4,82.8,1.1
2018-05-15,23.1,82.1,0.2
2018-05-16,22.7,83.7,8
2018-05-17,22.4,80.5,0.5
2018-05-18,22.4,78,0
2018-05-19,22,78.1,0
2018-05-20,22.1,79.9,1.1
2018-05-21,22.6,80.9,10
2018-05-22,22.8,80.2,0.8
2018-05-23,23,77.8,0.2
2018-05-24,22.8,78.1,0.4
2018-05-25,22.2,83.1,5.7
2018-05-26,22.5,82.6,2.6
2018-05-27,22.9,74.3,0.6
2018-05-28,22.4,74,0
2018-05-29,22.4,73.9,0
2018-05-30,23.1,75.2,0
2018-05-31,22.9,79,1.6
2018-06-01,22.6,81.7,3.5
2018-06-02,23.1,78.4,0
2018-06-03,22.7,78.5,0.3
2018-06-04,21.7,76,0
2018-06-05,21.1,70.1,0
2018-06-06,21,72.3,0
2018-06-07,20.1,73.2,0
2018-06-08,20.4,70.5,0
2018-06-09,20.4,68.2,0
2018-06-10,20.4,67.8,0
2018-06-11,21.4,70.4,0
2018-06-12,21.1,81.4,0.9
2018-06-13,21.5,80.5,0.8
2018-06-14,21.8,76.6,0.2
2018-06-15,21.8,74.1,0
2018-06-16,21.9,74.3,0
2018-06-17,21.7,75.9,0
2018-06-18,21.5,73.4,0
2018-06-19,21.2,74.4,0.1
2018-06-20,21.9,73.5,0
2018-06-21,22.4,76.5,0.2
2018-06-22,21.5,79.6,2.4
2018-06-23,20.7,80.5,1.3
2018-06-24,21,72.3,0
2018-06-25,21,76.4,0.9
2018-06-26,21.3,76.4,1
2018-06-27,21.2,73,0
2018-06-28,21.9,76.1,0
2018-06-29,22.5,74.4,2
2018-06-30,21.6,77,2.4
2018-07-01,21.1,81.9,6.2
2018-07-02,21.5,78.8,3.8
2018-07-03,21.2,80.3,5.7
2018-07-04,20.9,76.6,2.4
2018-07-05,20.4,73.6,0.2
2018-07-06,20.8,75,0
2018-07-07,21.1,74.5,0
2018-07-08,21,75.2,0
2018-07-09,21.2,74.9,0
2018-07-10,21.2,75.1,0
2018-07-11,21.6,74.1,0.2
2018-07-12,21.2,75.1,0.2
2018-07-13,21,76.8,0.7
2018-07-14,20.9,75.3,0
2018-07-15,21,74.4,0
2018-07-16,20.7,72.6,0
2018-07-17,20.4,67,0
2018-07-18,20.2,67.7,0
2018-07-19,20.4,70.1,0
2018-07-20,20.6,71.6,0
2018-07-21,20.3,75.8,2.1
2018-07-22,20.4,73.5,0.5
2018-07-23,20.6,74.2,0
2018-07-24,20.8,72.7,0.4
2018-07-25,20.2,75.9,0.1
2018-07-26,21.1,71.5,0
2018-07-27,22.4,69.5,0
2018-07-28,22.7,70.7,0
2018-07-29,22.4,71.1,0
2018-07-30,22.5,73.6,0
2018-07-31,22.5,72.4,0
2018-08-01,22.8,71.6,0
2018-08-02,22.8,71.5,0
2018-08-03,22.4,69.6,0
2018-08-04,22.1,66.2,0
2018-08-05,21.8,73.3,3
2018-08-06,21.9,70,0
2018-08-07,21.4,68.9,0
2018-08-08,22,71.9,0
2018-08-09,22.5,69.7,0
2018-08-10,21.8,67.1,0
2018-08-11,20.4,76.1,0.7
2018-08-12,21.1,73.5,1.3
2018-08-13,21.2,73.4,1
2018-08-14,21,71.8,0.4
2018-08-15,20.7,71.8,1.1
