datetime,temp,humidity,precip
2018-01-01,30.2,54.2,0
2018-01-02,30.4,54.6,0
2018-01-03,31,49.7,0
2018-01-04,30.5,52.5,0
2018-01-05,30.2,53.7,0
2018-01-06,29.6,53.7,0
2018-01-07,30.4,52.3,0
2018-01-08,30,55.4,0
2018-01-09,30,53,0
2018-01-10,30.6,51.2,0
2018-01-11,29.4,53.7,0
2018-01-12,29.5,52.7,0
2018-01-13,29,49.7,0
2018-01-14,29.3,53.5,0
2018-01-15,29.6,55.8,0
2018-01-16,29.5,59.2,0
2018-01-17,30.2,59.1,0
2018-01-18,30.3,57,0
2018-01-19,30.3,56.8,0
2018-01-20,30.5,55.9,0
2018-01-21,30,56.2,0
2018-01-22,29.8,56.7,0
2018-01-23,29.4,57.3,0
2018-01-24,29.2,57,0
2018-01-25,29.9,55.9,0
2018-01-26,30.2,55.9,0
2018-01-27,29.8,56.6,0
2018-01-28,30,54.4,0
2018-01-29,30.4,52.2,0
2018-01-30,30.6,54.2,0
2018-01-31,30.4,53.7,0
2018-02-01,30,56.2,0
2018-02-02,29.8,55.6,0
2018-02-03,30.3,54.9,0
2018-02-04,30.5,54.8,0
2018-02-05,30.4,57.1,0
2018-02-06,30.3,54.3,0
2018-02-07,29.9,52.1,0
2018-02-08,29.2,57,0.1
2018-02-09,29.9,55.5,0
2018-02-10,29.7,60.7,0
2018-02-11,30,57.1,0
2018-02-12,29.5,55.7,0
2018-02-13,30.1,58.5,0
2018-02-14,30.4,58.8,0
2018-02-15,30.4,59.4,0
2018-02-16,30.7,56.8,0
2018-02-17,30.8,56.8,0
2018-02-18,30.9,55.9,0
2018-02-19,30.9,56.5,0
2018-02-20,31.4,54.5,0
2018-02-21,31.5,56.1,0
2018-02-22,31.3,55.9,0
2018-02-23,31.5,55.6,0
2018-02-24,31.1,57.2,0
2018-02-25,31.1,56.7,0
2018-02-26,31.3,55.9,0
2018-02-27,31.4,54.3,0
2018-02-28,31.7,54.8,0
2018-03-01,31.3,57,2.5
2018-03-02,28.9,70.8,29.8
2018-03-03,27.5,76.5,1.4
2018-03-04,26.3,83,5.8
2018-03-05,26.9,79.9,3.1
2018-03-06,27.7,78.3,0.6
2018-03-07,29,72.7,3.7
2018-03-08,29.8,67.6,0.6
2018-03-09,30.1,64.1,0
2018-03-10,29.5,63.9,0.4
2018-03-11,29.6,62.6,0.4
2018-03-12,29.5,64.8,0.3
2018-03-13,29,69,1.5
2018-03-14,29.4,69.6,0.4
2018-03-15,29.4,70.1,0.9
2018-03-16,27.8,72.7,0.8
2018-03-17,30.2,63.2,2.3
2018-03-18,29.3,70.2,9.6
2018-03-19,28.8,71.1,6.2
2018-03-20,28.5,72.7,11.6
2018-03-21,28.6,71.4,1.1
2018-03-22,29,65.6,0.1
2018-03-23,29.2,66.4,0
2018-03-24,29.7,67.5,0
2018-03-25,29.5,68.2,0
2018-03-26,30.1,65.3,1.1
2018-03-27,29,71.2,11.8
2018-03-28,29.1,68.9,1.1
2018-03-29,29.7,63.7,0
2018-03-30,29.5,66,0.8
2018-03-31,29.6,66.6,0.9
2018-04-01,30,64.4,0
2018-04-02,30.1,64.7,0
2018-04-03,30.2,64.9,1.5
2018-04-04,30,66,1
2018-04-05,30,63.2,0.9
2018-04-06,29.6,67.5,5.8
2018-04-07,27.9,76.8,15.5
2018-04-08,27.4,75.4,15.2
2018-04-09,27.3,78.8,4.9
2018-04-10,27.4,78.4,2
2018-04-11,26.9,83.8,6.1
2018-04-12,26,88,26
2018-04-13,26,86.1,30.7
2018-04-14,25.7,87.2,31.4
2018-04-15,25.5,81.8,4
2018-04-16,25,82.9,3.6
2018-04-17,25.3,90.1,16.9
2018-04-18,25.8,89.7,10.1
2018-04-19,25.8,89.9,5.3
2018-04-20,25.9,90,6.4
2018-04-21,26.8,84,2.9
2018-04-22,27,84.4,1.1
2018-04-23,26.5,87.7,4.1
2018-04-24,27.1,81.7,5.2
2018-04-25,27.3,77,0.4
2018-04-26,27.4,76.5,0.5
2018-04-27,27.3,77.7,0.7
2018-04-28,26.7,84,24.9
2018-04-29,26.7,83.6,4
2018-04-30,26.1,90.8,23.2
2018-05-01,25.9,89.9,15
2018-05-02,25.4,90.5,31.9
2018-05-03,25.8,81.8,2.5
2018-05-04,25.5,87.2,3.3
2018-05-05,26.2,86.7,7.2
2018-05-06,25.3,90.7,22
2018-05-07,26.4,84.4,2.8
2018-05-08,25.5,89,8.8
2018-05-09,25.9,86.3,4.6
2018-05-10,26.2,86.8,9.3
2018-05-11,26.7,83.8,0.7
2018-05-12,26.3,86.9,0.1
2018-05-13,26.1,89.6,4.7
2018-05-14,26.2,87.5,2.8
2018-05-15,26.5,81.9,0.7
2018-05-16,25.8,87.6,5.8
2018-05-17,26,83.9,1.5
2018-05-18,25.8,78.6,0
2018-05-19,25,81.9,0.7
2018-05-20,25.3,83.5,3.4
2018-05-21,25.8,82.8,2.7
2018-05-22,26,82.8,1.7
2018-05-23,26,80.9,0.6
2018-05-24,26,80.9,0.7
2018-05-25,26.1,82.9,5
2018-05-26,25.9,83.3,10.5
2018-05-27,26,81.2,3.3
2018-05-28,25.5,77.7,0
2018-05-29,25.6,82,4.3
2018-05-30,26.1,79.8,11.4
2018-05-31,25.6,83.8,35.3
2018-06-01,25.6,84.5,5.8
2018-06-02,25.9,83.4,2.8
2018-06-03,25.5,79.3,0
2018-06-04,24.8,78.6,0.4
2018-06-05,24.1,75,0
2018-06-06,24.7,77.7,0
2018-06-07,23.8,76.3,0
2018-06-08,24,75.7,0
2018-06-09,23.9,74.9,0
2018-06-10,24,74.8,0.9
2018-06-11,24.1,79.9,3
2018-06-12,24.3,87.3,27.2
2018-06-13,24.8,84.4,6.2
2018-06-14,24.5,81.4,3.9
2018-06-15,24.1,80.4,0
2018-06-16,25,80.5,0
2018-06-17,24.9,80.1,0
2018-06-18,24.6,80.9,0.4
2018-06-19,24.6,78.2,0
2018-06-20,25,81.2,0
2018-06-21,25.7,80.7,0.7
2018-06-22,25.3,82.3,3.4
2018-06-23,25.1,78.1,0.3
2018-06-24,25.2,71.9,0
2018-06-25,25.2,79,1.8
2018-06-26,24.9,81,7.7
2018-06-27,24.7,77.1,0
2018-06-28,25.1,79.6,0.7
2018-06-29,25.4,79.6,1.3
2018-06-30,25.1,78.7,2.8
2018-07-01,24.8,79.9,3.7
2018-07-02,24.9,79.8,3
2018-07-03,24.5,83.9,18.4
2018-07-04,24.3,81.1,6
2018-07-05,24.2,77.6,0.3
2018-07-06,24.3,78.2,0
2018-07-07,24.8,77,0.2
2018-07-08,24.7,77.2,0
2018-07-09,24.7,76.5,0
2018-07-10,24.6,76.8,0.1
2018-07-11,24.6,75.7,0
2018-07-12,24.6,75.7,0
2018-07-13,24.8,71.3,0
2018-07-14,24.4,73.7,0
2018-07-15,24.7,74,0
2018-07-16,24.1,72.2,0
2018-07-17,24.3,70.4,0
2018-07-18,24.1,68.9,0
2018-07-19,24.5,71.6,0.5
2018-07-20,24.5,73.1,0.6
2018-07-21,24.2,75.5,1.8
2018-07-22,24.5,72.5,0.2
2018-07-23,25,68.8,0
2018-07-24,24.6,70.9,0.5
2018-07-25,24.5,72.6,0
2018-07-26,25.1,70.1,0
2018-07-27,25.9,72.1,0
2018-07-28,25.9,73.8,0
2018-07-29,25.8,75.8,0
2018-07-30,25.8,74.1,0
2018-07-31,25.8,73,0
2018-08-01,25.8,71.6,0
2018-08-02,25.8,68.9,0
2018-08-03,25.6,73.4,0
2018-08-04,25.9,74,0
2018-08-05,25.9,72.2,0
2018-08-06,25.6,68.2,0
2018-08-07,25.7,68.7,0
2018-08-08,25.7,71.5,0
2018-08-09,25.7,66.8,0
2018-08-10,25.5,65.9,0
2018-08-11,25.3,69.5,1.8
2018-08-12,25.3,69.6,0.4
2018-08-13,25.5,69.7,0.8
2018-08-14,25.7,65.4,1
2018-08-15,25.2,68.6,0.7
2018-08-16,24.9,72.4,2.6
2018-08-17,25.1,66.2,0
2018-08-18,25,69.1,0.9
2018-08-19,24.8,68.7,0
2018-08-20,25.4,66.8,0
2018-08-21,25.5,67.9,0.4
2018-08-22,25.6,66.5,0
2018-08-23,25.8,66.7,0
2018-08-24,25.7,68.1,0
2018-08-25,25.8,71.4,0.8
2018-08-26,26.1,62.4,0
2018-08-27,25.9,66.2,0
2018-08-28,26.3,64,0
2018-08-29,26.4,62.2,0
2018-08-30,26.6,61.2,0
2018-08-31,26.4,61,0
2018-09-01,26.2,65.2,0
2018-09-02,26.7,61.8,0
2018-09-03,26.4,68.2,0.5
2018-09-04,26.8,70.1,0.4
2018-09-05,26.8,71.6,0.3
2018-09-06,26.7,68.6,0.4
2018-09-07,26.7,68.4,0.2
2018-09-08,27.4,66.7,0.5
2018-09-09,27.2,70.8,1.4
2018-09-10,27.1,68.6,1.3
2018-09-11,26.9,65.3,0.2
2018-09-12,26.9,68.7,0.8
2018-09-13,27.5,69.3,0.4
2018-09-14,27.5,64.8,0
2018-09-15,27.4,60.9,0
2018-09-16,27.1,61.4,0
2018-09-17,27,61.9,0
2018-09-18,26.6,64.6,0
2018-09-19,26.6,63.7,0
2018-09-20,27,69.1,0
2018-09-21,27.5,67.6,0.9
2018-09-22,27.2,64.5,0
2018-09-23,27.6,64.2,0
2018-09-24,27.4,70.1,3.9
2018-09-25,27.5,69.6,0.9
2018-09-26,26.8,74.1,3.7
2018-09-27,25.2,84.5,4.4
2018-09-28,26.5,73.6,1.1
2018-09-29,26.3,69.4,0
2018-09-30,26.4,67.3,0
2018-10-01,26.2,65.3,0
2018-10-02,26.6,66.7,0
2018-10-03,26.8,67.7,0.6
2018-10-04,27.3,66.3,0
2018-10-05,27.2,71.8,1.7
2018-10-06,27.2,70.9,0.8
2018-10-07,27.3,68.7,0
2018-10-08,27.5,65.9,0
2018-10-09,27.3,64.5,0
2018-10-10,27.4,66.4,0.3
2018-10-11,27.6,63.7,0.5
2018-10-12,27.6,68.2,1.6
2018-10-13,28,63.5,0
2018-10-14,28.2,65.2,0
2018-10-15,28.5,65.6,0
2018-10-16,28.9,67,0
2018-10-17,28.6,68.2,0
2018-10-18,28.6,67.2,1.1
2018-10-19,27.5,72.8,19
2018-10-20,27.9,68.5,0
2018-10-21,27.8,68.6,0
2018-10-22,27.5,69.6,3.3
2018-10-23,26.4,72,5.2
2018-10-24,26,76.1,19.1
2018-10-25,26.5,80.4,6.8
2018-10-26,26.6,80.5,9.4
2018-10-27,26.1,80.4,5.4
2018-10-28,26.8,74.9,0
2018-10-29,26.9,73.7,0
2018-10-30,27.1,71.5,0
2018-10-31,27.1,71.3,0.2
2018-11-01,28.2,71.2,0
2018-11-02,28.7,68,0
2018-11-03,28.4,67,0
2018-11-04,27.9,67,0
2018-11-05,28.5,66.4,0
2018-11-06,28.9,66.6,0
2018-11-07,29.5,65.2,0
2018-11-08,29.4,66.4,0
2018-11-09,29.4,65.2,0.5
2018-11-10,29.2,65.2,0
2018-11-11,29.5,61.9,0.2
2018-11-12,28.6,66.1,4.2
2018-11-13,28.8,63.4,0
2018-11-14,29,62.5,0
2018-11-15,29.1,60.9,0
2018-11-16,29.6,64.9,0
2018-11-17,29.6,64.4,0.5
2018-11-18,29.8,64.3,2.2
2018-11-19,28.1,76.2,4.6
2018-11-20,28.6,71.5,1.9
2018-11-21,28.9,70.7,3
2018-11-22,29.1,68.7,1.4
2018-11-23,29.3,67.4,1.4
2018-11-24,28.9,69.8,2.2
2018-11-25,29.1,68.2,1.4
2018-11-26,29.6,64.2,0
2018-11-27,30.4,60.9,0.2
2018-11-28,30.1,64.3,0.9
2018-11-29,30.5,62.7,0.4
2018-11-30,30.3,64.6,0.7
2018-12-01,29.9,65.3,1
2018-12-02,29.7,64.4,0.4
2018-12-03,29.9,64,2.1
2018-12-04,30.8,61.8,0
2018-12-05,30.4,63.5,1.2
2018-12-06,30.2,64,0.9
2018-12-07,30.7,62.5,0
2018-12-08,30,66,3.5
2018-12-09,29.7,68.4,4.9
2018-12-10,27.5,79,1.4
2018-12-11,28.6,69.1,0.5
2018-12-12,29,69.4,0.9
2018-12-13,29.3,70.1,3.4
2018-12-14,28.3,76.4,3.7
2018-12-15,28.4,72.6,2.3
2018-12-16,29.2,68.4,0.6
2018-12-17,29.9,64,0
2018-12-18,30.1,62.6,0
2018-12-19,30.4,59.8,0
2018-12-20,30.9,57.3,0
2018-12-21,30.8,58.9,0
2018-12-22,31,57,0.2
2018-12-23,31,56.6,0.2
2018-12-24,30.8,56.5,0
2018-12-25,30.9,56.4,0
2018-12-26,30.4,58.5,0
2018-12-27,30.4,58.7,0
2018-12-28,30.4,58.1,0
2018-12-29,30.9,53.8,0
2018-12-30,30.4,58.8,0
2018-12-31,30.3,59.1,0.5
