datetime,temp,humidity,precip
2018-01-01,24.3,47.2,0
2018-01-02,25.1,48.9,0
2018-01-03,25.5,53.7,0.1
2018-01-04,25,51.3,0
2018-01-05,24.5,49.8,0
2018-01-06,24,50.8,0
2018-01-07,24.2,47.1,0
2018-01-08,24.6,45.3,0
2018-01-09,24.3,47.5,0
2018-01-10,24.1,50.5,0
2018-01-11,23.8,45.2,0
2018-01-12,22.9,53.4,0
2018-01-13,22.4,48,0
2018-01-14,23,38.9,0
2018-01-15,23.5,41.8,0
2018-01-16,23.9,46.2,0
2018-01-17,24.1,54.6,0
2018-01-18,24.5,57.1,0
2018-01-19,24.4,59.1,0
2018-01-20,24,60.9,0
2018-01-21,24.4,51.9,0.2
2018-01-22,23.7,50.8,0
2018-01-23,23.4,55,0.1
2018-01-24,24.1,57.2,0.4
2018-01-25,25.1,54.8,1.921
2018-01-26,25.8,52.8,0
2018-01-27,25.1,54.1,0
2018-01-28,24.7,54.3,0
2018-01-29,25.1,43.9,0
2018-01-30,25,46.1,0
2018-01-31,24.4,52.5,0
2018-02-01,24.4,57.7,0
2018-02-02,24.1,60.7,0
2018-02-03,24.7,54.4,0
2018-02-04,24.3,56.1,0
2018-02-05,24.5,58.8,0
2018-02-06,24.7,55.7,0
2018-02-07,23.6,45.4,0
2018-02-08,22.8,44,0
2018-02-09,23.8,46.3,0
2018-02-10,24.5,54.5,0
2018-02-11,24.2,61.9,0
2018-02-12,24.6,51.9,0
2018-02-13,24.8,49.3,0
2018-02-14,25.1,59.8,1.04
2018-02-15,24.9,58.6,0
2018-02-16,24.8,56.7,0
2018-02-17,24.8,56.7,0
2018-02-18,25.1,56.8,0
2018-02-19,25.9,55.3,0
2018-02-20,25.7,54.7,0
2018-02-21,27,49.4,0
2018-02-22,26.3,53,0
2018-02-23,26.1,52.3,0
2018-02-24,26.1,55.6,0
2018-02-25,26.9,53.5,0
2018-02-26,26.7,49.2,0
2018-02-27,26.3,50.7,0
2018-02-28,26.1,52.6,0.192
2018-03-01,25.4,64.1,16.66
2018-03-02,22.4,77.9,6.321
2018-03-03,21.6,80.8,47.437
2018-03-04,20.6,85.3,16.36
2018-03-05,21.6,79.5,1.76
2018-03-06,21.8,76.7,6.44
2018-03-07,23.1,72.3,3.361
2018-03-08,23.6,66.8,0.7
2018-03-09,24.3,64.5,5.762
2018-03-10,24.1,62,0.3
2018-03-11,24,64.7,0.5
2018-03-12,23.2,72.2,21.318
2018-03-13,23,76,1.22
2018-03-14,23.4,72.3,0.3
2018-03-15,22.2,83.9,15.303
2018-03-16,21.3,83.1,18.524
2018-03-17,23.2,74.3,29.112
2018-03-18,23.3,73.4,3.361
2018-03-19,21.6,84.3,9.04
2018-03-20,21,85.7,10.119
2018-03-21,21.4,84.5,19.443
2018-03-22,21.7,75.7,0
2018-03-23,22.3,69.7,0
2018-03-24,23.2,70.8,0
2018-03-25,22.4,76.7,1.848
2018-03-26,22.3,79.3,28.315
2018-03-27,21.9,80.1,7.6
2018-03-28,21.8,79.9,1.44
2018-03-29,22.3,77.3,1.232
2018-03-30,21.7,76.9,2.079
2018-03-31,22.2,74.2,0
2018-04-01,22.8,70.2,5.625
2018-04-02,22.8,74.4,39.851
2018-04-03,22.2,75.7,13.798
2018-04-04,22.2,76.3,9.376
2018-04-05,22.7,71.3,2.881
2018-04-06,22.9,74,11.361
2018-04-07,22.7,77.5,0.52
2018-04-08,21.9,77.9,24.755
2018-04-09,22.5,75.4,7.281
2018-04-10,22.4,72.8,1.04
2018-04-11,22.3,80.1,23.119
2018-04-12,21.5,83.7,19.801
2018-04-13,21.3,82.5,13.516
2018-04-14,21.3,83.6,54.155
2018-04-15,21.4,80.9,11.682
2018-04-16,21.4,81.4,34.165
2018-04-17,21.1,84.9,17.073
2018-04-18,21.1,87.5,9.242
2018-04-19,20.8,87.4,1.768
2018-04-20,20.9,88.4,11.123
2018-04-21,20.9,89.5,43.156
2018-04-22,21.4,85.4,39.034
2018-04-23,21.9,84.9,1.921
2018-04-24,21.7,82.9,37.679
2018-04-25,21.5,81.5,9.757
2018-04-26,22,81.6,0.24
2018-04-27,21.4,80.6,37.633
2018-04-28,21.6,82.3,35.921
2018-04-29,22,77.9,14.132
2018-04-30,21.5,80,2.912
2018-05-01,20.7,86.1,4.967
2018-05-02,20.5,80.4,5.039
2018-05-03,21.1,78.9,6.56
2018-05-04,21.5,79.4,47.957
2018-05-05,21.6,81.2,9.481
2018-05-06,21.8,79.3,4.321
2018-05-07,21.7,81.2,3
2018-05-08,21.6,80.1,6.199
2018-05-09,21.9,77.6,16.083
2018-05-10,22.2,79,24.487
2018-05-11,20.9,84.1,1.096
2018-05-12,22.3,77.3,4.159
2018-05-13,22.8,78.5,4.679
2018-05-14,22.4,79.4,3.927
2018-05-15,22.2,74.1,27.321
2018-05-16,22.1,77.1,16.077
2018-05-17,21.8,75.5,19.195
2018-05-18,21.8,69,0
2018-05-19,21.4,69,0.4
2018-05-20,21.4,72.3,2.599
2018-05-21,21.3,79.5,1.744
2018-05-22,20.9,79,23.664
2018-05-23,21.7,73,58.127
2018-05-24,22.2,71,0
2018-05-25,21.9,75.4,2.5
2018-05-26,21.8,76.7,0.712
2018-05-27,21.6,75,1.56
2018-05-28,21.2,68.6,0
2018-05-29,20.9,70.9,0
2018-05-30,22.1,69,0
2018-05-31,21.1,79.3,0.4
2018-06-01,22.5,74.7,0.2
2018-06-02,22.4,74,0.36
2018-06-03,21.5,76.3,0.688
2018-06-04,20.1,81.1,4.039
2018-06-05,19.5,77.8,11.599
2018-06-06,19.6,75.7,4.361
2018-06-07,19.1,74,2
2018-06-08,19.7,72.2,0.208
2018-06-09,19.8,70.4,0
2018-06-10,19.8,66.8,0
2018-06-11,20.2,66.8,0
2018-06-12,20.9,73.5,0.1
2018-06-13,20.7,76.6,0.4
2018-06-14,20.5,74.1,0
2018-06-15,20.6,73.3,0
2018-06-16,20.4,76,0
2018-06-17,19.8,77,0.312
2018-06-18,19.8,76.4,3.143
2018-06-19,20,75.1,0.52
2018-06-20,21.1,68.7,0
2018-06-21,21.5,71.2,10.679
2018-06-22,22,72,0.288
2018-06-23,22.6,67.5,0
2018-06-24,21.7,68.9,0
2018-06-25,20.2,69.2,0.8
2018-06-26,20,74.9,1.56
2018-06-27,20.3,68.8,0
2018-06-28,20.8,69.3,0
2018-06-29,21.2,73.8,12.917
2018-06-30,21.3,73.3,4.48
2018-07-01,20.6,74.9,2
2018-07-02,20,76.3,4.181
2018-07-03,19.9,78.8,2.168
2018-07-04,19.1,78.4,13.495
2018-07-05,19.5,71.5,2.936
2018-07-06,20,68,0
2018-07-07,20,69.2,0.2
2018-07-08,19.9,70.2,0.52
2018-07-09,20.2,71.1,0.52
2018-07-10,20,73.8,2.599
2018-07-11,19.7,74.5,1.52
2018-07-12,19.8,73.5,0.24
2018-07-13,19.5,76.4,3.599
2018-07-14,18.9,76.9,4.119
2018-07-15,19.6,73.6,0.6
2018-07-16,19.6,68.2,0
2018-07-17,19.9,64.4,0
2018-07-18,19,65.8,0
2018-07-19,19.6,66.1,0
2018-07-20,19.4,69.8,0
2018-07-21,19.1,73.3,0.3
2018-07-22,19.5,69.3,0.312
2018-07-23,19.2,71,0.48
2018-07-24,19.5,68.3,0
2018-07-25,19.3,70.6,0
2018-07-26,19.9,67.1,0
2018-07-27,21.4,62.3,0
2018-07-28,21.6,62.3,0
2018-07-29,21,69.8,0
2018-07-30,20.9,71.9,1.04
2018-07-31,21,71.4,0.104
2018-08-01,21.8,66.4,0
2018-08-02,21.5,67.7,0
2018-08-03,21.3,68.8,0
2018-08-04,21,63.7,0
2018-08-05,20.4,68.3,0
2018-08-06,20.9,62.9,0.96
2018-08-07,20.7,60,0
2018-08-08,21.1,65,0
2018-08-09,21.2,65.6,0
2018-08-10,20.5,68.4,0
2018-08-11,20,65.6,0
2018-08-12,20.6,65.7,0.1
2018-08-13,20,64.7,0
2018-08-14,20.3,61.1,0
2018-08-15,19.9,67,0.312
2018-08-16,19.6,67.5,1.3
2018-08-17,19.1,73.2,1.3
2018-08-18,19.1,75.2,0.672
2018-08-19,19.8,69.6,0.52
2018-08-20,19.7,67.2,0
2018-08-21,20.4,66.6,0
2018-08-22,20.8,63.7,0
2018-08-23,20.6,67.8,0.364
2018-08-24,21.9,61.2,0
2018-08-25,21.6,63.9,0.4
2018-08-26,20.7,72.1,2.368
2018-08-27,20.8,68.4,0.52
2018-08-28,20.1,72.9,0.4
2018-08-29,20.2,68.1,0
2018-08-30,20.7,62.1,0
2018-08-31,20.8,62.9,0
2018-09-01,20.6,67.9,0.312
2018-09-02,21.1,68.2,1.196
2018-09-03,21.5,62.8,0
2018-09-04,21.7,67.5,0.52
2018-09-05,22,66.6,9.163
2018-09-06,21.6,67.1,6.679
2018-09-07,21.5,64.3,4.727
2018-09-08,22,62,0
2018-09-09,22.7,62.9,0
2018-09-10,23,64.4,0
2018-09-11,22.2,63.9,0
2018-09-12,22.2,61.9,0
2018-09-13,22.6,64.7,0
2018-09-14,23.1,61.4,0
2018-09-15,22.7,55.2,0
2018-09-16,22.4,55.7,0
2018-09-17,23.2,53.8,0
2018-09-18,22.5,59.3,0
2018-09-19,21.8,60.2,0
2018-09-20,22.4,58.4,0
2018-09-21,22.9,65.3,2.079
2018-09-22,21.9,65.4,5.192
2018-09-23,22.3,61.1,0
2018-09-24,22.2,63.9,0.1
2018-09-25,22.6,66.7,7.722
2018-09-26,23,64.5,0
2018-09-27,21.9,70.9,0.7
2018-09-28,22.9,70,0.52
2018-09-29,22.5,64.5,0
2018-09-30,22.3,58.7,0
2018-10-01,21.6,58.7,0
2018-10-02,22,62.1,0
2018-10-03,22.7,63.7,0.3
2018-10-04,22.3,64,1.2
2018-10-05,23,65.7,0
2018-10-06,23.1,66.6,0.5
2018-10-07,23.1,64.6,1.56
2018-10-08,22.8,65.8,0.48
2018-10-09,22.4,66.1,0.1
2018-10-10,22.3,62.4,0.584
2018-10-11,22.6,61.3,0.4
2018-10-12,22.9,61,0
