datetime,temp,humidity,precip
2018-01-01,16.1,74.2,0
2018-01-02,17.2,74.9,0.3
2018-01-03,18,70.8,0.4
2018-01-04,16.8,72,0
2018-01-05,17.4,68.7,0
2018-01-06,17,68.9,0.054
2018-01-07,17,67.5,0
2018-01-08,17.5,60.3,0
2018-01-09,18.1,56,0
2018-01-10,17.4,60.2,0.011
2018-01-11,17.4,61,0
2018-01-12,17.6,63.7,0
2018-01-13,17.7,65.5,0
2018-01-14,18.3,54.3,0
2018-01-15,18.5,47.5,0
2018-01-16,17.7,57.8,0
2018-01-17,18.2,51.3,0
2018-01-18,17.8,56.9,0
2018-01-19,18.2,61,0
2018-01-20,19.1,61.8,0.002
2018-01-21,18.2,54.7,0
2018-01-22,18.1,42.4,0
2018-01-23,18.3,46,0
2018-01-24,18.2,54.3,0
2018-01-25,17,70.9,0.002
2018-01-26,16.4,76.3,0.302
2018-01-27,18.5,58.1,0
2018-01-28,18.8,50.8,0
2018-01-29,18,46.2,0
2018-01-30,18.3,52.8,0
2018-01-31,19.2,50.1,0
2018-02-01,19.5,47.8,0
2018-02-02,18.7,49.3,0
2018-02-03,19.3,43.6,0
2018-02-04,19.9,40.9,0
2018-02-05,19.8,51.1,0
2018-02-06,19.1,56.1,0.011
2018-02-07,19.4,48.1,0
2018-02-08,19.3,33.7,0
2018-02-09,18.2,30.4,0
2018-02-10,20.1,31.3,0
2018-02-11,19.6,45.2,0
2018-02-12,19.5,49.6,0
2018-02-13,20.1,47.2,0.198
2018-02-14,20.3,47.7,0
2018-02-15,19,50.9,0
2018-02-16,20.2,45.6,0
2018-02-17,20.2,48.2,0
2018-02-18,19.4,53.5,0.011
2018-02-19,18.5,59.7,0
2018-02-20,19.2,62.4,0
2018-02-21,18.3,73,0.603
2018-02-22,19.1,61.4,0
2018-02-23,19.9,45.7,0
2018-02-24,19.6,53.7,0
2018-02-25,19.5,62.5,0
2018-02-26,19.8,58.6,0
2018-02-27,19,63.9,0.076
2018-02-28,17,79.8,0.603
2018-03-01,16.1,82,24.207
2018-03-02,15.5,83.8,4.344
2018-03-03,16.8,82.5,10.902
2018-03-04,15.5,89.6,28.75
2018-03-05,17.1,77.9,0.69
2018-03-06,16.8,78.5,4.453
2018-03-07,17.9,73.8,0.108
2018-03-08,18.5,71.4,0
2018-03-09,19,70,0.201
2018-03-10,18.1,73.6,0
2018-03-11,17.4,76.6,0
2018-03-12,16.8,84,14.998
2018-03-13,16.4,88.5,19.011
2018-03-14,18.3,78.6,0.813
2018-03-15,16.6,86.8,34.395
2018-03-16,16.2,88.8,10.945
2018-03-17,17.5,80.9,1.043
2018-03-18,18.2,80.8,0.813
2018-03-19,17.1,84.4,23.793
2018-03-20,17.8,76.8,11.01
2018-03-21,18.2,70.9,1.978
2018-03-22,17.6,69.8,1.978
2018-03-23,18.2,65.7,0.198
2018-03-24,18.7,67.3,0.989
2018-03-25,18.8,73.7,5.934
2018-03-26,18.4,75.1,1.221
2018-03-27,18.9,67.5,0
2018-03-28,18.7,64.3,1.978
2018-03-29,18.2,69.1,0.989
2018-03-30,18.2,69,0.198
2018-03-31,18.2,67.8,0
2018-04-01,16.9,77.4,2.978
2018-04-02,18,76.7,0.23
2018-04-03,18,76.1,1.286
2018-04-04,18.2,77.1,0.4
2018-04-05,17.1,84.1,18.809
2018-04-06,17.5,80.6,4.967
2018-04-07,16.7,85.3,22.065
2018-04-08,16.9,87,6.472
2018-04-09,18,78.1,22.341
2018-04-10,17.8,80.2,7.427
2018-04-11,17.1,83,32.696
2018-04-12,16.5,90,5.504
2018-04-13,17.5,85,3.467
2018-04-14,15.8,90.3,86.414
2018-04-15,16.7,84.2,3.965
2018-04-16,16.3,84.6,0.417
2018-04-17,16.2,86.3,0.498
2018-04-18,16.7,82.5,0.2
2018-04-19,16.1,85.2,0.391
2018-04-20,17,79,0.099
2018-04-21,17.5,83.6,0.003
2018-04-22,17,86.7,10.076
2018-04-23,16.6,85.7,1.109
2018-04-24,16.8,86.8,0.351
2018-04-25,18,83.2,0.596
2018-04-26,18.4,79.9,14.891
2018-04-27,17.5,86.4,5.946
2018-04-28,17.7,83.2,7.599
2018-04-29,17.8,83.9,12.064
2018-04-30,16.9,89,50.727
2018-05-01,16.7,90.4,9.242
2018-05-02,16.8,84.9,14.163
2018-05-03,18.2,79.8,21.761
2018-05-04,17.9,78,7.175
2018-05-05,17.9,75.7,3.957
2018-05-06,17,85.6,0.177
2018-05-07,16.8,86.4,24.131
2018-05-08,18.2,80,0.359
2018-05-09,18.1,78.1,0.065
2018-05-10,18.5,73,0.7
2018-05-11,18.5,75.3,3.957
2018-05-12,18.6,69.5,0
2018-05-13,19.1,70.5,1.978
2018-05-14,19,71.9,0.099
2018-05-15,18.4,77.7,26.739
2018-05-16,16.3,85.8,21.891
2018-05-17,16,86.2,2.163
2018-05-18,17.2,84.7,0.2
2018-05-19,16.5,90,4
2018-05-20,16.8,85.1,3.033
2018-05-21,16.8,86,10.967
2018-05-22,16.1,89.7,22.838
2018-05-23,16.9,85.4,2
2018-05-24,16.9,83.9,16.848
2018-05-25,16.1,84.7,35.718
2018-05-26,17.3,80.9,3.957
2018-05-27,17.4,80.4,2.967
2018-05-28,17.4,84.4,5.967
2018-05-29,17.6,85,37.631
2018-05-30,17.5,82.5,0.022
2018-05-31,17.2,83.2,0.168
2018-06-01,16.9,83,0.451
2018-06-02,17.2,83.9,1
2018-06-03,17.4,83.3,2.022
2018-06-04,16.7,89.3,3
2018-06-05,15.5,93.2,12.23
2018-06-06,16.2,87.9,9.506
2018-06-07,17,85.4,3.435
2018-06-08,16.1,88.1,11.881
2018-06-09,16.4,85.9,0.098
2018-06-10,16.7,84.1,0
2018-06-11,17.2,82.3,9.902
2018-06-12,16.8,76.9,0.011
2018-06-13,16.5,78.2,0
2018-06-14,16.7,81.4,0.033
2018-06-15,16.7,82.1,4.054
2018-06-16,17.2,80.1,0
2018-06-17,17,81.5,19.495
2018-06-18,16.9,83,13.847
2018-06-19,16.6,84.8,7.913
2018-06-20,16.6,82.9,11.989
2018-06-21,15.8,84.2,0.03
2018-06-22,15.7,76.7,0
2018-06-23,16.8,82.2,4.5
2018-06-24,16.6,82.1,8.1
2018-06-25,16.1,85.2,8.198
2018-06-26,15.1,85.9,10.25
2018-06-27,14.9,86.1,39.065
2018-06-28,14.8,85.6,9.109
2018-06-29,15.5,83.9,0.23
2018-06-30,16,85.4,4.061
2018-07-01,15.3,84.4,6.924
2018-07-02,16.2,83,0.272
2018-07-03,16.2,81.5,0.13
2018-07-04,15.5,86.2,9.913
2018-07-05,15.7,83.9,4.121
2018-07-06,15.3,79.8,7.196
2018-07-07,14.9,82.6,0.614
2018-07-08,15.1,86.7,20.978
2018-07-09,16,84.1,3.956
2018-07-10,16.3,85.3,4.229
2018-07-11,15.8,84.7,5.203
2018-07-12,15.1,84.6,1.087
2018-07-13,15.9,81.5,0.141
2018-07-14,16.5,85.3,2.261
2018-07-15,15.5,86.8,38.696
2018-07-16,16.6,75.8,0.109
2018-07-17,16.3,76.2,0
2018-07-18,16.8,75.9,0
2018-07-19,16.9,77.1,0.002
2018-07-20,16.7,81.9,4.979
2018-07-21,17,78,0.1
2018-07-22,17.2,76.5,0.989
2018-07-23,17.1,75.5,0.989
2018-07-24,17.5,77.1,0
2018-07-25,17.4,75.4,0.791
2018-07-26,16.8,79.5,1.978
2018-07-27,16.4,79.2,6.924
2018-07-28,16.8,75.4,1.978
2018-07-29,15.3,79.9,4.946
2018-07-30,16.6,78,0
2018-07-31,16.9,77.9,0.407
2018-08-01,17.2,74.9,0
2018-08-02,16.4,72.9,0
2018-08-03,17.1,71,0
2018-08-04,17.9,69.5,0
2018-08-05,16.5,70.9,0.692
2018-08-06,17.2,70.1,0
2018-08-07,16.8,75.4,0.896
2018-08-08,15.8,76.1,0.033
2018-08-09,16.7,75,0.297
2018-08-10,16.3,77.1,3.004
2018-08-11,16.7,77.5,0.602
2018-08-12,16.2,76.9,30.668
2018-08-13,16.5,77.8,0.198
2018-08-14,15.5,77.3,2
2018-08-15,16.4,77.7,0.498
2018-08-16,16.7,77.5,0.201
2018-08-17,15.9,82.9,33.684
2018-08-18,16.7,79.5,16.869
2018-08-19,16.3,85.3,4.951
2018-08-20,16.2,83.8,0.207
2018-08-21,16.3,84.3,0.22
2018-08-22,17,81.7,1.3
2018-08-23,16.3,82.7,1.075
2018-08-24,15.3,89.1,9.066
2018-08-25,16,84.4,8.098
2018-08-26,16,83.6,0.001
2018-08-27,15.3,89.8,3.044
2018-08-28,15.7,81.9,4.946
2018-08-29,15.9,84.3,0.383
2018-08-30,16.1,85.1,20.365
2018-08-31,15.9,84,7.957
2018-09-01,16,81.5,6
2018-09-02,16.6,80.9,0.396
2018-09-03,15.8,85.1,7.011
2018-09-04,16.7,81.5,1.022
2018-09-05,16.9,72.3,0
2018-09-06,16.9,68.2,0.396
2018-09-07,17,68.1,0.989
2018-09-08,16.2,69.3,1
2018-09-09,15.8,73.2,1
2018-09-10,16.8,73.8,6.924
2018-09-11,18.2,67.6,0.099
2018-09-12,17.7,65.2,0
2018-09-13,17,68.1,0
2018-09-14,17.4,67.1,0
2018-09-15,18.3,65.7,0
2018-09-16,18.3,60.5,0
2018-09-17,17.4,64.2,0
2018-09-18,18,60.3,0
2018-09-19,17.9,67.8,1.978
2018-09-20,18.3,66.3,0.297
2018-09-21,17.3,64.6,2.967
2018-09-22,17.4,74.5,2.308
2018-09-23,18.6,72,0.398
2018-09-24,18.2,61,0
2018-09-25,18.3,61.4,0
2018-09-26,18.2,67.1,0.099
2018-09-27,17.8,71.3,5.957
2018-09-28,17.9,65,2.989
2018-09-29,18,64.8,0
2018-09-30,17.6,73.6,5.934
2018-10-01,18.3,62.5,0
2018-10-02,18.4,59.1,0
2018-10-03,18.8,61.6,0
2018-10-04,18,65.8,1.978
2018-10-05,18.5,60.5,0
2018-10-06,18.9,60.5,2.967
2018-10-07,17.5,74.4,1.4
2018-10-08,16.9,79.4,3.297
2018-10-09,16.7,76.5,0.796
2018-10-10,17.8,75.3,0.989
