datetime,temp,humidity,precip
2018-01-01,28.6,28.5,0
2018-01-02,29.1,30.5,0
2018-01-03,29,32.9,0
2018-01-04,28.9,34.4,0
2018-01-05,28.5,35,0
2018-01-06,27.7,38.5,0
2018-01-07,28.6,33,0
2018-01-08,29.4,27.7,0
2018-01-09,29.2,26.9,0
2018-01-10,29,29,0
2018-01-11,28.5,31.5,0
2018-01-12,28.4,33.2,0
2018-01-13,27.6,29.2,0
2018-01-14,27.1,24.4,0
2018-01-15,27.4,20.8,0
2018-01-16,27.5,22.7,0
2018-01-17,28,27.8,0
2018-01-18,28.9,35.7,0
2018-01-19,29.6,35.8,0
2018-01-20,29.3,40.7,0
2018-01-21,29.1,32.9,0
2018-01-22,28.6,31.2,0
2018-01-23,28.7,34.3,0
2018-01-24,29,36.2,0
2018-01-25,29.3,38.3,0
2018-01-26,29.8,38.1,0
2018-01-27,29.6,37.1,0
2018-01-28,29.2,36.1,0
2018-01-29,29.4,35.4,0
2018-01-30,29.5,32.5,0
2018-01-31,29.7,34.9,0
2018-02-01,29.6,40.1,0
2018-02-02,29.1,38.2,0
2018-02-03,29.1,35.2,0
2018-02-04,28.8,37.6,0
2018-02-05,30.1,39.5,0
2018-02-06,29.7,34.9,0
2018-02-07,28.7,28,0
2018-02-08,27.9,23.2,0
2018-02-09,27.2,28.7,0
2018-02-10,28.8,31.2,0
2018-02-11,29.7,39.8,0
2018-02-12,30.1,39.7,0
2018-02-13,30,36.1,0
2018-02-14,30,40.2,0
2018-02-15,30.1,39.2,0
2018-02-16,29.7,39,0
2018-02-17,30.2,37.3,0
2018-02-18,30.7,39.4,0
2018-02-19,30.3,42.4,1
2018-02-20,30.8,44.1,0
2018-02-21,31.2,38.6,0
2018-02-22,31.3,36.1,0
2018-02-23,30.5,39.1,0
2018-02-24,31.3,35.3,0
2018-02-25,31.3,39.7,0
2018-02-26,31,40.4,0
2018-02-27,31.6,33.6,0
2018-02-28,28.9,52.8,1
2018-03-01,27.2,61.7,6.5
2018-03-02,27,60.2,2.4
2018-03-03,26.7,61.8,0
2018-03-04,25.4,65.8,1.2
2018-03-05,26.7,59.3,4.4
2018-03-06,26.8,62.2,2.2
2018-03-07,27.1,60.2,0.7
2018-03-08,28.9,53.8,0
2018-03-09,30.1,44,0
2018-03-10,30.1,38.6,0
2018-03-11,29.5,38.5,0
2018-03-12,30.5,43.9,0
2018-03-13,29.3,53.8,1.8
2018-03-14,26.4,71.4,10.5
2018-03-15,25.7,68.8,2.4
2018-03-16,24.9,71.5,3.4
2018-03-17,26.5,66.7,8.4
2018-03-18,28.9,49.6,0.3
2018-03-19,29,50.1,1.2
2018-03-20,28.1,57,1.4
2018-03-21,28.6,55.2,0.4
2018-03-22,29.1,50.7,0
2018-03-23,29,47.9,0
2018-03-24,29.8,47.7,0
2018-03-25,29.1,54.8,0.9
2018-03-26,29.9,50.6,0
2018-03-27,29.5,51,0.7
2018-03-28,29.1,52,0.7
2018-03-29,29.1,53.2,0.3
2018-03-30,28.8,51,0.9
2018-03-31,29.1,52.5,0.7
2018-04-01,29.8,49.2,0
2018-04-02,30.3,47.9,0
2018-04-03,29.5,49.8,0.8
2018-04-04,27.5,61.2,9.6
2018-04-05,26.1,69.7,4.6
2018-04-06,27,63.6,1.4
2018-04-07,27.8,60.6,3.2
2018-04-08,25.6,71.1,2
2018-04-09,26.6,66.3,3.8
2018-04-10,27.2,62.9,0.2
2018-04-11,26,71.8,9.9
2018-04-12,26.1,72.8,18.4
2018-04-13,26.6,70.2,2.5
2018-04-14,23.9,82.3,13.7
2018-04-15,26.1,66.4,2.3
2018-04-16,25.8,70.5,1.9
2018-04-17,25.4,72.5,5.5
2018-04-18,27.5,61.1,0.2
2018-04-19,25.2,74,3.5
2018-04-20,26.4,68.4,0.3
2018-04-21,25.9,71.6,0.5
2018-04-22,25.6,72.1,5.1
2018-04-23,26.7,68.7,3.3
2018-04-24,26.6,70.9,2
2018-04-25,27.4,64.8,0
2018-04-26,28.3,60.6,0.2
2018-04-27,26.9,66.7,6.8
2018-04-28,27.8,63.4,0.7
2018-04-29,27.7,63.4,0
2018-04-30,28.1,61.3,0.1
2018-05-01,26.8,69.5,12.2
2018-05-02,27,66.4,1.9
2018-05-03,28.1,59.9,0.5
2018-05-04,28.1,58.8,0
2018-05-05,28.7,56.5,0.9
2018-05-06,27.4,64.7,6.1
2018-05-07,27.6,62.3,0.8
2018-05-08,28.7,56.1,0
2018-05-09,28.6,56.8,0
2018-05-10,28.4,56.6,0
2018-05-11,28.8,56.7,0
2018-05-12,28.8,55.2,0
2018-05-13,29,54.6,0.9
2018-05-14,28.6,61.2,6.9
2018-05-15,28.9,56.6,0
2018-05-16,28.5,60.1,0
2018-05-17,26.5,68.5,1.9
2018-05-18,26.9,65.2,0.5
2018-05-19,28.2,53.1,0
2018-05-20,28.3,54.5,0
2018-05-21,26.4,67.5,3.9
2018-05-22,24.7,78.8,35
2018-05-23,24.8,78.1,27.7
2018-05-24,27,65.5,0.9
2018-05-25,27.1,64.5,0.9
2018-05-26,27.8,63.1,0.9
2018-05-27,27.9,61.8,0
2018-05-28,28.1,58.5,0
2018-05-29,27.4,55.9,0
2018-05-30,28,55.5,0
2018-05-31,28.4,58.3,0
2018-06-01,28.2,61.3,0.5
2018-06-02,28.5,59.4,0.4
2018-06-03,28.5,61.2,0.7
2018-06-04,27.5,62.4,2.1
2018-06-05,24.6,76.9,16.3
2018-06-06,23.7,80.2,10.4
2018-06-07,25.3,69.6,0.5
2018-06-08,26.1,60.6,0.5
2018-06-09,26.4,59.9,0
2018-06-10,26.5,59.7,0
2018-06-11,26.9,56.6,0
2018-06-12,26.7,56.2,0
2018-06-13,27.4,60.2,0
2018-06-14,27,61.9,0
2018-06-15,27.3,58,0
2018-06-16,27.6,58.9,0
2018-06-17,27.5,59.6,1.9
2018-06-18,26.9,58,0
2018-06-19,26.8,56.9,0
2018-06-20,26.4,60.2,0.1
2018-06-21,27.5,55.5,0
2018-06-22,27.8,52.7,0
2018-06-23,26.7,59.5,0.1
2018-06-24,26.1,61.6,0.8
2018-06-25,26.7,61.3,5.3
2018-06-26,26.3,61.8,1.4
2018-06-27,27.4,56.3,0.2
2018-06-28,27.5,51.7,0
2018-06-29,27.5,56.6,0
2018-06-30,27.4,58.7,2
2018-07-01,27.6,55.2,0
2018-07-02,27.4,55.6,0
2018-07-03,27.2,55.8,0.9
2018-07-04,26.9,56.6,1.4
2018-07-05,26.8,55.1,0.3
2018-07-06,27.5,51.3,0
2018-07-07,28,50.9,0
2018-07-08,27.4,50.1,0
2018-07-09,27.4,53.6,0
2018-07-10,27,52.9,0
2018-07-11,26.9,58.1,1.5
2018-07-12,26.4,57.7,1
2018-07-13,27.3,53.6,0
2018-07-14,27.4,51.3,0
2018-07-15,27.6,49.5,0
2018-07-16,27.6,49.6,0
2018-07-17,26.9,48.1,0
2018-07-18,27,49,0
2018-07-19,27.1,47.4,0
2018-07-20,27,49.8,0
2018-07-21,26.7,51.1,0.7
2018-07-22,26.9,50.6,0
2018-07-23,26.6,49.9,0
2018-07-24,26.8,48.9,0
2018-07-25,26.9,47.3,0
2018-07-26,27.3,48.4,0
2018-07-27,27.8,46.9,0
2018-07-28,28.3,45.9,0
2018-07-29,28.4,45.1,0
2018-07-30,28.5,47.1,0
2018-07-31,28.7,46.7,0
2018-08-01,28.5,46.8,0
2018-08-02,28.5,43.9,0
2018-08-03,28.5,44.1,0
2018-08-04,28.4,45.6,0
2018-08-05,27.5,47.3,0.3
2018-08-06,27.8,45.6,0
2018-08-07,27.8,41.8,0
2018-08-08,27.2,40.6,0
2018-08-09,28.5,45.1,1.4
2018-08-10,28.7,43.8,0
2018-08-11,28,43.1,0
2018-08-12,27.6,43.9,0
2018-08-13,27.2,43.6,0
2018-08-14,27.4,44.6,0
2018-08-15,27.9,42.8,0
2018-08-16,28,46.8,0
2018-08-17,28.1,45.4,0
2018-08-18,27.9,47.7,0.5
2018-08-19,28.2,46.5,0
2018-08-20,28.2,43.8,0
2018-08-21,28.6,43,0
2018-08-22,28.9,44,0
2018-08-23,28.7,42.3,0
2018-08-24,28.9,41.4,0
2018-08-25,29.3,40.4,0
2018-08-26,28.8,44.5,0
2018-08-27,29.9,44.1,0
2018-08-28,29,48,0
2018-08-29,25.9,60.5,0.9
2018-08-30,27.5,51.2,0
2018-08-31,28.8,44.6,0
2018-09-01,29.4,40,0
2018-09-02,29.4,42.2,0
2018-09-03,29.9,39.1,0
2018-09-04,29.2,40.8,0
2018-09-05,29.2,42.2,0
2018-09-06,29.1,42.1,0
2018-09-07,29.2,40,0
2018-09-08,29.4,38.6,0
2018-09-09,29.9,35.6,0
2018-09-10,30.4,42.6,0.7
2018-09-11,31,37.4,0
2018-09-12,29.2,37.9,0
2018-09-13,29.5,37.6,0
2018-09-14,30.4,41.4,0
2018-09-15,31.1,36.2,0
2018-09-16,29.9,34.2,0
2018-09-17,29.3,31.9,0
2018-09-18,28.7,34.2,0
2018-09-19,29.3,35.2,0
2018-09-20,30,32.6,0
2018-09-21,30.3,38,0
2018-09-22,30.3,41.4,0
2018-09-23,29.8,39.1,0
2018-09-24,29.3,37.5,0
2018-09-25,30,42.8,0
2018-09-26,31,39,0
2018-09-27,30.7,40.8,0
2018-09-28,30.2,43.3,0
2018-09-29,30.5,43.9,0.8
2018-09-30,30.3,38,0
2018-10-01,29.8,36,0
2018-10-02,28.5,41,0
