datetime,temp,humidity,precip
2018-01-01,60.1,74.3,0
2018-01-02,63.1,72.1,0.012
2018-01-03,64.3,69.7,0.028
2018-01-04,61.9,72.4,0
2018-01-05,63.1,68.6,0
2018-01-06,62.1,70,0.196
2018-01-07,62,68.5,0
2018-01-08,63.3,59.8,0
2018-01-09,64.5,55.6,0
2018-01-10,63.5,58.8,0.039
2018-01-11,62.9,61.3,0
2018-01-12,63.8,62.6,0
2018-01-13,64.1,63.5,0
2018-01-14,65.2,53.3,0
2018-01-15,65.3,46.7,0
2018-01-16,63.8,56.5,0
2018-01-17,64.9,48.8,0
2018-01-18,63.7,57.5,0
2018-01-19,64,60.6,0
2018-01-20,66,62.5,0.008
2018-01-21,65.1,52,0
2018-01-22,64.5,41.5,0
2018-01-23,64.2,46.2,0
2018-01-24,64.4,53.5,0
2018-01-25,62.7,70.1,0.008
2018-01-26,61.2,76,0.02
2018-01-27,64.8,57.9,0
2018-01-28,65.3,50.3,0
2018-01-29,63.6,45.1,0
2018-01-30,64.5,52.5,0
2018-01-31,66.3,50.2,0
2018-02-01,66.7,47.3,0
2018-02-02,65.5,47.8,0
2018-02-03,66.9,42.2,0
2018-02-04,67.4,39.8,0
2018-02-05,67.4,49.9,0
2018-02-06,65.6,58.5,0.039
2018-02-07,66.4,48.8,0
2018-02-08,66.7,33,0
2018-02-09,63.8,30.8,0
2018-02-10,68,30.9,0
2018-02-11,66.8,45.4,0
2018-02-12,67,48.6,0
2018-02-13,68.2,45.9,0
2018-02-14,68,47.8,0
2018-02-15,65.6,51.7,0
2018-02-16,68.1,45.2,0
2018-02-17,68.2,47.8,0
2018-02-18,67.1,53.7,0.039
2018-02-19,65.4,58.7,0
2018-02-20,66.6,61.3,0
2018-02-21,65.1,71.8,0.745
2018-02-22,66,61.7,0
2018-02-23,67.6,45.9,0.004
2018-02-24,67.2,51.6,0.004
2018-02-25,66.9,61.6,0
2018-02-26,67.2,58,0
2018-02-27,65.5,63.1,0.274
2018-02-28,62.4,79.5,0.392
2018-03-01,60.6,80.7,1.337
2018-03-02,60,82.3,0.327
2018-03-03,61.6,82.4,0.08
2018-03-04,59.7,87.2,0.24
2018-03-05,62,77.5,0.706
2018-03-06,61.4,77.8,0.005
2018-03-07,63.5,71.5,0.031
2018-03-08,64.7,69.1,0
2018-03-09,65,69.5,0.012
2018-03-10,63.4,72.2,0
2018-03-11,62.1,76.6,0
2018-03-12,60.9,84.6,0.582
2018-03-13,60.8,86.9,0.788
2018-03-14,63.9,77.7,0.079
2018-03-15,61.4,84.9,1.338
2018-03-16,60.4,87.6,0.237
2018-03-17,62.2,81.4,0.196
2018-03-18,64.1,79.3,0.078
2018-03-19,62.6,82.4,0.2
2018-03-20,63.8,74.2,0.472
2018-03-21,64,68.2,0
2018-03-22,63,67,0
2018-03-23,64.7,60.6,0
2018-03-24,65.5,63.8,0.008
2018-03-25,66,68.6,0
2018-03-26,64.8,71.6,0.126
2018-03-27,65.2,64.7,0
2018-03-28,65.3,60.2,0
2018-03-29,65.2,63.6,0
2018-03-30,64.3,65.4,0.012
2018-03-31,64.4,63.2,0.02
2018-04-01,61.7,75.7,0.039
2018-04-02,63.9,74.8,0.118
2018-04-03,64,70.9,0.102
2018-04-04,64.3,73.6,0.036
2018-04-05,62.4,80.9,0.057
2018-04-06,62.9,77.6,0.079
2018-04-07,61.1,83.3,1.102
2018-04-08,62.1,85.5,0.511
2018-04-09,64.4,74.5,1.023
2018-04-10,64.1,77.3,0.033
2018-04-11,62.3,81,0.201
2018-04-12,61.5,87.6,0.588
2018-04-13,62.5,83.5,1.803
2018-04-14,59.6,89.7,1.307
2018-04-15,61.1,82.9,0.032
2018-04-16,60.1,85,0.078
2018-04-17,60.7,84.7,0.012
2018-04-18,62.2,78.1,0.012
2018-04-19,60.9,83.3,1.411
2018-04-20,62.2,77.1,0
2018-04-21,63.2,82.9,0.012
2018-04-22,61.9,86.9,0.668
2018-04-23,61,85.3,0.432
2018-04-24,62,84.6,0.196
2018-04-25,63.9,81.2,0.012
2018-04-26,64.5,77.1,0.199
2018-04-27,62.3,85.8,0.04
2018-04-28,64.1,80.3,2.432
2018-04-29,63.6,82.7,0.708
2018-04-30,61.9,88.3,1.027
2018-05-01,61.4,89.2,0.511
2018-05-02,61.5,83.6,1.139
2018-05-03,65.1,75.5,0.004
2018-05-04,64.2,75,0.55
2018-05-05,64.4,71.4,0.001
2018-05-06,61.5,85.1,0.639
2018-05-07,61.8,85.5,1.415
2018-05-08,63.9,77.8,1.294
2018-05-09,64.1,76.8,0.235
2018-05-10,65.1,71.1,0.09
2018-05-11,65.3,71.6,0.001
2018-05-12,64.6,67.4,0
2018-05-13,65.7,67.4,0
2018-05-14,65.8,67.8,0.063
2018-05-15,65.1,73.3,0.122
2018-05-16,60.5,84.8,0.474
2018-05-17,60.3,84.7,0.667
2018-05-18,62.3,82.4,0.008
2018-05-19,61.2,89.8,0.157
2018-05-20,61.6,84.6,0.236
2018-05-21,61.4,84.9,0.315
