datetime,temp,humidity,precip
2018-01-01,69.4,75.2,0
2018-01-02,71.4,71.7,0.012
2018-01-03,70,69,0.036
2018-01-04,71.8,62.5,0
2018-01-05,70,74.9,0
2018-01-06,70.6,67.7,0.197
2018-01-07,71.6,67.3,0
2018-01-08,71.9,62.6,0
2018-01-09,70.9,55.3,0
2018-01-10,70.9,61.1,0.039
2018-01-11,72.5,59.2,0
2018-01-12,73.8,62.5,0
2018-01-13,69,66.6,0
2018-01-14,69.4,65,0
2018-01-15,71,60,0
2018-01-16,70.2,69.1,0
2018-01-17,70.3,59,0
2018-01-18,71.4,65.4,0
2018-01-19,70.2,66.8,0
2018-01-20,73,67.8,0.008
2018-01-21,72.6,70.6,0
2018-01-22,70.8,50.6,0
2018-01-23,66.7,47,0
2018-01-24,68.9,56.2,0
2018-01-25,68.9,73.7,0.008
2018-01-26,68.5,73.7,0.02
2018-01-27,73.5,62.4,0
2018-01-28,73,62.8,0
2018-01-29,71.2,56,0
2018-01-30,72.7,58.1,0
2018-01-31,73,60,0
2018-02-01,75.4,54.2,0
2018-02-02,77.2,52.5,0
2018-02-03,71.8,41.7,0
2018-02-04,69.7,39.9,0
2018-02-05,76.6,50.7,0
2018-02-06,75.9,51.4,0.039
2018-02-07,74.9,51.6,0
2018-02-08,75.8,43.2,0
2018-02-09,72.9,43,0
2018-02-10,76.5,36.6,0
2018-02-11,74.1,45.6,0
2018-02-12,75.5,48.6,0
2018-02-13,77.5,44.7,0
2018-02-14,79.4,43.7,0
2018-02-15,80.6,35.4,0
2018-02-16,77.2,45.9,0
2018-02-17,77.1,43.8,0
2018-02-18,74,49.6,0.039
2018-02-19,72.9,60.7,0
2018-02-20,75.2,61.1,0
2018-02-21,69.7,71.3,0.748
2018-02-22,69.3,65.6,0
2018-02-23,73.1,62.3,0.008
2018-02-24,73.7,63.3,0.02
2018-02-25,73.4,70,0
2018-02-26,73.6,72.1,0
2018-02-27,72.6,72.3,0.276
2018-02-28,66.5,81.7,0.394
2018-03-01,67.3,79,1.338
2018-03-02,66.5,81.6,0.327
2018-03-03,69.7,74.8,0.079
2018-03-04,67.2,84,0.236
2018-03-05,71.1,69.9,0.709
2018-03-06,68.8,74.9,0.004
2018-03-07,71.1,74.9,0.031
2018-03-08,73.9,70.6,0
2018-03-09,69.9,68.6,0.012
2018-03-10,65.7,71.5,0
2018-03-11,64.7,77.9,0
2018-03-12,63.8,84,0.582
2018-03-13,67.8,84.4,0.787
2018-03-14,73.3,71.9,0.079
2018-03-15,69.1,83.9,1.338
2018-03-16,68.2,81.4,0.236
2018-03-17,69.1,79.7,0.196
2018-03-18,71,81.2,0.079
2018-03-19,67.7,85.2,0.197
2018-03-20,69,80.1,0.472
2018-03-21,69.9,77.2,0
2018-03-22,70.3,72.8,0
2018-03-23,70,70.2,0
2018-03-24,70.8,67.3,0.008
2018-03-25,71.4,76.7,0.016
2018-03-26,69.4,78,0.126
2018-03-27,71.5,75.7,0
2018-03-28,74.6,66.1,0
2018-03-29,71,76,0
2018-03-30,69.8,70.4,0.031
2018-03-31,73.7,70.4,0.056
2018-04-01,69.6,74.4,0.039
2018-04-02,70.9,72.4,0.118
2018-04-03,73.9,69.8,0.193
2018-04-04,69.5,85.3,0.095
2018-04-05,68,84.3,0.055
2018-04-06,70.4,78.1,0.079
2018-04-07,70.8,81.6,1.102
2018-04-08,68.7,84.5,0.511
2018-04-09,68.3,81.2,1.024
2018-04-10,69.6,79.5,0.032
2018-04-11,68.5,82,0.039
2018-04-12,69.2,86,0.591
2018-04-13,70.8,84.2,1.811
2018-04-14,68.2,87.3,1.299
2018-04-15,69.3,79.5,0.032
2018-04-16,68.1,84.4,0.079
2018-04-17,67.5,84.5,0.012
2018-04-18,68.6,76.7,0.012
2018-04-19,68.2,81.5,1.417
2018-04-20,70.5,74.5,0
2018-04-21,72,75.2,0.012
2018-04-22,70.2,83.6,0.669
2018-04-23,70.9,78.7,0.433
2018-04-24,69.3,84.4,0.197
2018-04-25,70.5,79.3,0.012
2018-04-26,68.8,85,0.197
2018-04-27,68.7,83.7,0.039
2018-04-28,69.6,80.2,2.441
2018-04-29,71.3,83,0.709
2018-04-30,70.6,82.5,1.023
2018-05-01,69.6,85,0.512
2018-05-02,68.9,80.2,1.142
2018-05-03,68.4,79.1,0.016
2018-05-04,68.7,76.6,0.551
2018-05-05,71.1,76.8,0
2018-05-06,68.8,79.1,0.642
2018-05-07,68.6,81.1,1.417
2018-05-08,69.6,77.9,1.299
2018-05-09,71.7,76.6,0.236
2018-05-10,70.2,74.5,0.11
2018-05-11,71.1,71.8,0.197
2018-05-12,73.2,71.1,0
2018-05-13,72.6,73.9,0
2018-05-14,72.1,71,0.217
2018-05-15,70.2,77.5,0.118
2018-05-16,67.7,83,0.472
2018-05-17,70.9,74.7,0.669
2018-05-18,71,77.4,0.008
2018-05-19,69.4,83.3,0.157
2018-05-20,70.4,79.4,0.236
2018-05-21,67.9,81.5,0.315
2018-05-22,68.5,85.1,0.315
2018-05-23,67.7,79.7,0.079
2018-05-24,69.4,77.4,0.118
2018-05-25,70.5,75.6,0.394
2018-05-26,70.6,76.1,0
2018-05-27,72.2,74.9,0.02
2018-05-28,72.2,74.1,0.118
2018-05-29,72.4,72.1,0.157
2018-05-30,72.8,75.1,0.078
2018-05-31,69.3,79.7,0.611
2018-06-01,67.8,79.1,0.201
2018-06-02,69.8,78.8,0.039
2018-06-03,71.4,74.4,0.157
2018-06-04,71.9,78.1,0.118
2018-06-05,67.6,86,0.59
2018-06-06,70.4,78.6,0.394
2018-06-07,69.7,80.1,1.693
2018-06-08,69.5,80.4,0.039
2018-06-09,64.8,82.6,0.354
2018-06-10,67.9,77.1,0
2018-06-11,69.5,75.4,0.039
2018-06-12,68.3,67.7,0.039
2018-06-13,69.7,70.5,0
2018-06-14,70.8,75.5,0.118
2018-06-15,71.5,74.5,0.354
2018-06-16,73.5,70.5,0
2018-06-17,71.9,70.9,0.394
2018-06-18,70.8,71.3,0.004
2018-06-19,69.5,78.8,0
2018-06-20,66.2,83.2,0.433
2018-06-21,65.9,80.1,0.107
2018-06-22,62.3,77.4,0
2018-06-23,63.1,78.6,0.02
2018-06-24,64.5,78.5,0.16
2018-06-25,68,75.2,0.315
2018-06-26,65.6,74.7,1.299
2018-06-27,63.8,80.2,1.772
2018-06-28,66.8,71.4,0.748
2018-06-29,66.6,73.7,0.118
2018-06-30,66.6,74.3,0.02
2018-07-01,63.9,77.3,0
2018-07-02,65.8,78.8,0.629
2018-07-03,69.1,69.8,0.472
2018-07-04,69.8,70.1,0.079
2018-07-05,70.4,71.7,0.236
2018-07-06,69.2,72.2,0.985
2018-07-07,68.9,66.3,0.433
2018-07-08,67.6,74.6,0.748
2018-07-09,70.8,70.5,0
2018-07-10,69.8,72.2,0.984
2018-07-11,67.3,80.1,0.217
2018-07-12,68.6,71.4,0.354
2018-07-13,71.3,69.6,0.512
2018-07-14,70.2,72.8,1.024
2018-07-15,66.3,75.8,0.433
2018-07-16,64.8,72.3,0.394
2018-07-17,69.8,65.5,0
2018-07-18,71.1,64.2,0
2018-07-19,71.8,64.1,0.008
2018-07-20,73.6,63.2,0.118
2018-07-21,71.6,67.8,0.004
2018-07-22,70.5,66,0.004
2018-07-23,70.4,64.1,0.004
2018-07-24,69.9,64.6,0
2018-07-25,70.8,70.8,0
2018-07-26,69.6,73.2,0
2018-07-27,69.2,73.3,0
2018-07-28,68.8,73.3,0.004
2018-07-29,64.6,73.9,0
2018-07-30,67.6,73.7,0
2018-07-31,71.1,69.6,0.039
2018-08-01,69.9,75.9,0
2018-08-02,69,74.9,0
2018-08-03,71.1,72.8,0
2018-08-04,69.8,68.1,0
2018-08-05,66.1,72.8,0
2018-08-06,69,68.8,0
2018-08-07,68.4,67.4,0.02
2018-08-08,65.7,69.4,0.118
2018-08-09,69.3,65.4,0
2018-08-10,68.7,72.7,0.134
2018-08-11,67.7,70.3,0.748
2018-08-12,71.1,62.2,0.016
2018-08-13,70.5,62.8,0
2018-08-14,65.4,66.1,0.079
2018-08-15,70.8,60.3,0.012
2018-08-16,73.2,59.7,0.012
2018-08-17,71.1,63.2,0.197
2018-08-18,72.7,61.6,0.197
2018-08-19,69.8,71.6,0.02
2018-08-20,69.7,72.9,0.748
2018-08-21,70.9,77,0.079
2018-08-22,70.5,75.4,0.02
2018-08-23,69.9,75.2,0.669
2018-08-24,63,86.5,0.236
2018-08-25,68.8,76.7,0.669
2018-08-26,70.1,71.9,0.004
2018-08-27,68.8,77.8,0.275
2018-08-28,69.6,75.6,0.012
2018-08-29,68.9,76.4,0.315
2018-08-30,68.6,74.2,0.315
2018-08-31,70.5,70,0.157
2018-09-01,69.5,71.1,0.236
2018-09-02,65.8,75.9,0.028
2018-09-03,69.1,74,0.315
2018-09-04,69.9,73.3,0.118
2018-09-05,69.6,68,0
2018-09-06,70.4,65.1,0
2018-09-07,72,61.4,0
2018-09-08,69.3,62.9,0.039
2018-09-09,72.7,58,0.039
2018-09-10,73.1,60,0
2018-09-11,69.6,59.4,0
2018-09-12,69.3,67.5,0
2018-09-13,68.5,70.4,0
2018-09-14,65.4,62.5,0
2018-09-15,71.8,61.3,0
2018-09-16,69.7,58.3,0
2018-09-17,68.7,66.5,0
2018-09-18,73.5,60.2,0
2018-09-19,73.2,66.6,0
2018-09-20,71,63.4,0.012
2018-09-21,73.9,57.7,0
2018-09-22,75.2,55.5,0.118
2018-09-23,73.4,65.9,0.008
2018-09-24,72.2,57.7,0
2018-09-25,74.5,53.9,0
2018-09-26,75.6,53.3,0
2018-09-27,73.3,56.5,0.079
2018-09-28,72.2,54.3,0.079
2018-09-29,74.2,61,0
2018-09-30,75.9,60.9,0
2018-10-01,75.9,48.1,0
2018-10-02,73,60,0
2018-10-03,72.4,64.8,0
2018-10-04,71,72.4,0
2018-10-05,72.4,61.9,0
2018-10-06,76.1,58.4,0.012
2018-10-07,75.3,61.7,0.008
2018-10-08,71.9,71.5,0.118
2018-10-09,68.5,74.4,0.016
2018-10-10,69.8,74,0
2018-10-11,73.3,68.5,0
2018-10-12,70.5,74,0
2018-10-13,72.3,71.2,0.008
2018-10-14,70.6,77.4,0.236
2018-10-15,70.5,76.7,0.236
2018-10-16,71.1,74.3,1.102
2018-10-17,73.7,69.3,0.028
2018-10-18,71.5,75,0.043
2018-10-19,70.5,81.9,0.275
2018-10-20,70,75.1,0
2018-10-21,73.1,69.6,0
2018-10-22,72.7,64.2,0
2018-10-23,72.7,59.7,0.039
2018-10-24,71.1,66.4,0
2018-10-25,72.5,72,0
2018-10-26,71.5,74.5,0
2018-10-27,71.9,75.6,0.004
2018-10-28,70.8,77,0.039
2018-10-29,72.5,72.8,0
2018-10-30,72,74.6,0
2018-10-31,70,70.1,0
2018-11-01,71,73.7,0
2018-11-02,73.7,76.1,0.051
2018-11-03,71.2,77.5,0
2018-11-04,71.7,70.6,0
2018-11-05,72.8,68.7,0.016
2018-11-06,73.7,69,0
2018-11-07,72.7,63.8,0
2018-11-08,73.7,65.2,0
2018-11-09,71.4,72.9,0
2018-11-10,72.5,74.3,0.37
2018-11-11,71.9,74.7,0.126
2018-11-12,73.7,71.6,0
2018-11-13,71.8,69.8,0
2018-11-14,73.9,65.7,0.039
2018-11-15,75.1,60.5,0
2018-11-16,74.5,65.4,0
2018-11-17,73.2,71.7,0
2018-11-18,70.4,79.7,0.079
2018-11-19,70.7,77.6,0.024
2018-11-20,73.2,73.5,0
2018-11-21,73.5,67.4,0
2018-11-22,74,66.8,0
2018-11-23,72.8,68.1,0.004
2018-11-24,73.9,63,0
2018-11-25,75.3,61.2,0
2018-11-26,74.6,61.1,0
2018-11-27,74.2,61,0
2018-11-28,76,59,0
2018-11-29,77.4,53.4,0
2018-11-30,74.8,46.3,0
2018-12-01,75.4,50.7,0
2018-12-02,71.1,68,0.02
2018-12-03,73.1,65.7,0
2018-12-04,71.2,71.5,0.118
2018-12-05,72.7,76.4,0
2018-12-06,70.2,69.9,0.024
2018-12-07,72.5,66.7,0
2018-12-08,72.4,74.9,0
2018-12-09,69,75.6,0
2018-12-10,66.6,88.2,0.63
2018-12-11,67.7,83,1.339
2018-12-12,68.7,79.3,0.708
2018-12-13,71.1,80.3,0
2018-12-14,70.9,77,0
2018-12-15,70,76.2,0.024
2018-12-16,67.6,72.5,0
2018-12-17,72.4,76.7,0
2018-12-18,71.3,70.4,0.079
2018-12-19,70.1,81.4,0.028
2018-12-20,71.6,74.4,0
2018-12-21,71.1,76.7,0
2018-12-22,70,75.1,0.079
2018-12-23,69,82.7,0.039
2018-12-24,71.2,77.1,0
2018-12-25,69.1,66.9,0
2018-12-26,69.8,62.6,0
2018-12-27,72,62.7,0
2018-12-28,71.1,60.3,0.008
2018-12-29,70.9,70,0
2018-12-30,71.3,74.6,0.02
2018-12-31,72.4,72.4,0
