datetime,temp,humidity,precip
2018-01-01,83,37.9,0
2018-01-02,83,40.7,0
2018-01-03,84.1,35.1,0
2018-01-04,84.1,34.6,0
2018-01-05,84.7,34.1,0
2018-01-06,83.9,34.9,0
2018-01-07,84.4,35.4,0
2018-01-08,85.3,35.5,0
2018-01-09,84.7,41.5,0
2018-01-10,85.1,35.2,0
2018-01-11,85.1,36,0
2018-01-12,83,38.7,0
2018-01-13,81.3,34.3,0
2018-01-14,82.3,26.9,0
2018-01-15,82.6,32,0
2018-01-16,84.4,38.7,0
2018-01-17,85.7,44,0
2018-01-18,85.3,48.1,0
2018-01-19,86.7,46.3,0
2018-01-20,86.6,44.8,0
2018-01-21,85.4,41.5,0
2018-01-22,85.3,41.5,0
2018-01-23,84.4,47.7,0
2018-01-24,84.1,52.2,0
2018-01-25,85.8,47,0
2018-01-26,85.1,43.7,0
2018-01-27,84.2,43.5,0
2018-01-28,84.4,48.8,0
2018-01-29,85.7,42.6,0
2018-01-30,86.1,42.1,0
2018-01-31,85.8,42,0
2018-02-01,86.6,43.9,0
2018-02-02,85.5,46.4,0
2018-02-03,85.8,45.6,0
2018-02-04,87,46.8,0
2018-02-05,88.3,40.5,0
2018-02-06,85.9,38.1,0
2018-02-07,84.7,28.5,0
2018-02-08,83.9,37.7,0
2018-02-09,84.1,46.2,0
2018-02-10,86.7,48.8,0
2018-02-11,85.6,52.8,0
2018-02-12,86.9,47.6,0
2018-02-13,86.9,49.8,0
2018-02-14,86.8,50.5,0
2018-02-15,87.3,47.7,0
2018-02-16,87.4,47.5,0
2018-02-17,87.7,47.4,0
2018-02-18,87.8,49.4,0
2018-02-19,88.8,47.4,0
2018-02-20,87.6,49.3,0
2018-02-21,89.1,43.7,0
2018-02-22,85.9,51,0
2018-02-23,87.7,48.9,0
2018-02-24,87.2,52.9,0
2018-02-25,88.8,47.8,0
2018-02-26,89.2,43.2,0
2018-02-27,88.6,49.6,0.008
2018-02-28,89,47.8,0.139
2018-03-01,87.7,52,0
2018-03-02,82.9,62.9,0.06
2018-03-03,84.7,60.4,0.132
2018-03-04,80.8,74.4,0.176
2018-03-05,81.8,70.2,0.49
2018-03-06,84.3,62.9,0.028
2018-03-07,85.3,57.5,0.052
2018-03-08,86.3,54.8,0.052
2018-03-09,85.3,47.8,0
2018-03-10,84.5,47.4,0
2018-03-11,84.4,53.9,0
2018-03-12,85.3,58.7,0
2018-03-13,86.7,55,0.044
2018-03-14,86,59.4,0.172
2018-03-15,84,66.9,0.959
2018-03-16,79.4,74.2,1.655
2018-03-17,83,68.1,0.024
2018-03-18,85.4,59.3,0.016
2018-03-19,84.2,64.8,0.136
2018-03-20,83.5,68.8,0.188
2018-03-21,82.1,72.9,0.1
2018-03-22,82.3,68.1,0.004
2018-03-23,84.5,62.6,0
2018-03-24,84.8,62,0
2018-03-25,83.2,66.2,0
2018-03-26,84.3,63.8,0.02
2018-03-27,84.4,63.4,0.112
2018-03-28,83.5,68.8,0.184
2018-03-29,82.8,70.4,0.108
2018-03-30,82.9,66.5,0.096
2018-03-31,83.7,62.3,0.064
2018-04-01,84.7,62.3,0.048
2018-04-02,84.5,62.4,0.024
2018-04-03,83.1,67.6,0.156
2018-04-04,82.6,69,0.386
2018-04-05,82.3,70,0.347
2018-04-06,82.1,71.4,0.248
2018-04-07,81.5,77.3,0.378
2018-04-08,79.2,79.6,0.265
2018-04-09,81.7,70.4,0.152
2018-04-10,82.1,72.8,0.02
2018-04-11,78.9,82.4,0.623
2018-04-12,80,80.8,0.349
2018-04-13,78.6,85.1,1.045
2018-04-14,77.1,86.7,0.646
2018-04-15,81.1,76.8,0.104
2018-04-16,80.7,77.4,0.184
2018-04-17,78.2,85,1.366
2018-04-18,79.6,83.1,0.244
2018-04-19,78.9,82.2,0.14
2018-04-20,81.1,78.4,0.052
2018-04-21,81.7,76,0.116
2018-04-22,79.5,84.2,0.016
2018-04-23,79.6,83.8,0.148
2018-04-24,78.9,88.5,0.488
2018-04-25,80.6,79.6,0.02
2018-04-26,79.5,81.1,0.064
2018-04-27,79.5,80.8,0.036
2018-04-28,78.6,85.7,0.036
2018-04-29,78.6,85.5,0
2018-04-30,79.5,82.1,0.192
2018-05-01,79,82.1,0.06
2018-05-02,78.7,78.2,0.004
2018-05-03,79.5,78,0.008
2018-05-04,78.6,77.7,0.012
2018-05-05,79.9,80.3,0.308
2018-05-06,79.8,81.9,0.374
2018-05-07,80,79.1,0.032
2018-05-08,80,79.6,0.008
2018-05-09,79.7,78.7,0.044
2018-05-10,79.7,79.3,0.132
2018-05-11,79.7,80,0.076
2018-05-12,80.4,78.6,0
2018-05-13,81.7,75.6,0
2018-05-14,80,81.6,0.152
2018-05-15,80.8,78.3,0.008
2018-05-16,80.3,74.6,0
2018-05-17,80.1,76.6,0
2018-05-18,80.7,69.9,0
2018-05-19,80.6,66.9,0
2018-05-20,80.6,70.8,0
2018-05-21,79.3,79,0.361
2018-05-22,78.2,81.8,0.559
2018-05-23,80.3,72.6,0.024
2018-05-24,79.9,72.4,0
2018-05-25,80.3,74.9,0.158
2018-05-26,80.5,74.9,0.036
2018-05-27,79.8,72.2,0
2018-05-28,80.8,64.8,0
2018-05-29,79,70,0
2018-05-30,81.9,67.8,0
2018-05-31,80.8,71.9,0.036
2018-06-01,80.7,70.7,0.012
2018-06-02,79.9,73.9,0.016
2018-06-03,80.3,67.2,0
2018-06-04,78.7,69.9,0
2018-06-05,79.4,63.5,0
2018-06-06,79.1,64.2,0.004
2018-06-07,78.5,64.1,0
2018-06-08,79.9,60.3,0
2018-06-09,79.6,62.1,0
2018-06-10,80.3,58.8,0
2018-06-11,79.8,61.8,0
2018-06-12,79.6,69.4,0.004
2018-06-13,79.7,65.7,0
2018-06-14,79.5,66.3,0.004
2018-06-15,80.1,63.6,0
2018-06-16,79.5,64.6,0
2018-06-17,80.2,62.9,0
2018-06-18,80,63.9,0.008
2018-06-19,80.4,63.4,0
2018-06-20,80.4,63.1,0
2018-06-21,80.2,68.9,0
2018-06-22,79.4,71.4,0.012
2018-06-23,80.1,66.1,0
2018-06-24,78,64.8,0.012
2018-06-25,79.8,63.1,0
2018-06-26,79,68.4,0.048
2018-06-27,79.6,63.4,0
2018-06-28,80.7,60.2,0
2018-06-29,81.2,62.6,0.008
2018-06-30,80.4,65.5,0.04
2018-07-01,79.3,65.7,0
2018-07-02,79.7,64.7,0.06
2018-07-03,78.3,69.8,0.222
2018-07-04,77.7,69.6,0.096
2018-07-05,79.2,62.4,0
2018-07-06,80.3,59,0
2018-07-07,80,59.3,0
2018-07-08,80,61.3,0
2018-07-09,80.1,59.5,0
2018-07-10,79.5,61.9,0.016
2018-07-11,78.7,62.5,0.032
2018-07-12,79.3,59.9,0
2018-07-13,78.7,61.2,0
2018-07-14,78.3,61,0
2018-07-15,79.1,62.1,0
2018-07-16,79.1,56.5,0
2018-07-17,79,57.1,0
2018-07-18,79.1,57.1,0
2018-07-19,79.3,58.2,0
2018-07-20,79.3,57.6,0
2018-07-21,78.3,62,0
2018-07-22,78.6,59,0
2018-07-23,79.3,55.9,0
2018-07-24,78.7,57.8,0
2018-07-25,78.4,57.8,0
2018-07-26,79,57.3,0
2018-07-27,81.5,55,0
2018-07-28,80.8,61.4,0
2018-07-29,79.7,65.4,0
2018-07-30,80.5,60.8,0
2018-07-31,80.3,60.9,0
2018-08-01,80.9,59.6,0
2018-08-02,80.2,57,0
2018-08-03,80,59.4,0
2018-08-04,81,58.7,0
2018-08-05,80.7,59.2,0.012
2018-08-06,79.7,58.1,0
2018-08-07,80.5,56,0
2018-08-08,81.9,58.2,0
2018-08-09,80.9,54.1,0
2018-08-10,79.2,57.6,0
2018-08-11,78.6,59.7,0
2018-08-12,80.2,58.1,0
2018-08-13,80,57.1,0
2018-08-14,81,55.3,0
2018-08-15,80.1,57.4,0
2018-08-16,80.8,56.4,0
2018-08-17,78.8,59.4,0.004
2018-08-18,79.3,58.5,0
2018-08-19,80.2,55.3,0
2018-08-20,79.9,56.7,0
2018-08-21,80.4,57.3,0
2018-08-22,80.4,57.1,0
2018-08-23,80.7,54.5,0
2018-08-24,81.7,54.9,0
2018-08-25,80.1,61.1,0
2018-08-26,81.6,55.8,0
2018-08-27,81.4,54.6,0
2018-08-28,81.5,54.5,0
2018-08-29,81.4,54.3,0
2018-08-30,82.1,50.3,0
2018-08-31,81.2,52.1,0
2018-09-01,80.1,56.9,0
2018-09-02,80.7,56,0
2018-09-03,81.2,55,0
2018-09-04,82.4,57.4,0.02
2018-09-05,83,54.8,0
2018-09-06,82.5,55.8,0.08
2018-09-07,82.1,54.1,0.008
2018-09-08,82.3,54,0
2018-09-09,83.9,55.9,0
2018-09-10,82,59.6,0
2018-09-11,82.3,53.8,0
2018-09-12,82.3,55.6,0
2018-09-13,83.6,58.4,0
