datetime,temp,humidity,precip
2018-01-01,64.5,68.9,0
2018-01-02,63.4,82.1,0.036
2018-01-03,64.9,79.6,0.032
2018-01-04,64.2,76.1,0
2018-01-05,64,73.4,0
2018-01-06,63.6,74.1,0
2018-01-07,63.9,72.8,0
2018-01-08,64.6,67.1,0
2018-01-09,65.3,64.5,0
2018-01-10,65.2,65.5,0
2018-01-11,63.9,70.3,0.088
2018-01-12,64.5,67.9,0
2018-01-13,64.9,69.2,0
2018-01-14,64.2,62.6,0
2018-01-15,63.8,53,0
2018-01-16,63.9,58.7,0
2018-01-17,65.1,62.8,0
2018-01-18,65.6,64.3,0
2018-01-19,67.1,68.3,0.032
2018-01-20,66.5,70.4,0.116
2018-01-21,64.7,64,0
2018-01-22,64.5,57.1,0
2018-01-23,65.6,60.4,0
2018-01-24,66,64.5,0.008
2018-01-25,65.7,71.9,0.052
2018-01-26,65,75,0.012
2018-01-27,67.4,66.6,0
2018-01-28,66.9,65.7,0
2018-01-29,66.2,61.4,0
2018-01-30,67.2,58.9,0
2018-01-31,67.4,62.1,0
2018-02-01,67.8,65,0
2018-02-02,67.4,64.3,0
2018-02-03,67.3,58.7,0
2018-02-04,68,59,0
2018-02-05,68,65.9,0.024
2018-02-06,67.9,64.7,0
2018-02-07,67.9,55.2,0.012
2018-02-08,66.4,43.2,0
2018-02-09,65.8,46.2,0
2018-02-10,66.2,48.9,0
2018-02-11,67.4,59.1,0
2018-02-12,68.1,60.9,0
2018-02-13,67.8,56.9,0.008
2018-02-14,68.6,61.3,0
2018-02-15,68.4,60.4,0
2018-02-16,69.1,58.3,0
2018-02-17,69.3,58.2,0
2018-02-18,70.1,59.1,0
2018-02-19,68.8,67.6,0.032
2018-02-20,67.7,76.2,0.399
2018-02-21,68.1,70.9,0.016
2018-02-22,69.9,64.9,0
2018-02-23,69.7,61.6,0
2018-02-24,69.2,60.4,0.044
2018-02-25,69.9,67.4,0.02
2018-02-26,70.7,62.6,0.008
2018-02-27,70.5,61.4,0.04
2018-02-28,67.4,78.6,0.02
2018-03-01,65.5,82.4,0.949
2018-03-02,63.6,86.1,0.169
2018-03-03,64.1,84,0.433
2018-03-04,62.2,89.1,1.141
2018-03-05,64.9,79.8,0.02
2018-03-06,64.2,80.8,0.177
2018-03-07,66.2,77.8,0.004
2018-03-08,67.2,75.3,0.068
2018-03-09,68.1,72.9,0.008
2018-03-10,67.7,73.7,0.08
2018-03-11,66.9,75.1,0.06
2018-03-12,65.8,81,0.591
2018-03-13,64.5,87.1,0.748
2018-03-14,65,80.7,0.031
2018-03-15,63.8,86.2,1.355
2018-03-16,63.9,86.4,0.433
2018-03-17,64.6,87.3,1.269
2018-03-18,65.6,83.2,0.031
2018-03-19,65.4,84.8,0.945
2018-03-20,65.1,83.3,0.433
2018-03-21,65.9,78.7,0.079
2018-03-22,66.6,75.9,0.079
2018-03-23,67.3,74.4,0.008
2018-03-24,68.5,73.2,0.039
2018-03-25,66.8,81.3,0.236
2018-03-26,67,80.3,0.047
2018-03-27,67.7,76.5,0.032
2018-03-28,67.2,75.5,0.079
2018-03-29,66.2,77,0.039
2018-03-30,67,74,0.008
2018-03-31,67.2,73.8,0
2018-04-01,66.7,78.3,0.118
2018-04-02,67.6,77.6,0.008
2018-04-03,66.3,81,0.051
2018-04-04,66,81.5,0.822
2018-04-05,64.2,85,0.748
2018-04-06,64,85.9,0.197
2018-04-07,65.2,84.8,0.866
2018-04-08,65.1,85.3,0.252
2018-04-09,64.9,84.5,0.878
2018-04-10,66,81.5,0.296
2018-04-11,63.7,89.7,1.299
2018-04-12,63.6,89.3,0.213
2018-04-13,64.4,88.6,0.118
2018-04-14,62.4,89.8,3.425
2018-04-15,63,86.5,0.157
2018-04-16,62.7,87.4,0.016
2018-04-17,62.7,89,0.02
2018-04-18,63.9,85.1,0.136
2018-04-19,63.3,87.2,0.152
2018-04-20,64,85,0.004
2018-04-21,64.8,85.2,0.264
2018-04-22,63.9,87.5,0.394
2018-04-23,64.6,84.3,0.039
2018-04-24,64.3,87.8,0.012
2018-04-25,65.2,86.9,0.024
2018-04-26,66.7,85,0.591
2018-04-27,65.7,87.5,0.236
2018-04-28,65.6,87.3,0.276
2018-04-29,66.4,84.4,0.473
2018-04-30,64.6,88.5,2.008
2018-05-01,64.2,88.7,0.363
2018-05-02,64.5,85.4,0.551
2018-05-03,65.4,84.3,0.866
2018-05-04,66.1,84.2,0.28
2018-05-05,65.3,84.3,0.157
2018-05-06,65.1,85.8,1.197
2018-05-07,65.4,87.4,0.945
2018-05-08,66.1,84.1,0.139
2018-05-09,66.5,81.1,0.036
2018-05-10,66.3,80.6,0.08
2018-05-11,66.3,82,0.157
2018-05-12,67.6,75.7,0.048
2018-05-13,67.7,76.3,0.079
2018-05-14,66.2,84.6,0.004
2018-05-15,65.4,86.1,1.063
2018-05-16,64.3,87,0.866
2018-05-17,63.4,88.8,0.079
2018-05-18,64.3,88.6,0.008
2018-05-19,63.6,89.6,0.157
2018-05-20,63.1,90.5,0.118
2018-05-21,63.5,89.4,0.432
2018-05-22,61.9,89.7,0.906
2018-05-23,63.9,87.1,0.079
2018-05-24,63.9,86.5,0.669
2018-05-25,63.2,89.4,1.417
2018-05-26,63.3,88.8,0.157
2018-05-27,65.3,83.1,0.118
2018-05-28,63.8,89.1,0.236
2018-05-29,63.9,90.1,1.495
2018-05-30,64.9,84.7,0.399
2018-05-31,65.4,82.7,0.19
2018-06-01,65.4,85.4,0.016
2018-06-02,64.8,87.6,0.039
2018-06-03,65.5,87.6,0.079
2018-06-04,64,91.9,0.118
2018-06-05,61.3,94.2,0.48
2018-06-06,62,89.1,0.375
2018-06-07,62.9,87.9,0.118
2018-06-08,62.2,89.9,0.472
2018-06-09,64.4,86.2,0.174
2018-06-10,64.4,87,0.375
2018-06-11,65,85.9,0.394
2018-06-12,65.3,83.6,0.04
2018-06-13,64.6,80.6,0.012
2018-06-14,64.3,85.4,0.152
2018-06-15,64.1,87.3,0.157
2018-06-16,64.2,87,0.821
2018-06-17,64.6,84.2,0.772
2018-06-18,63.6,88.6,0.551
2018-06-19,63.3,89.4,0.315
2018-06-20,62.6,88.3,0.472
2018-06-21,63.5,82.9,0.104
2018-06-22,63.9,81.2,0.024
2018-06-23,63.3,85.4,0.202
2018-06-24,61,92,0.399
2018-06-25,62.7,88.3,0.323
2018-06-26,60.9,86.7,0.394
2018-06-27,61.8,88.1,1.535
2018-06-28,60.7,87.9,0.354
2018-06-29,62.2,86.7,0.008
2018-06-30,62.7,87.2,0.161
2018-07-01,62.9,87.6,0.276
2018-07-02,63.6,86.2,0.004
2018-07-03,63,87,0.241
2018-07-04,62.1,89.5,0.394
2018-07-05,63,86.3,0.161
2018-07-06,61.6,85.5,0.276
2018-07-07,62.4,84.8,0.02
2018-07-08,62.5,87.7,0.827
2018-07-09,62.2,86.6,0.157
2018-07-10,62.6,88,0.158
2018-07-11,62.4,87.6,0.205
2018-07-12,61.7,86.5,0.039
2018-07-13,62.5,87.1,0.112
